panel_count,shape_mode,value,source_signed_root_defect,finite_difference_step
320,0,-0.04439706687694545,5.305890031672366e-07,1.1950637025919659e-05
320,1,-0.09591952204520453,5.305890031672366e-07,5.531443961697608e-06
320,2,-0.13974844150196752,5.305890031672366e-07,3.7966335069765214e-06
320,3,-0.17066991256476013,5.305890031672366e-07,3.1087789496572217e-06
320,4,-0.1915580474031325,5.305890031672366e-07,2.7697926229195253e-06
320,5,-0.20589363158628324,5.305890031672366e-07,2.5769491194372484e-06
320,6,-0.2160821088877059,5.305890031672366e-07,2.455454084320111e-06
320,7,-0.22360372515063823,5.305890031672366e-07,2.3728630895106783e-06
320,8,-0.22935850771701294,5.305890031672366e-07,2.313337361072646e-06
320,9,-0.23390105886606602,5.305890031672366e-07,2.268413731699038e-06
320,10,-0.237586182171312,5.305890031672366e-07,2.2332358961667196e-06
320,11,-0.24064523886997902,5.305890031672366e-07,2.2048519795003024e-06
320,12,-0.2432350272985492,5.305890031672366e-07,2.181380557598252e-06
320,13,-0.695985293948379,5.305890031672366e-07,2.161573974445923e-06
320,14,-0.5370213050338762,5.305890031672366e-07,2.1445765891353223e-06
320,15,-0.5778927027955965,5.305890031672366e-07,2.1297844583656634e-06
