outer_iteration,coefficient_index,unscaled_step,trust_scaled_step,trust_region_step_scale
1,0,-0.00019443558359110832,-0.00019443558359110832,1.0
1,1,-0.00013360187035846006,-0.00013360187035846006,1.0
1,2,-3.17265810426462e-05,-3.17265810426462e-05,1.0
1,3,-4.5525604085532046e-05,-4.5525604085532046e-05,1.0
1,4,-2.0080848872514504e-06,-2.0080848872514504e-06,1.0
1,5,1.8192119634200327e-05,1.8192119634200327e-05,1.0
1,6,1.4345779130460812e-05,1.4345779130460812e-05,1.0
1,7,1.551522307184125e-05,1.551522307184125e-05,1.0
1,8,1.1467933116696184e-05,1.1467933116696184e-05,1.0
1,9,1.0233989702809388e-05,1.0233989702809388e-05,1.0
1,10,7.1551245123088006e-06,7.1551245123088006e-06,1.0
1,11,6.001080146535321e-06,6.001080146535321e-06,1.0
1,12,3.909191733907093e-06,3.909191733907093e-06,1.0
1,13,3.1725326203556127e-06,3.1725326203556127e-06,1.0
1,14,1.8489080201780434e-06,1.8489080201780434e-06,1.0
1,15,1.4889233236162362e-06,1.4889233236162362e-06,1.0
