case,field,x,samples,rms_difference,reference_rms,relative_rms,reflection_residual
free_surface_fn167,phi_local,1.7902623815836317e-05,96,0.0008332804260339934,0.5407705973678189,0.0015409129676982355,2.6867400780067963e-14
free_surface_fn167,phi_local,0.031986234344101555,96,0.0008299876663215478,0.5248945173279105,0.0015812465913090123,2.6204570907831718e-14
free_surface_fn167,phi_local,0.06395456606438726,96,0.0008263008323554364,0.5089475298366363,0.0016235481732678127,2.420358704833674e-14
free_surface_fn167,phi_local,0.09592289778467299,96,0.0008228501862664325,0.4929366860401974,0.001669281693915822,2.1985320317130272e-14
free_surface_fn167,phi_local,0.1278912295049587,96,0.0008195286231450768,0.47686926291832854,0.001718560383048706,2.0223065823105513e-14
free_surface_fn167,phi_local,0.15985956122524442,96,0.0008157939403059497,0.46075447571512534,0.0017705610760259608,1.955509940394294e-14
free_surface_fn167,phi_local,0.19182789294553015,96,0.0008115058697972744,0.4446029561559238,0.0018252372337188788,1.9762047803274038e-14
free_surface_fn167,phi_local,0.22379622466581586,96,0.0008070137561421418,0.4284246689470941,0.0018836771424145034,2.0460552094227656e-14
free_surface_fn167,phi_local,0.25576455638610157,96,0.0008025351192560803,0.4122284087025436,0.0019468214764285564,2.1916221507238753e-14
free_surface_fn167,phi_local,0.2877328881063873,96,0.0007978812965863645,0.39602389229291973,0.002014730202177323,2.2758289965748222e-14
free_surface_fn167,phi_local,0.319701219826673,96,0.0007928538984966644,0.3798234707308689,0.0020874273434736104,2.2900502941476583e-14
free_surface_fn167,phi_local,0.3516695515469587,96,0.0007875502660487545,0.3636405285325191,0.0021657384264260485,2.204911032748595e-14
free_surface_fn167,phi_local,0.38363788326724446,96,0.0007821079876101143,0.34748625622735085,0.002250759486436788,2.000792005413184e-14
free_surface_fn167,phi_local,0.41560621498753014,96,0.0007764188455409061,0.3313693915730642,0.002343061445280507,1.781711233588071e-14
free_surface_fn167,phi_local,0.4475745467078159,96,0.0007703324015381618,0.31530011392545754,0.0024431719733545095,1.6221798348192712e-14
free_surface_fn167,phi_local,0.47954287842810156,96,0.0007639573220060164,0.2992936086356944,0.0025525347015876946,1.5606928330922215e-14
free_surface_fn167,phi_local,0.5115112101483873,96,0.000757478995186989,0.2833687488108091,0.0026731211482064992,1.5906148651834685e-14
free_surface_fn167,phi_local,0.543479541868673,96,0.0007507775747800277,0.26754359258575433,0.002806187834752144,1.7097795037448698e-14
free_surface_fn167,phi_local,0.5754478735889588,96,0.0007435406985211317,0.25183377644203675,0.0029525058513835555,1.8536485899928227e-14
free_surface_fn167,phi_local,0.6074162053092445,96,0.0007357478392801855,0.23625610490237525,0.0031141960948869794,1.940350981055675e-14
free_surface_fn167,phi_local,0.6393845370295301,96,0.0007277095030822059,0.22083241996350658,0.003295301945259952,1.9401048086202206e-14
free_surface_fn167,phi_local,0.6713528687498159,96,0.0007195179445315652,0.20558817778373115,0.00349980213983152,1.832439834450183e-14
free_surface_fn167,phi_local,0.7033212004701016,96,0.0007107776078334436,0.19054755104804752,0.003730184953435678,1.6335376553439204e-14
free_surface_fn167,phi_local,0.7352895321903873,96,0.0007011096108335388,0.17573240790695324,0.003989643226221325,1.4051231029160625e-14
free_surface_fn167,phi_local,0.7672578639106731,96,0.0006906529661813208,0.16116800476324336,0.004285298233950924,1.2141216462918512e-14
free_surface_fn167,phi_local,0.7992261956309588,96,0.0006797043215347002,0.14688909622102128,0.004627329999443674,1.088075206690108e-14
free_surface_fn167,phi_local,0.8311945273512444,96,0.0006680064752437767,0.13293902225017593,0.005024908893843566,1.030117069579328e-14
