case,mode,component,dimensionless_change,tolerance,passed,fine_real,fine_imag
fn167,3,original,0.0009073804814002554,0.03364241776303109,True,-0.010193141053130501,-0.6727711416614085
fn167,3,delta,0.0013422698381434744,0.001,False,-0.006070441110382398,-0.009284488483980924
fn167,3,candidate,0.0014812053078242255,0.03411247523699408,True,-0.0162635821635129,-0.6820556301453895
fn167,5,original,0.00019009352210503134,0.004808240483861707,True,0.07852954604016456,-0.055504783748649436
fn167,5,delta,0.0004973737794087122,0.001,True,-0.002028915180496805,-0.0033409459437904795
fn167,5,candidate,0.0006479295594849959,0.004825755491361653,True,0.07650063085966777,-0.05884572969243992
fn226,3,original,0.0013985129754793082,0.030145571649300335,True,-0.0967361787310998,-0.595100250167772
fn226,3,delta,0.001892873185605977,0.001,False,-0.012067064080795801,-0.010338120425859321
fn226,3,candidate,0.0031910408093462662,0.030756859650875268,True,-0.1088032428118956,-0.6054383705936314
fn226,5,original,0.00027379027669260334,0.0027586432723898137,True,0.04527390771785113,-0.03153281404626189
fn226,5,delta,0.0005157074608441954,0.001,True,-0.002956249337287631,-0.0027606123401323957
fn226,5,candidate,0.0004897854534696279,0.0027234276675419163,True,0.0423176583805635,-0.034293426386394286
fn282,3,original,0.0022198663641996587,0.02748227483554774,True,-0.14516406054923736,-0.5301297648495975
fn282,3,delta,0.0023884445745454117,0.0010088889770774364,False,-0.017754443846681442,-0.009587622798294575
fn282,3,candidate,0.003977124958752434,0.028188530362723247,True,-0.16291850439591882,-0.5397173876478921
fn282,5,original,0.00014381388018446238,0.001619511170069917,True,0.02996940898979846,-0.012286622676499841
fn282,5,delta,0.00047037083940146626,0.001,True,-0.0030459243409436654,-0.001914888913092366
fn282,5,candidate,0.0003458671333248606,0.0015219699053089402,True,0.026923484648854794,-0.014201511589592207
