panel_count,arc_fraction_lower,arc_fraction_upper,residual_energy_fraction
640,0.0,0.1,0.22044505119347835
640,0.1,0.25,0.004585328468257606
640,0.25,0.5,0.002023303003116699
640,0.5,0.75,0.002752365473926511
640,0.75,0.9,0.007764085814134276
640,0.9,1.0,0.7624298660470865
1280,0.0,0.1,0.14730988025578368
1280,0.1,0.25,0.0034091084089421537
1280,0.25,0.5,0.0019462362439290537
1280,0.5,0.75,0.003020171387878182
1280,0.75,0.9,0.008454344280303276
1280,0.9,1.0,0.8358602594231637
