mode_count,root_rank,nullspace_dimension,linear_floor_objective_ratio,trust_limited_objective_ratio,coefficient_step_norm,maximum_displacement_ratio,trust_scale,maximum_absolute_root_increment,reduced_jacobian_condition_number
16,2,14,0.9998640045036964,0.9998640045036964,0.005913152792627794,0.021422592786610583,1.0,3.8370592510619805e-19,164.66660719540806
32,2,30,0.9998472852878516,0.9998472852878516,0.0066379311842685255,0.024080386213057716,1.0,2.5020294470707964e-18,404.7451785868103
64,2,62,0.9957505786836403,0.9957505786836403,0.014294742442902185,0.052461269210342804,1.0,2.077778437059699e-18,918.0878640749618
128,2,126,0.9936808185136811,0.9936808185136811,0.018634780317496685,0.06838020771731432,1.0,7.398991612943924e-17,1984.792516421593
