coefficient,omega_e_sqrt_l_over_g,base_value,base_gate_status,refined_value,refined_gate_status,absolute_change,relative_change,relative_change_limit,finite,status
A33,2.0,1.0590858966473276,PASS,1.05961281809095,PASS,0.0005269214436225411,0.0004972773400116737,0.02,True,PASS
A33,2.23,0.9285437041967624,PASS,0.9293819888926221,PASS,0.0008382846958597812,0.0009019807849500233,0.02,True,PASS
A35,2.23,-0.12785878297775646,PASS,-0.1264539862806383,PASS,0.0014047966971181547,0.01110915312705525,0.02,True,PASS
A53,2.0,0.18617438624044189,PASS,0.18666350293094205,PASS,0.0004891166905001687,0.0026203123954076984,0.02,True,PASS
A53,2.23,0.14306718189987463,PASS,0.1436549270121946,PASS,0.0005877451123199595,0.004091367588596993,0.02,True,PASS
A55,2.23,0.04387677227571385,PASS,0.04413135168251937,PASS,0.00025457940680551766,0.005768674583932079,0.02,True,PASS
B33,2.23,2.053461164377604,PASS,2.0490161955614257,PASS,0.004444968816178285,0.0021693185372604505,0.02,True,PASS
B35,2.23,0.15947432218402804,PASS,0.1608096188253851,PASS,0.0013352966413570644,0.008303586881870507,0.02,True,PASS
B53,2.23,-0.10770060209503385,PASS,-0.10827027613655105,PASS,0.0005696740415171986,0.005261592210208485,0.02,True,PASS
B55,2.23,0.06953229224466863,PASS,0.06936899537712825,PASS,0.00016329686754038009,0.002354032470163478,0.02,True,PASS
