matrix_contract,grid_label,omega_e_sqrt_l_over_g,solver_omega_rad_s,solver_frequency_role,encounter_omega_rad_s,encounter_frequency_role,speed_mps,fn_l,row_dof,col_dof,source_row_index_zero_based,source_col_index_zero_based,added_mass_coefficient,radiation_damping_coefficient,added_mass_dimensional,added_mass_unit,added_mass_nondimensional,radiation_damping_dimensional,radiation_damping_unit,radiation_damping_nondimensional,complex_force_real,complex_force_imag,force_harmonic_convention,matrix_reconstruction_relative_residual,provider_route,force_assembly_route,station_x_origin,pitch_moment_origin,geometry_vertical_axis,reported_heave_force_axis,pitch_lever_expression,added_mass_reference_value,added_mass_reference_status,damping_reference_value,damping_reference_status,empirical_output_scaling_used
heave_pitch_2x2_v1,base,2.0,3.616010693199528,A1_encounter_circular_frequency,3.616010693199528,same_as_solver_frequency_for_radiation_problem,2.1696064159197173,0.4,heave,heave,2,2,A33,B33,84.67391743695384,kg,1.0590858966473276,273.2344155830285,kg/s,1.8902411876566911,1107.1566299108044,-988.018568498355,F=omega^2*A-i*omega*B,0.0,matched_bie_station_sweep,eq32_stokes_body_plus_end,aft_perpendicular,longitudinal_center_of_gravity,positive_down,positive_up,LCG-x_station,1.07,PASS,,NO_REFERENCE_AT_FREQUENCY,False
heave_pitch_2x2_v1,base,2.0,3.616010693199528,A1_encounter_circular_frequency,3.616010693199528,same_as_solver_frequency_for_radiation_problem,2.1696064159197173,0.4,heave,pitch,2,4,A35,B35,-40.389800629342474,kg*m,-0.16839608350778598,89.17937241997616,kg*m/s,0.20564823124241474,-528.1181844556552,-322.4735642834569,F=omega^2*A-i*omega*B,0.0,matched_bie_station_sweep,eq32_stokes_body_plus_end,aft_perpendicular,longitudinal_center_of_gravity,positive_down,positive_up,LCG-x_station,,NO_REFERENCE_AT_FREQUENCY,,NO_REFERENCE_AT_FREQUENCY,False
heave_pitch_2x2_v1,base,2.0,3.616010693199528,A1_encounter_circular_frequency,3.616010693199528,same_as_solver_frequency_for_radiation_problem,2.1696064159197173,0.4,pitch,heave,4,2,A53,B53,44.65392653976999,kg*m,0.18617438624044189,-70.26822901230237,kg*m/s,-0.16203900764029144,583.8739049349805,254.0906675006787,F=omega^2*A-i*omega*B,0.0,matched_bie_station_sweep,eq32_stokes_body_plus_end,aft_perpendicular,longitudinal_center_of_gravity,positive_down,positive_up,LCG-x_station,0.19,PASS,,NO_REFERENCE_AT_FREQUENCY,False
heave_pitch_2x2_v1,base,2.0,3.616010693199528,A1_encounter_circular_frequency,3.616010693199528,same_as_solver_frequency_for_radiation_problem,2.1696064159197173,0.4,pitch,pitch,4,4,A55,B55,34.11626978994307,kg*m^2,0.04741334137995006,105.83426063745989,kg*m^2/s,0.08135150507842129,446.0884228473936,-382.69781817192086,F=omega^2*A-i*omega*B,0.0,matched_bie_station_sweep,eq32_stokes_body_plus_end,aft_perpendicular,longitudinal_center_of_gravity,positive_down,positive_up,LCG-x_station,,NO_REFERENCE_AT_FREQUENCY,,NO_REFERENCE_AT_FREQUENCY,False
heave_pitch_2x2_v1,base,2.23,4.031851922917474,A1_encounter_circular_frequency,4.031851922917474,same_as_solver_frequency_for_radiation_problem,2.1696064159197173,0.4,heave,heave,2,2,A33,B33,74.23706915053116,kg,0.9285437041967624,296.8278677001633,kg/s,2.053461164377604,1206.7851704889554,-1196.766009162397,F=omega^2*A-i*omega*B,0.0,matched_bie_station_sweep,eq32_stokes_body_plus_end,aft_perpendicular,longitudinal_center_of_gravity,positive_down,positive_up,LCG-x_station,0.941,PASS,2.05,PASS,False
heave_pitch_2x2_v1,base,2.23,4.031851922917474,A1_encounter_circular_frequency,4.031851922917474,same_as_solver_frequency_for_radiation_problem,2.1696064159197173,0.4,heave,pitch,2,4,A35,B35,-30.666929097214894,kg*m,-0.12785878297775646,69.15605295290995,kg*m/s,0.15947432218402804,-498.5163838285821,-278.8269650795726,F=omega^2*A-i*omega*B,0.0,matched_bie_station_sweep,eq32_stokes_body_plus_end,aft_perpendicular,longitudinal_center_of_gravity,positive_down,positive_up,LCG-x_station,-0.125,PASS,0.163,PASS,False
heave_pitch_2x2_v1,base,2.23,4.031851922917474,A1_encounter_circular_frequency,4.031851922917474,same_as_solver_frequency_for_radiation_problem,2.1696064159197173,0.4,pitch,heave,4,2,A53,B53,34.314663578684936,kg*m,0.14306718189987463,-46.704374971097415,kg*m/s,-0.10770060209503385,557.8133351830763,188.30512403587784,F=omega^2*A-i*omega*B,0.0,matched_bie_station_sweep,eq32_stokes_body_plus_end,aft_perpendicular,longitudinal_center_of_gravity,positive_down,positive_up,LCG-x_station,0.145,PASS,-0.106,PASS,False
heave_pitch_2x2_v1,base,2.23,4.031851922917474,A1_encounter_circular_frequency,4.031851922917474,same_as_solver_frequency_for_radiation_problem,2.1696064159197173,0.4,pitch,pitch,4,4,A55,B55,31.5715314909899,kg*m^2,0.04387677227571385,90.45805278031985,kg*m^2/s,0.06953229224466863,513.2214464945519,-364.71347404570287,F=omega^2*A-i*omega*B,0.0,matched_bie_station_sweep,eq32_stokes_body_plus_end,aft_perpendicular,longitudinal_center_of_gravity,positive_down,positive_up,LCG-x_station,0.0458,PASS,0.0703,PASS,False
heave_pitch_2x2_v1,refined,2.0,3.616010693199528,A1_encounter_circular_frequency,3.616010693199528,same_as_solver_frequency_for_radiation_problem,2.1696064159197173,0.4,heave,heave,2,2,A33,B33,84.71604480637147,kg,1.05961281809095,272.68118914106157,kg/s,1.8864139559938153,1107.7074677338703,-986.0180957684416,F=omega^2*A-i*omega*B,6.962351293263651e-17,matched_bie_station_sweep,eq32_stokes_body_plus_end,aft_perpendicular,longitudinal_center_of_gravity,positive_down,positive_up,LCG-x_station,1.07,PASS,,NO_REFERENCE_AT_FREQUENCY,False
heave_pitch_2x2_v1,refined,2.0,3.616010693199528,A1_encounter_circular_frequency,3.616010693199528,same_as_solver_frequency_for_radiation_problem,2.1696064159197173,0.4,heave,pitch,2,4,A35,B35,-40.04696574887408,kg*m,-0.16696671148165135,89.60257842124328,kg*m/s,0.20662414712127847,-523.6354355482613,-324.003881709465,F=omega^2*A-i*omega*B,6.962351293263651e-17,matched_bie_station_sweep,eq32_stokes_body_plus_end,aft_perpendicular,longitudinal_center_of_gravity,positive_down,positive_up,LCG-x_station,,NO_REFERENCE_AT_FREQUENCY,,NO_REFERENCE_AT_FREQUENCY,False
