panel_index,mid_xi,mid_eta,panel_length,kinematic_residual_midpoint,kinematic_residual_left,kinematic_residual_right,kinematic_integral_panel_linear_exact
0,2.247046842532577,0.27203164802672186,0.018329604717853602,3.065192875071263,3.8517913712737055,2.2785943788688208,0.17599450582892462
1,2.2561202861024423,0.25558394941117324,0.019246015861186926,2.3286374634025004,2.245977616768,2.411297310037,0.10440636395563581
2,2.268206430011646,0.24040913327846508,0.020208457643505786,2.3091991020611795,2.849263558499364,1.7691346456229957,0.10972432053460209
3,2.2841613919670287,0.22721270486258652,0.02121875740097936,1.7378843107184416,1.860368869919368,1.6153997515175147,0.06419189092731824
4,2.3024465615721557,0.21562216144425334,0.022279774868360483,1.6562767243883787,1.9632681679078179,1.3492852808689388,0.061818959879603654
5,2.322931626535267,0.20553326251036624,0.02339371035842776,1.2964906159476735,1.4022220613077563,1.1907591705875915,0.03940937892390669
6,2.3450829845581462,0.19644359510068649,0.02456342602545091,1.2328292309112308,1.4149595802536625,1.050698881568799,0.03760476464128861
7,2.368875998294623,0.18821006744898164,0.025791578127618422,0.9898732436772189,1.0662043233121563,0.9135421640422816,0.025321944004467144
8,2.394162790034404,0.18055410086589452,0.027081168780300632,0.9519911288081193,1.068420199708872,0.8355620579073668,0.024665682495433928
9,2.4210051713632543,0.17348306867055496,0.0284352195359542,0.7846761218217597,0.8464888334323455,0.722863410211174,0.017544252355230713
10,2.4493520177031494,0.1667317645407436,0.02985698495386351,0.7439544966114566,0.8202881987407864,0.6676207944821269,0.0165828850632157
11,2.4792931344791986,0.16040124601283084,0.03134983135091211,0.6383394340118681,0.6910049728493592,0.5856738951743765,0.012803327114770653
12,2.5108382074959152,0.1542916186017314,0.0329173243999878,0.5900007893689296,0.6435446934113359,0.536456885326523,0.01149000872200709
13,2.544072035734991,0.1484713956231733,0.03456318977871628,0.5226914209978073,0.5666036402863481,0.47877920170926647,0.009465097812135352
14,2.579047189755235,0.1428357727961963,0.03629134966770467,0.47541428322170365,0.5161547537969191,0.4346738126464882,0.008222603773885404
15,2.6158463332383635,0.13740296591788398,0.03810591695921928,0.42799062309311253,0.4640615195173996,0.39191972666882546,0.006996615091152921
16,2.6545471214225493,0.13213278193127204,0.04001121289136168,0.387466169580319,0.42028939729405035,0.3546429418665876,0.006021253578338606
17,2.6952378008878424,0.12701691130553,0.042011773497145036,0.35031614587449006,0.38006440663734464,0.3205678851116357,0.005168136645890422
18,2.7380112780754753,0.1220436129800288,0.04411236219303276,0.3175008401093628,0.3447553285706517,0.29024635164807394,0.004457747669835271
19,2.7829660651745716,0.11720142265651118,0.046317980287397184,0.286983682451358,0.31187060534957295,0.2620967595531431,0.003824294388705093
20,2.8302067667688995,0.11248475148984197,0.04863387931447188,0.2604121361050909,0.2833944615656219,0.2374298106445598,0.003306643865640969
21,2.879843821087017,0.10788799714337975,0.051065573269344286,0.2352930996123236,0.2564142253453381,0.21417197387930909,0.002834728785557329
22,2.931993502722637,0.10340593938193438,0.05361885194135206,0.21339364070269645,0.2329807154242171,0.19380656598117568,0.002448490417780379
23,2.9867786871421806,0.099037279273062,0.056299794532004996,0.19281991315506042,0.21093309087369272,0.17470673543642812,0.00209935635616468
24,3.04432835830477,0.09477809139260392,0.059114784262949686,0.17460746588728904,0.19144710315333613,0.1577678286212419,0.0018078655704763776
25,3.1047785568115875,0.09062847571656885,0.06207052347322446,0.1577398746343714,0.17338593916900147,0.1420938100997413,0.001549495515799718
26,3.1682721266109146,0.08658640077255608,0.06517404964858776,0.14259793167927426,0.15717453889690608,0.12802132446164244,0.0013298762188116541
27,3.2349594125744425,0.08265220516723482,0.06843275212998705,0.12872360217119494,0.14230961387107272,0.11513759047131722,0.001138125105430764
28,3.304998353129622,0.07882525112461984,0.07185438973702017,0.11617581029766533,0.1288563786926047,0.10349524190272602,0.0009736570043299541
29,3.3785549885744883,0.0751059279821948,0.07544710922355564,0.10474482180106448,0.11658778015978791,0.09290186344234103,0.0008312935707006488
30,3.4558037629872533,0.07149429754715049,0.07921946468486828,0.09438176825849387,0.10545132970607846,0.08331220681090934,0.0007089162337137572
31,3.5369279750923206,0.06799075872176591,0.08318043791902106,0.08496971763265992,0.09532181254303318,0.07461762272228667,0.0006035218951172388
32,3.6221201862585684,0.06459558544245593,0.08733945981499508,0.07643821117350746,0.08612400999723602,0.06675241234977897,0.0005130382486414646
33,3.711582685194138,0.0613090886387208,0.09170643280571586,0.06870552307296363,0.07777105825926825,0.059639987886658946,0.0004354077948910611
34,3.805527961105205,0.058131465940636146,0.09629175444599836,0.06170495903428383,0.07019223288371121,0.05321768518485642,0.00036894313224444174
35,3.9041792093944494,0.055062819165922205,0.10110634216828628,0.055371679660844275,0.06331898908119751,0.04742437024049098,0.0003121229776027553
36,4.007770860175395,0.05210309985405566,0.10616165927669434,0.04964781457505657,0.05709026498731323,0.04220536416279991,0.0002636385575130562
37,4.116549135417912,0.04925209724283443,0.11146974224052024,0.044479501012885336,0.05144934116955385,0.0375096608562169,0.00022233965475790718
38,4.230772633850684,0.046509414101999665,0.11704322935254098,0.03981755346093846,0.046344498805490825,0.033290608116386095,0.00018722678585942807
39,4.35071294576754,0.043874454587873105,0.12289539082016306,0.03561664869958514,0.041728148739612,0.02950514865955825,0.00015742848056590034
40,4.476655298768263,0.041346412870247554,0.12904016036116564,0.031835190612012704,0.03755667351270783,0.026113707711317657,0.00013218759828974294
41,4.608899236058104,0.03892426725922239,0.13549216837921962,0.028434936718311724,0.033790029333144136,0.023079844103479297,0.00011084677052531847
42,4.747759328825252,0.03660677779328966,0.14226677679817828,0.02538075668908228,0.03039148398875066,0.020370029389413916,9.283646112145671e-05
43,4.89356592438441,0.034392488107176454,0.14938011563808273,0.022640371433050338,0.02732733164719639,0.017953411218904244,7.766405916829725e-05
44,5.046665931837969,0.032279731007389484,0.15684912141998567,0.020184134774548224,0.02456664772692771,0.015801621822168738,6.49043917609686e-05
45,5.207423647114124,0.030266637482262302,0.1646915774909819,0.017984834655521323,0.022081062989805555,0.01388860632123709,5.419131996708686e-05
46,5.376221619338864,0.028351148523348864,0.17292615636552727,0.016017520808383257,0.019844567415345488,0.012190474201421053,4.521034487337791e-05
47,5.553461560606596,0.026531029166336657,0.18157246418380457,0.01425935064254498,0.017833337667176388,0.010685363617913585,3.76920604558267e-05
48,5.739565301323665,0.024803884165252647,0.1906510873929915,0.012689449144301729,0.016025584133452717,0.009353314155150755,3.1406344805629175e-05
49,5.9349757934124625,0.023167174810297814,0.20018364176264142,0.01128877762373906,0.014401411197694086,0.008176144049784048,2.6157194965879315e-05
50,6.140158163780299,0.021618236485753888,0.2101928238507715,0.010040008437419631,0.012942686333966308,0.007137330540872955,2.1778137840537653e-05
51,6.355600820577573,0.020154296640611982,0.22070246504330898,0.008927404116237922,0.011632915153888194,0.006221893078587622,1.8128163741040946e-05
52,6.581816614894856,0.018772492896643567,0.23173758829547458,0.007936700583424341,0.01045712121466276,0.005416279952185903,1.5088138414981559e-05
53,6.819344060679074,0.017469891054551587,0.2433244677102466,0.007054994622053348,0.009401730447843641,0.004708258796263069,1.2557652675074519e-05
54,7.068748615785766,0.016243502784483107,0.25549069109575934,0.006270636011333347,0.008454460322201693,0.004086811700464994,1.045227036285145e-05
55,7.33062402722787,0.015090302809270569,0.26826522565054595,0.005573124782351058,0.00760421429361606,0.0035420352710860414,8.701136463242587e-06
