station_id,x_m,point_order,y_m,z_down_m,feature,source,table_x,waterline_z_table,scale_m
S00,0.000000,0,0.063019,0.000000,waterline,B2.md TABLE OF OFFSETS,-15.000,1.500,0.100
S00,0.000000,1,0.060000,0.000800,wetted_offset,B2.md TABLE OF OFFSETS,-15.000,1.500,0.100
S00,0.000000,2,0.030000,0.002500,wetted_offset,B2.md TABLE OF OFFSETS,-15.000,1.500,0.100
S00,0.000000,3,0.000000,0.003000,keel,B2.md TABLE OF OFFSETS,-15.000,1.500,0.100
S00,0.000000,4,-0.030000,0.002500,wetted_offset,B2.md TABLE OF OFFSETS,-15.000,1.500,0.100
S00,0.000000,5,-0.060000,0.000800,wetted_offset,B2.md TABLE OF OFFSETS,-15.000,1.500,0.100
S00,0.000000,6,-0.063019,0.000000,waterline,B2.md TABLE OF OFFSETS,-15.000,1.500,0.100
S01,0.075000,0,0.095671,0.000000,waterline,B2.md TABLE OF OFFSETS,-14.250,1.500,0.100
S01,0.075000,1,0.090000,0.003100,wetted_offset,B2.md TABLE OF OFFSETS,-14.250,1.500,0.100
S01,0.075000,2,0.075000,0.007300,wetted_offset,B2.md TABLE OF OFFSETS,-14.250,1.500,0.100
S01,0.075000,3,0.060000,0.009500,wetted_offset,B2.md TABLE OF OFFSETS,-14.250,1.500,0.100
S01,0.075000,4,0.030000,0.011900,wetted_offset,B2.md TABLE OF OFFSETS,-14.250,1.500,0.100
S01,0.075000,5,0.000000,0.012800,keel,B2.md TABLE OF OFFSETS,-14.250,1.500,0.100
S01,0.075000,6,-0.030000,0.011900,wetted_offset,B2.md TABLE OF OFFSETS,-14.250,1.500,0.100
S01,0.075000,7,-0.060000,0.009500,wetted_offset,B2.md TABLE OF OFFSETS,-14.250,1.500,0.100
S01,0.075000,8,-0.075000,0.007300,wetted_offset,B2.md TABLE OF OFFSETS,-14.250,1.500,0.100
S01,0.075000,9,-0.090000,0.003100,wetted_offset,B2.md TABLE OF OFFSETS,-14.250,1.500,0.100
S01,0.075000,10,-0.095671,0.000000,waterline,B2.md TABLE OF OFFSETS,-14.250,1.500,0.100
S02,0.150000,0,0.106500,0.000000,waterline,B2.md TABLE OF OFFSETS,-13.500,1.500,0.100
S02,0.150000,1,0.093600,0.010000,wetted_offset,B2.md TABLE OF OFFSETS,-13.500,1.500,0.100
S02,0.150000,2,0.080000,0.016100,wetted_offset,B2.md TABLE OF OFFSETS,-13.500,1.500,0.100
S02,0.150000,3,0.060000,0.020700,wetted_offset,B2.md TABLE OF OFFSETS,-13.500,1.500,0.100
S02,0.150000,4,0.030000,0.024000,wetted_offset,B2.md TABLE OF OFFSETS,-13.500,1.500,0.100
S02,0.150000,5,0.000000,0.025300,keel,B2.md TABLE OF OFFSETS,-13.500,1.500,0.100
S02,0.150000,6,-0.030000,0.024000,wetted_offset,B2.md TABLE OF OFFSETS,-13.500,1.500,0.100
S02,0.150000,7,-0.060000,0.020700,wetted_offset,B2.md TABLE OF OFFSETS,-13.500,1.500,0.100
S02,0.150000,8,-0.080000,0.016100,wetted_offset,B2.md TABLE OF OFFSETS,-13.500,1.500,0.100
S02,0.150000,9,-0.093600,0.010000,wetted_offset,B2.md TABLE OF OFFSETS,-13.500,1.500,0.100
S02,0.150000,10,-0.106500,0.000000,waterline,B2.md TABLE OF OFFSETS,-13.500,1.500,0.100
S03,0.225000,0,0.109902,0.000000,waterline,B2.md TABLE OF OFFSETS,-12.750,1.500,0.100
S03,0.225000,1,0.105000,0.007500,wetted_offset,B2.md TABLE OF OFFSETS,-12.750,1.500,0.100
S03,0.225000,2,0.090000,0.019900,wetted_offset,B2.md TABLE OF OFFSETS,-12.750,1.500,0.100
S03,0.225000,3,0.075000,0.027200,wetted_offset,B2.md TABLE OF OFFSETS,-12.750,1.500,0.100
S03,0.225000,4,0.060000,0.031300,wetted_offset,B2.md TABLE OF OFFSETS,-12.750,1.500,0.100
S03,0.225000,5,0.030000,0.035600,wetted_offset,B2.md TABLE OF OFFSETS,-12.750,1.500,0.100
S03,0.225000,6,0.000000,0.037300,keel,B2.md TABLE OF OFFSETS,-12.750,1.500,0.100
S03,0.225000,7,-0.030000,0.035600,wetted_offset,B2.md TABLE OF OFFSETS,-12.750,1.500,0.100
S03,0.225000,8,-0.060000,0.031300,wetted_offset,B2.md TABLE OF OFFSETS,-12.750,1.500,0.100
S03,0.225000,9,-0.075000,0.027200,wetted_offset,B2.md TABLE OF OFFSETS,-12.750,1.500,0.100
S03,0.225000,10,-0.090000,0.019900,wetted_offset,B2.md TABLE OF OFFSETS,-12.750,1.500,0.100
S03,0.225000,11,-0.105000,0.007500,wetted_offset,B2.md TABLE OF OFFSETS,-12.750,1.500,0.100
S03,0.225000,12,-0.109902,0.000000,waterline,B2.md TABLE OF OFFSETS,-12.750,1.500,0.100
S04,0.300000,0,0.113200,0.000000,waterline,B2.md TABLE OF OFFSETS,-12.000,1.500,0.100
S04,0.300000,1,0.107200,0.010000,wetted_offset,B2.md TABLE OF OFFSETS,-12.000,1.500,0.100
S04,0.300000,2,0.090000,0.027300,wetted_offset,B2.md TABLE OF OFFSETS,-12.000,1.500,0.100
S04,0.300000,3,0.060000,0.041200,wetted_offset,B2.md TABLE OF OFFSETS,-12.000,1.500,0.100
S04,0.300000,4,0.030000,0.046700,wetted_offset,B2.md TABLE OF OFFSETS,-12.000,1.500,0.100
S04,0.300000,5,0.000000,0.048900,keel,B2.md TABLE OF OFFSETS,-12.000,1.500,0.100
S04,0.300000,6,-0.030000,0.046700,wetted_offset,B2.md TABLE OF OFFSETS,-12.000,1.500,0.100
S04,0.300000,7,-0.060000,0.041200,wetted_offset,B2.md TABLE OF OFFSETS,-12.000,1.500,0.100
S04,0.300000,8,-0.090000,0.027300,wetted_offset,B2.md TABLE OF OFFSETS,-12.000,1.500,0.100
S04,0.300000,9,-0.107200,0.010000,wetted_offset,B2.md TABLE OF OFFSETS,-12.000,1.500,0.100
S04,0.300000,10,-0.113200,0.000000,waterline,B2.md TABLE OF OFFSETS,-12.000,1.500,0.100
S05,0.375000,0,0.114521,0.000000,waterline,B2.md TABLE OF OFFSETS,-11.250,1.500,0.100
S05,0.375000,1,0.105000,0.017900,wetted_offset,B2.md TABLE OF OFFSETS,-11.250,1.500,0.100
S05,0.375000,2,0.090000,0.034000,wetted_offset,B2.md TABLE OF OFFSETS,-11.250,1.500,0.100
S05,0.375000,3,0.075000,0.044100,wetted_offset,B2.md TABLE OF OFFSETS,-11.250,1.500,0.100
S05,0.375000,4,0.060000,0.050500,wetted_offset,B2.md TABLE OF OFFSETS,-11.250,1.500,0.100
S05,0.375000,5,0.030000,0.057200,wetted_offset,B2.md TABLE OF OFFSETS,-11.250,1.500,0.100
S05,0.375000,6,0.000000,0.059900,keel,B2.md TABLE OF OFFSETS,-11.250,1.500,0.100
S05,0.375000,7,-0.030000,0.057200,wetted_offset,B2.md TABLE OF OFFSETS,-11.250,1.500,0.100
S05,0.375000,8,-0.060000,0.050500,wetted_offset,B2.md TABLE OF OFFSETS,-11.250,1.500,0.100
S05,0.375000,9,-0.075000,0.044100,wetted_offset,B2.md TABLE OF OFFSETS,-11.250,1.500,0.100
S05,0.375000,10,-0.090000,0.034000,wetted_offset,B2.md TABLE OF OFFSETS,-11.250,1.500,0.100
S05,0.375000,11,-0.105000,0.017900,wetted_offset,B2.md TABLE OF OFFSETS,-11.250,1.500,0.100
S05,0.375000,12,-0.114521,0.000000,waterline,B2.md TABLE OF OFFSETS,-11.250,1.500,0.100
S06,0.450000,0,0.115700,0.000000,waterline,B2.md TABLE OF OFFSETS,-10.500,1.500,0.100
S06,0.450000,1,0.106600,0.020000,wetted_offset,B2.md TABLE OF OFFSETS,-10.500,1.500,0.100
S06,0.450000,2,0.090000,0.040200,wetted_offset,B2.md TABLE OF OFFSETS,-10.500,1.500,0.100
S06,0.450000,3,0.060000,0.059100,wetted_offset,B2.md TABLE OF OFFSETS,-10.500,1.500,0.100
S06,0.450000,4,0.030000,0.067300,wetted_offset,B2.md TABLE OF OFFSETS,-10.500,1.500,0.100
