iteration,residual_mode,shape_mode,value,finite_difference_step,jacobian_condition_number
1,0,0,-0.5063726800886592,0.0006650873907904612,176.09814849591422
1,0,1,-1.0528145404884324,0.0003221044409845302,176.09814849591422
1,0,2,-1.5027216781379897,0.0002288349154506379,176.09814849591422
1,0,3,-1.8524873629567018,0.00019002562756517024,176.09814849591422
1,0,4,-7.838050028517138,6.849515118560372e-05,176.09814849591422
1,0,5,7.448288031548269,0.00010735658185860183,176.09814849591422
1,0,6,-6.59687772970209,0.00015629157810513557,176.09814849591422
1,0,7,4.083992918925414,0.00022388532376631142,176.09814849591422
1,0,8,-3.9506344475743287,0.0002971273231367355,176.09814849591422
1,0,9,1.6154433526837806,0.00047252411051982034,176.09814849591422
1,0,10,-2.6386608442826027,0.0005191410595630095,176.09814849591422
1,0,11,0.21911047079630924,0.0011104145356010224,176.09814849591422
1,1,0,-0.0469658502194939,0.0006650873907904612,176.09814849591422
1,1,1,-0.08805060238999142,0.0003221044409845302,176.09814849591422
1,1,2,-0.09975009269561058,0.0002288349154506379,176.09814849591422
1,1,3,-0.07488532099659072,0.00019002562756517024,176.09814849591422
1,1,4,-0.33289304186485225,6.849515118560372e-05,176.09814849591422
1,1,5,-0.031418652242350895,0.00010735658185860183,176.09814849591422
1,1,6,-0.008183399193825854,0.00015629157810513557,176.09814849591422
1,1,7,-0.08197034387259115,0.00022388532376631142,176.09814849591422
1,1,8,-0.04276773246910314,0.0002971273231367355,176.09814849591422
1,1,9,-0.09375816086233316,0.00047252411051982034,176.09814849591422
1,1,10,-0.06372095830741785,0.0005191410595630095,176.09814849591422
1,1,11,-0.10151814532252729,0.0011104145356010224,176.09814849591422
1,2,0,-0.5568599081193975,0.0006650873907904612,176.09814849591422
1,2,1,-1.1669687713798897,0.0003221044409845302,176.09814849591422
1,2,2,-1.6902247636727155,0.0002288349154506379,176.09814849591422
1,2,3,-2.128542501411252,0.00019002562756517024,176.09814849591422
1,2,4,-8.357956484909336,6.849515118560372e-05,176.09814849591422
1,2,5,7.990631771754494,0.00010735658185860183,176.09814849591422
1,2,6,-6.898882762269607,0.00015629157810513557,176.09814849591422
1,2,7,4.440234138328676,0.00022388532376631142,176.09814849591422
1,2,8,-4.064886439068303,0.0002971273231367355,176.09814849591422
1,2,9,1.8521281478187084,0.00047252411051982034,176.09814849591422
1,2,10,-2.6402725292262863,0.0005191410595630095,176.09814849591422
1,2,11,0.4025828891276976,0.0011104145356010224,176.09814849591422
1,3,0,0.05243653674964329,0.0006650873907904612,176.09814849591422
1,3,1,0.11341187456115018,0.0003221044409845302,176.09814849591422
1,3,2,0.17356325396548078,0.0002288349154506379,176.09814849591422
1,3,3,0.23511034733857597,0.00019002562756517024,176.09814849591422
1,3,4,0.14909176193035048,6.849515118560372e-05,176.09814849591422
1,3,5,0.06588914855170622,0.00010735658185860183,176.09814849591422
1,3,6,-0.20240572564914971,0.00015629157810513557,176.09814849591422
1,3,7,0.015447835227673028,0.00022388532376631142,176.09814849591422
1,3,8,-0.18664518185167892,0.0002971273231367355,176.09814849591422
1,3,9,-0.07164869452429812,0.00047252411051982034,176.09814849591422
1,3,10,-0.17635721121413114,0.0005191410595630095,176.09814849591422
1,3,11,-0.1286800664906898,0.0011104145356010224,176.09814849591422
1,4,0,-0.8735801392502301,0.0006650873907904612,176.09814849591422
1,4,1,-1.8196854867798333,0.0003221044409845302,176.09814849591422
1,4,2,-2.6057232362363387,0.0002288349154506379,176.09814849591422
1,4,3,-3.225738086264461,0.00019002562756517024,176.09814849591422
1,4,4,-10.218190066492463,6.849515118560372e-05,176.09814849591422
1,4,5,8.326166604962962,0.00010735658185860183,176.09814849591422
1,4,6,-6.853864785618282,0.00015629157810513557,176.09814849591422
1,4,7,4.551373617518051,0.00022388532376631142,176.09814849591422
1,4,8,-3.8914357429782513,0.0002971273231367355,176.09814849591422
1,4,9,2.0288505817353633,0.00047252411051982034,176.09814849591422
1,4,10,-2.440222873035167,0.0005191410595630095,176.09814849591422
1,4,11,0.6321538731931696,0.0011104145356010224,176.09814849591422
1,5,0,0.09531510727818909,0.0006650873907904612,176.09814849591422
1,5,1,0.1964868142768308,0.0003221044409845302,176.09814849591422
1,5,2,0.2754359802107237,0.0002288349154506379,176.09814849591422
1,5,3,0.32881847024959515,0.00019002562756517024,176.09814849591422
