step,time_s,panels,newly_exposed,edge_extrapolated,relative_phi_eta_error
1,0.025,38,0,0,0.00012041310180478193
2,0.05,38,0,0,0.0002546070932433567
3,0.07500000000000001,38,0,0,0.0004238097044381712
4,0.1,36,0,0,0.0006408709181006493
5,0.125,36,0,0,0.0009208003616711068
6,0.15000000000000002,36,0,0,0.0012769986531475765
7,0.17500000000000002,36,0,0,0.0017203337154095646
8,0.2,36,0,0,0.00225517256962697
9,0.225,36,0,0,0.002867889893286435
10,0.25,36,0,0,0.0035089507722399402
11,0.275,36,0,2,0.004082607812611964
12,0.30000000000000004,36,0,2,0.004475356445857787
13,0.325,36,0,2,0.004623922452530825
14,0.35000000000000003,36,0,2,0.0045518392229357335
15,0.375,36,0,2,0.004333187619090477
16,0.4,36,0,2,0.004039722639611292
17,0.42500000000000004,38,2,2,0.003713358725931372
18,0.45,38,2,0,0.0033810896774349774
19,0.47500000000000003,38,0,2,0.003077705985175404
20,0.5,38,0,2,0.0028229832556759243
21,0.525,40,2,2,0.002632491079841742
22,0.55,40,2,0,0.0025208319044404633
23,0.5750000000000001,40,0,2,0.002523067254731236
24,0.6000000000000001,40,0,2,0.002661638185871384
25,0.625,40,0,2,0.002949902624096712
26,0.65,42,2,2,0.003387432161453127
27,0.675,42,0,2,0.003978369245683997
28,0.7000000000000001,42,0,2,0.004728370433961976
29,0.7250000000000001,42,0,2,0.00564729517730059
30,0.75,42,0,2,0.0067438323651141
31,0.775,42,0,0,0.008010872050587479
32,0.8,42,0,0,0.009396740552537452
33,0.8250000000000001,42,0,0,0.010764473118443136
34,0.8500000000000001,42,0,0,0.011873410781181285
35,0.875,40,0,0,0.012455337728788715
36,0.9,40,0,0,0.0123744220891909
37,0.925,40,0,0,0.011755635514889314
38,0.9500000000000001,40,0,0,0.010828547183091676
39,0.9750000000000001,40,0,0,0.009796251894025396
40,1.0,38,0,0,0.008796367368199963
