step,time_s,panels,newly_exposed,edge_extrapolated,relative_phi_eta_error
1,0.0125,76,0,0,1.4923044706460757e-05
2,0.025,76,0,0,2.9678593637858017e-05
3,0.037500000000000006,74,0,0,4.5665907077926115e-05
4,0.05,74,0,0,6.36970978644482e-05
5,0.0625,74,0,0,8.367712322404339e-05
6,0.07500000000000001,74,0,0,0.0001062178704987445
7,0.08750000000000001,72,0,0,0.0001317639828541676
8,0.1,72,0,0,0.0001607758146553206
9,0.1125,72,0,0,0.00019386253450876981
10,0.125,72,0,0,0.0002313355072116704
11,0.1375,72,0,0,0.0002735713462509259
12,0.15000000000000002,70,0,0,0.00032083918639504264
13,0.1625,70,0,0,0.00037316053553988933
14,0.17500000000000002,70,0,0,0.0004313567130548607
15,0.1875,70,0,0,0.0004954354749175537
16,0.2,70,0,0,0.0005651728291620255
17,0.21250000000000002,70,0,0,0.0006399560660185666
18,0.225,70,0,0,0.0007186120613065909
19,0.23750000000000002,70,0,0,0.0007992481970897328
20,0.25,70,0,0,0.0008791690152051801
21,0.2625,70,0,2,0.0009549593982153303
22,0.275,70,0,2,0.0010228136096182
23,0.28750000000000003,70,0,2,0.0010791074504114182
24,0.30000000000000004,70,0,2,0.001121071483000634
25,0.3125,70,0,2,0.0011473159828441785
26,0.325,70,0,2,0.001157991179960713
27,0.3375,70,0,2,0.0011545435523296363
28,0.35000000000000003,70,0,2,0.0011392201101830832
29,0.36250000000000004,72,2,2,0.001112588879761366
30,0.375,72,2,0,0.0010789242602438076
31,0.3875,72,0,2,0.001040845614859377
32,0.4,72,0,2,0.0010005012540717823
33,0.41250000000000003,72,0,2,0.0009596903902979554
34,0.42500000000000004,74,2,2,0.0009178026670420072
35,0.4375,74,2,0,0.0008757581480400869
36,0.45,74,0,2,0.0008350965515487641
37,0.4625,74,0,2,0.0007963950470966035
38,0.47500000000000003,76,2,2,0.0007600116763758514
39,0.48750000000000004,76,2,0,0.000726344104121195
40,0.5,76,0,2,0.0006960372887575158
41,0.5125000000000001,76,0,2,0.000669781587744555
42,0.525,78,2,2,0.0006481343449235621
43,0.5375,78,2,0,0.0006318087503569135
44,0.55,78,0,2,0.0006217141882642836
45,0.5625,78,0,2,0.000618710064361855
46,0.5750000000000001,80,2,2,0.0006234745957832937
47,0.5875,80,2,0,0.0006365846997308571
48,0.6000000000000001,80,0,2,0.0006585605373251651
49,0.6125,80,0,2,0.0006897201811311124
50,0.625,80,0,2,0.0007302518241132808
51,0.6375000000000001,82,2,2,0.000780046159940402
52,0.65,82,0,2,0.0008392374167892806
53,0.6625000000000001,82,0,2,0.0009079058139219062
54,0.675,82,0,2,0.0009861912302936674
55,0.6875,82,0,2,0.0010743134929945889
56,0.7000000000000001,82,0,2,0.0011725655685476705
57,0.7125,82,0,2,0.0012812864647367816
58,0.7250000000000001,82,0,2,0.001400809786536657
59,0.7375,82,0,2,0.001531379968262759
60,0.75,82,0,2,0.0016730245966430919
61,0.7625000000000001,82,0,0,0.0018253691958424981
62,0.775,82,0,0,0.0019873830415963983
63,0.7875000000000001,82,0,0,0.002157056052087422
64,0.8,82,0,0,0.002331035034992425
65,0.8125,82,0,0,0.0025042992837197653
66,0.8250000000000001,82,0,0,0.002670026700121303
67,0.8375,82,0,0,0.0028198600377497525
68,0.8500000000000001,82,0,0,0.0029447571396720505
69,0.8625,82,0,0,0.0030364212694022506
70,0.875,80,0,0,0.0030889765859827517
71,0.8875000000000001,80,0,0,0.0031003487679806805
72,0.9,80,0,0,0.00307237855346326
73,0.9125000000000001,80,0,0,0.0030102488434259824
74,0.925,80,0,0,0.0029210974698702518
75,0.9375,78,0,0,0.002812558604223107
76,0.9500000000000001,78,0,0,0.0026917222045338665
77,0.9625,78,0,0,0.0025643804001067084
78,0.9750000000000001,78,0,0,0.002434973592049004
79,0.9875,76,0,0,0.0023071149544133733
80,1.0,76,0,0,0.002183084802926822
