panel_index,mid_xi,mid_eta,panel_length,kinematic_residual_midpoint,kinematic_residual_left,kinematic_residual_right,kinematic_integral_panel_linear_exact
0,4.528444464373658,0.06280105028198346,0.0020565247845038687,-0.1531043275151187,-0.3137439610643413,0.007535306034104128,6.589646767653879e-05
1,4.526468798571529,0.06215890329818563,0.002098283790446905,0.008585865858648623,0.004701505966091535,0.012470225751205488,1.6523252506972318e-07
2,4.524453753024949,0.06150177937926907,0.0021406888565515723,0.013207126775798272,0.006884554310413904,0.019529699241182863,4.01921122794381e-07
3,4.522399110628945,0.060828262975080066,0.0021837456054379753,0.01588004976042834,0.011918671986375529,0.01984142753448137,5.621110083814465e-07
4,4.520304563515677,0.06013721299901143,0.002227459624216787,0.013973993477088387,0.010910127086376287,0.017037859867800487,4.419315224578664e-07
5,4.518169585742127,0.059428141961229745,0.0022718364626369736,0.009834548970367063,0.008923252964953887,0.010745844975780017,2.2035717205483925e-07
6,4.515993434576831,0.05870119890388259,0.0023168816313743107,0.0028353973314889647,0.003896709092807038,0.0017740855701713354,1.949641739509082e-08
7,4.513775337741022,0.0579565967573082,0.0023626006002103192,-0.006374284519889306,-0.004104566557898703,-0.008644002481880353,1.0005308691478953e-07
8,4.51151472405579,0.05719392899239388,0.0024089987961601524,-0.013942463956174711,-0.015704459177980246,-0.012180468734369176,4.70783833864472e-07
9,4.509211875443967,0.056410270245071045,0.0024560816018506407,-0.0168959606908734,-0.02757313096037972,-0.006218790421367082,7.944788904507037e-07
10,4.506867961392333,0.05560017486752395,0.002503854353685693,-0.011869077681834206,-0.03147745931754864,0.007739303953880006,6.73631671671397e-07
11,4.5044844101978185,0.05475767236276033,0.002552322339240671,0.00037779812781923994,-0.026670808358211673,0.027426404613850375,6.22813704634147e-07
12,4.5020624149073,0.053877762667509446,0.0026014907978530208,0.013079945162232542,-0.012334379316644384,0.03849426964110947,1.0051664295759545e-06
13,4.499601651736583,0.05295979619161463,0.002651364914940665,0.02113829482398155,0.005370719401017965,0.03690587024694536,1.4044270753458168e-06
14,4.497100241311148,0.05200723113371983,0.0027019498240040134,0.01915239244489042,0.01239059824747768,0.02591418664230316,1.0322927824070098e-06
