case,radiation_mode,force_mode,omega,identity_relative_residual,production_difference,edge_only_difference,nodal_vs_piecewise_difference,production_real,production_imag,bulk_real,bulk_imag,chain_real,chain_imag,lower_edge_real,lower_edge_imag,upper_edge_real,upper_edge_imag,time_real,time_imag,direct_real,direct_imag,transformed_real,transformed_imag,residual_real,residual_imag
fn167,3,3,8.6966,1.1079492944249577e-16,2383.3731736655077,647.2366419846634,2.0482491042261404,6974.078056769206,-2673.6452703474447,18.977449515738094,985.6619907123226,13.115958876015775,-339.217133809614,-2020.2257534292125,-1960.3714452462136,5.158571891444496e-21,0.0004846616505051752,6973.718251039468,-2673.63189256699,4985.58590600201,-3987.5579962488437,4985.585906002009,-3987.5579962488446,9.094947017729282e-13,9.094947017729282e-13
fn167,3,5,8.6966,2.0567420422336287e-16,1718.537987088814,447.70971088715964,0.3964861189753258,373.88069023572456,2292.281518145515,1033.5822559044027,2044.5776557225072,-8.067988244318494,234.4992594560303,-979.8094904131684,-950.7801509444134,-5.6395802396389906e-21,-0.0005298536735783347,-671.2221093304939,-434.07637655308446,-625.5173320835775,894.2198578273656,-625.5173320835781,894.2198578273662,6.821210263296962e-13,-6.821210263296962e-13
fn167,5,3,8.6966,1.4407960770979338e-16,1175.0217236069072,521.7768652244895,2.499205967187029,-1775.2036338190649,-1833.1964555308073,369.40777393938805,-695.3553531415538,-143.46538088832295,224.99433673931185,-547.9546534042746,-659.8591732316527,0.0001894820518038769,-0.0005298536735783344,-1775.017278870897,-1833.0661127471571,-2097.0293497420544,-2963.286832234725,-2097.029349742055,-2963.2868322347254,4.547473508864641e-13,4.547473508864641e-13
fn167,5,5,8.6966,1.1661712066464715e-16,424.67707309768,372.2958489516547,0.5300980125168113,1499.415736387098,-377.1090886386962,460.0045710239593,-194.236802559808,98.42605909786353,-162.87727043111323,-265.7580069010732,-320.0316990173515,-0.00020715020699656623,0.0005792596032960906,782.3986373744593,316.83510627034536,1075.0710534450018,-360.31008647832437,1075.0710534450018,-360.31008647832414,0.0,-2.2737367544323206e-13
fn226,3,3,10.4354,0.0,3543.831389102868,989.553233826615,1.6902318368119877,8184.355049214919,-1662.3171109424761,12.948007810068889,1566.2054666865104,9.173611883822307,-576.8970412839583,-2134.57095635277,-3834.407016608169,3.65397081381035e-20,0.0006342298688288401,8183.939812331636,-1662.310401758486,6071.490475672757,-4507.408358734234,6071.490475672757,-4507.408358734234,0.0,0.0
fn226,3,5,10.4354,1.3479797337211463e-16,2584.1874619562177,503.9662357092543,0.23560672550599898,787.4113751267196,3200.1898280659493,727.1324120207216,2812.7013675785665,-3.9737262819740886,290.98785524588203,-1035.2669138310935,-1859.6874030549618,-3.247340056022199e-20,-0.0005636498381403035,54.728164693695234,-407.37561980221346,-257.38006339864995,836.6256363174351,-257.3800633986507,836.6256363174354,7.389644451905042e-13,-2.2737367544323206e-13
fn226,5,3,10.4354,0.0,1713.4023449874087,671.0551771869059,2.203912664382357,-991.0959832701352,-3220.1951452621215,682.01065163405,-805.3218445703695,-260.1342537924378,283.39585649090117,-1464.3853766036304,-838.1087183282957,0.00027957312576543916,-0.0005636498381403035,-990.9590350516784,-3220.016017811957,-2033.4677342405707,-4580.051287869559,-2033.4677342405707,-4580.051287869559,0.0,0.0
fn226,5,5,10.4354,4.391095314099115e-17,934.5747566561015,355.938068728202,0.33314399302488357,1914.2070207625459,-395.7851011938194,1072.7422107471295,-0.42696814387514626,130.84346576471674,-153.598135607475,-710.2269076527608,-406.4827283892234,-0.00024846093637478163,0.0005009242794292437,494.492909705775,41.04807979565046,987.851430103924,-519.4592514206436,987.851430103924,-519.4592514206437,0.0,1.1368683772161603e-13
fn282,3,3,12.10175,5.0697817552449767e-17,4518.1135599769295,1406.741331389961,1.5922560432117974,8938.351935840246,-957.6325815283268,12.494810098624074,2254.829232049411,8.954371985477517,-848.249518321197,-1764.731409608244,-5574.648298228826,9.632391254077315e-20,0.000790117555983158,8937.90206455039,-957.6277075452413,7194.619837026248,-5125.695501928298,7194.619837026247,-5125.695501928298,9.094947017729282e-13,0.0
fn282,3,5,12.10175,2.8492326043224776e-16,3333.0174928769593,515.936447158104,0.12109112546436245,1080.1023488232274,3967.442982920865,451.40055462933907,3425.453815604263,-2.5723417520155363,305.49367600623685,-855.8947336599981,-2703.704424640981,-7.314526672489992e-20,-0.0005999897414045621,625.1063412223452,-279.4040878854097,218.03982043967034,747.83837909437,218.03982043967068,747.838379094368,-3.410605131648481e-13,2.0463630789890885e-12
fn282,5,3,12.10175,7.632553840714742e-17,2793.579781785798,847.4001686905343,2.179630966413796,-109.69852972487766,-4107.736546186847,1064.9943161858823,-832.18687941523,-407.4894213809238,297.4937705560242,-2557.761932377699,-1513.3002955711684,0.0003754147909932992,-0.0005999897414045621,-109.61954503807581,-4107.524949944598,-2009.8762071960246,-6155.518954364714,-2009.8762071960252,-6155.518954364714,6.821210263296962e-13,0.0
fn282,5,5,12.10175,1.8158929797126086e-16,1568.2945919636102,329.0488048095286,0.16565160473478746,2411.6256310606677,-320.9461210311698,1563.3196838343897,294.36021260753336,146.48046521912624,-123.67213888557254,-1240.514537203184,-733.9506433520165,-0.0002850778617205142,0.0004556128225030691,459.68265505877577,-268.8339090620474,928.9679818312466,-832.0960230792806,928.9679818312459,-832.0960230792806,6.821210263296962e-13,0.0
