case,state,index,omega,heave_rao,pitch_slope_rao
fn167,prescribed,0,16.734,0.1853460050494011,0.13035920958026043
fn167,prescribed,1,13.7884,0.36457429314333595,0.2672001662199094
fn167,prescribed,2,11.104800000000001,0.7254628145391343,0.6842511833413195
fn167,prescribed,3,9.86,1.1381049193664168,1.2993600404435022
fn167,prescribed,4,8.6966,1.9517002024735726,2.714378458191032
fn167,prescribed,5,7.5978,2.224956116189825,3.705644931596597
fn167,prescribed,6,6.5604,1.5831560226080306,3.0869641215894035
fn167,prescribed,7,5.601,1.2348381152821448,2.7897112407522893
fn167,automatic_calm_water,0,16.734,0.18910745575965832,0.13186027214878573
fn167,automatic_calm_water,1,13.7884,0.3672222725802017,0.2672688058032419
fn167,automatic_calm_water,2,11.104800000000001,0.7262041061268396,0.6858147273230255
fn167,automatic_calm_water,3,9.86,1.1378207306847832,1.3067135225512723
fn167,automatic_calm_water,4,8.6966,1.9146064743253337,2.687835645270382
fn167,automatic_calm_water,5,7.5978,2.075446431480809,3.498071037818637
fn167,automatic_calm_water,6,6.5604,1.4896279732850228,2.947728109997618
fn167,automatic_calm_water,7,5.601,1.1756905756128766,2.705973601427
fn226,prescribed,0,20.646,0.12888778784913424,0.08309285969846297
fn226,prescribed,1,16.8796,0.2374559846535449,0.17020763783840473
fn226,prescribed,2,13.4712,0.4520640819397396,0.4067474328479315
fn226,prescribed,3,11.899999999999999,0.638167026389183,0.6673678701745377
fn226,prescribed,4,10.4354,0.8639053709404612,1.065830252779027
fn226,prescribed,5,9.0582,1.0057480001873496,1.4817087257566222
fn226,prescribed,6,7.7676,0.9827876539945094,1.7465133526687227
fn226,prescribed,7,6.579,0.9072378115625372,1.9604560603244052
fn226,automatic_calm_water,0,20.646,0.13387790153168938,0.08020481538224938
fn226,automatic_calm_water,1,16.8796,0.23901337123824798,0.16245636019201257
fn226,automatic_calm_water,2,13.4712,0.44528315089036535,0.3838991362531116
fn226,automatic_calm_water,3,11.899999999999999,0.6176299725834913,0.6213436706666025
fn226,automatic_calm_water,4,10.4354,0.8151854530215248,0.9725385213311423
fn226,automatic_calm_water,5,9.0582,0.9343751402969094,1.341141871040689
fn226,automatic_calm_water,6,7.7676,0.9211365100932614,1.6103179153647542
fn226,automatic_calm_water,7,6.579,0.8648328091692962,1.8580287574612384
fn282,prescribed,0,24.394999999999996,0.09962406188119283,0.05581345238309458
fn282,prescribed,1,19.842000000000002,0.17533292871835912,0.11217311333974425
fn282,prescribed,2,15.739,0.3151161252657771,0.25302558530115626
fn282,prescribed,3,13.855,0.42068131214953136,0.39129659699977387
fn282,prescribed,4,12.10175,0.5354274383039057,0.5873677472025682
fn282,prescribed,5,10.45775,0.6209962903077307,0.8175234242181045
fn282,prescribed,6,8.9245,0.6542589876478092,1.0496757151234029
fn282,prescribed,7,7.516249999999999,0.6611717357026302,1.3089453955480683
fn282,automatic_calm_water,0,24.394999999999996,0.10171501726587676,0.0526641267062508
fn282,automatic_calm_water,1,19.842000000000002,0.17508039043860926,0.10505255068102604
fn282,automatic_calm_water,2,15.739,0.3094681796801875,0.2359544758740725
fn282,automatic_calm_water,3,13.855,0.4094119211155694,0.36379974118970826
fn282,automatic_calm_water,4,12.10175,0.5165183404760233,0.5446990591171934
fn282,automatic_calm_water,5,10.45775,0.5966653941823099,0.7601026007144006
fn282,automatic_calm_water,6,8.9245,0.6308641247145782,0.9862398876153466
fn282,automatic_calm_water,7,7.516249999999999,0.6425078844934408,1.2482951892662268
