index,time_s,component,coarse_jet_count,fine_jet_count,coarse_jet_increment,fine_jet_increment,coarse_sorted_panel,fine_sorted_panel,overlap_left_m,overlap_right_m,coarse_value,fine_value,difference,coarse_span_fraction,fine_span_fraction
0,0.0,pressure,0,0,0,0,0,0,0.0,0.0016576230349829237,320.98502034127443,320.98502034127443,0.0,0.025,0.025
0,0.0,velocity_y,0,0,0,0,0,0,0.0,0.0016576230349829237,0.02274903912113861,0.02274903912113861,0.0,0.025,0.025
0,0.0,velocity_z,0,0,0,0,0,0,0.0,0.0016576230349829237,-0.30043495821069477,-0.30043495821069477,0.0,0.025,0.025
1,0.0007775962305832998,pressure,0,0,0,0,19,19,0.032590961366337386,0.03430627512246041,614.4642609622329,597.8704744077119,16.59378655452099,0.975,0.975
1,0.0007775962305832998,velocity_y,0,0,0,0,17,17,0.029160333854091346,0.030875647610214364,0.6196223164489386,0.6201951570191871,-0.000572840570248534,0.8749999999999999,0.8749999999999999
1,0.0007775962305832998,velocity_z,0,0,0,0,17,17,0.029160333854091346,0.030875647610214364,-0.0831908516344595,-0.08298235471790896,-0.00020849691655053237,0.8749999999999999,0.8749999999999999
2,0.0015551924611665996,pressure,2,2,2,2,18,19,0.033685114073687045,0.03373695637013093,501.13362137808923,584.1767738303325,-83.0431524522433,0.9492700855838719,0.950731037774044
2,0.0015551924611665996,velocity_y,2,2,2,2,18,19,0.033685114073687045,0.03373695637013093,0.8213734832689373,1.0725535565331032,-0.2511800732641659,0.9492700855838719,0.950731037774044
2,0.0015551924611665996,velocity_z,2,2,2,2,18,19,0.033685114073687045,0.03373695637013093,-0.00975943218350428,0.08166263792545375,-0.09142207010895803,0.9492700855838719,0.950731037774044
3,0.0023327886917498993,pressure,4,4,2,2,18,19,0.03473887771727318,0.03482645165187659,450.03275931280285,520.182779564162,-70.1500202513592,0.948805574011604,0.9511974370408616
3,0.0023327886917498993,velocity_y,4,4,2,2,18,19,0.03473887771727318,0.03482645165187659,0.8132788123581264,1.0591807783028282,-0.24590196594470182,0.948805574011604,0.9511974370408616
3,0.0023327886917498993,velocity_z,4,4,2,2,18,19,0.03473887771727318,0.03482645165187659,-0.012705651451219657,0.07679534470019234,-0.089500996151412,0.948805574011604,0.9511974370408616
4,0.0031103849223331993,pressure,6,6,2,2,18,19,0.03579372458620872,0.03586058229889516,414.6798052048318,512.9445389984522,-98.26473379362045,0.9491144200263854,0.9508872341141691
4,0.0031103849223331993,velocity_y,6,6,2,2,18,19,0.03579372458620872,0.03586058229889516,0.8062739716866101,1.060655560752913,-0.2543815890663028,0.9491144200263854,0.9508872341141691
4,0.0031103849223331993,velocity_z,6,6,2,2,18,19,0.03579372458620872,0.03586058229889516,-0.015255204951430068,0.07733212161404152,-0.09258732656547158,0.9491144200263854,0.9508872341141691
5,0.0038879811529164993,pressure,8,8,2,2,18,19,0.03684792951918833,0.036874633503261624,399.65947699963004,510.2202841787683,-110.56080717913824,0.9496560130574939,0.950344236232546
5,0.0038879811529164993,velocity_y,8,8,2,2,18,19,0.03684792951918833,0.036874633503261624,0.8037663713469316,1.0644642595434781,-0.2606978881965465,0.9496560130574939,0.950344236232546
5,0.0038879811529164993,velocity_z,8,8,2,2,18,19,0.03684792951918833,0.036874633503261624,-0.0161678968345087,0.07871837460509218,-0.09488627143960088,0.9496560130574939,0.950344236232546
6,0.0046655773834997985,pressure,10,10,2,2,18,19,0.03786963256148786,0.03787846386610493,392.4713698403437,499.0872695402956,-106.61589969995191,0.949889254492792,0.9501107713333711
6,0.0046655773834997985,velocity_y,10,10,2,2,18,19,0.03786963256148786,0.03787846386610493,0.8031628369384899,1.0642613815473938,-0.2610985446089039,0.949889254492792,0.9501107713333711
6,0.0046655773834997985,velocity_z,10,10,2,2,18,19,0.03786963256148786,0.03787846386610493,-0.01638756539453612,0.07864453305333036,-0.09503209844786648,0.949889254492792,0.9501107713333711
7,0.0054431736140830985,pressure,12,12,2,2,18,19,0.03885431831231396,0.03886962061099615,386.22856892223587,484.8427601084114,-98.61419118617556,0.9498130006992664,0.9501870729481242
7,0.0054431736140830985,velocity_y,12,12,2,2,18,19,0.03885431831231396,0.03886962061099615,0.8024318301720275,1.0602145511573389,-0.2577827209853114,0.9498130006992664,0.9501870729481242
7,0.0054431736140830985,velocity_z,12,12,2,2,18,19,0.03885431831231396,0.03886962061099615,-0.016653630098576733,0.07717160724822586,-0.09382523734680259,0.9498130006992664,0.9501870729481242
8,0.006220769844666399,pressure,14,14,2,2,18,19,0.03981676453068627,0.03984318664483168,378.71380979607625,470.9363777396732,-92.22256794359697,0.9496850024991489,0.9503152065308922
8,0.006220769844666399,velocity_y,14,14,2,2,18,19,0.03981676453068627,0.03984318664483168,0.8007014840304991,1.054317659735596,-0.253616175705097,0.9496850024991489,0.9503152065308922
8,0.006220769844666399,velocity_z,14,14,2,2,18,19,0.03981676453068627,0.03984318664483168,-0.017283424589070062,0.07502531429601322,-0.09230873888508329,0.9496850024991489,0.9503152065308922
9,0.006998366075249699,pressure,16,16,2,2,18,19,0.040767260008978845,0.04079517219026779,369.5500852206062,456.7913924092402,-87.24130718863398,0.949675003550655,0.9503252189651531
9,0.006998366075249699,velocity_y,16,16,2,2,18,19,0.040767260008978845,0.04079517219026779,0.797720448523919,1.0475752477710005,-0.24985479924708154,0.949675003550655,0.9503252189651531
9,0.006998366075249699,velocity_z,16,16,2,2,18,19,0.040767260008978845,0.04079517219026779,-0.018368432780756172,0.072571277033739,-0.09093970981449517,0.949675003550655,0.9503252189651531
10,0.007775962305832999,pressure,18,18,2,2,18,19,0.04170628551559765,0.04172244548663566,358.6724289403575,441.1791967566369,-82.50676781627936,0.9498160226191555,0.9501840486667215
10,0.007775962305832999,velocity_y,18,18,2,2,18,19,0.04170628551559765,0.04172244548663566,0.7934339723988045,1.0400597173045831,-0.2466257449057786,0.9498160226191555,0.9501840486667215
