benchmark,coefficient,active_reference_row_count_for_coefficient,canonical_reference_row_count_for_coefficient,comparison_row_count_for_coefficient,active_omega_values,canonical_omega_values,active_rows_found_in_canonical,active_rows_missing_from_canonical,canonical_extra_row_count,active_is_canonical_complete_for_coefficient,active_is_sparse_subset_for_coefficient,reference_root_consistency_status,active_reference_file,canonical_reference_file,candidate_default_gate_eligible,gate_role,path_diagnostic_status
ma2005_wigley_iii_coefficients,A33,1,7,1,1,1;2;3;4;5;6;7,1,0,6,False,True,coefficient_reference_sparse_subset,D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\matched_bie_provider_gate_probe\reference\ma2005\wigley_iii_coefficients_digitized.csv,D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\benchmarks\ma2005\wigley_iii_coefficients_digitized.csv,False,reference_root_consistency_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,A35,1,7,1,1.5,1.5;2.5;3.5;4.5;5.5;6.5;7.5,1,0,6,False,True,coefficient_reference_sparse_subset,D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\matched_bie_provider_gate_probe\reference\ma2005\wigley_iii_coefficients_digitized.csv,D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\benchmarks\ma2005\wigley_iii_coefficients_digitized.csv,False,reference_root_consistency_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,A53,1,10,1,2,2;2.5;3;3.5;4;4.5;5;6;7;7.5,1,0,9,False,True,coefficient_reference_sparse_subset,D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\matched_bie_provider_gate_probe\reference\ma2005\wigley_iii_coefficients_digitized.csv,D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\benchmarks\ma2005\wigley_iii_coefficients_digitized.csv,False,reference_root_consistency_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,A55,1,7,1,1,1;2;3;4;5;6;7,1,0,6,False,True,coefficient_reference_sparse_subset,D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\matched_bie_provider_gate_probe\reference\ma2005\wigley_iii_coefficients_digitized.csv,D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\benchmarks\ma2005\wigley_iii_coefficients_digitized.csv,False,reference_root_consistency_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,B33,1,7,1,2,2;2.5;3;4;5;6;7,1,0,6,False,True,coefficient_reference_sparse_subset,D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\matched_bie_provider_gate_probe\reference\ma2005\wigley_iii_coefficients_digitized.csv,D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\benchmarks\ma2005\wigley_iii_coefficients_digitized.csv,False,reference_root_consistency_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,B35,1,3,1,2.5,2.5;5;7.5,1,0,2,False,True,coefficient_reference_sparse_subset,D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\matched_bie_provider_gate_probe\reference\ma2005\wigley_iii_coefficients_digitized.csv,D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\benchmarks\ma2005\wigley_iii_coefficients_digitized.csv,False,reference_root_consistency_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,B53,1,8,1,2,2;2.5;3;4;5;6;7;7.5,1,0,7,False,True,coefficient_reference_sparse_subset,D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\matched_bie_provider_gate_probe\reference\ma2005\wigley_iii_coefficients_digitized.csv,D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\benchmarks\ma2005\wigley_iii_coefficients_digitized.csv,False,reference_root_consistency_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,B55,1,6,1,1,1;2.5;3.5;4.5;5.5;6.5,1,0,5,False,True,coefficient_reference_sparse_subset,D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\matched_bie_provider_gate_probe\reference\ma2005\wigley_iii_coefficients_digitized.csv,D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\benchmarks\ma2005\wigley_iii_coefficients_digitized.csv,False,reference_root_consistency_not_hard_gate,INFO
