benchmark,source_row,hull,speed_case,omega_e_sqrt_l_over_g,coefficient,reference_value,row_family,column_family,station_index,x_m,x_over_l,is_configured_end_station,is_bow_station,zero_mi_target_value_per_m,eq31_row_measure_transport_density_value_per_m,eq32_stokes_body_density_value_per_m,eq32_boundary_proxy_density_value_per_m,eq32_stokes_plus_boundary_proxy_density_value_per_m,eq31_minus_eq32_boundary_proxy_density_value_per_m,row_measure_transport_density_value_per_m,stokes_body_forward_density_value_per_m,normal_variation_density_value_per_m,panel_length_variation_density_value_per_m,lever_variation_density_value_per_m,product_rule_residual_density_value_per_m,waterline_contour_density_value_per_m,boundary_density_value_per_m,section_endpoint_panel_density_value_per_m,section_interior_panel_density_value_per_m,best_mapping_candidate_name,best_mapping_candidate_density_value_per_m,mapping_residual_density_value_per_m,mapped_normalized_y_density_value_per_m,mapped_normalized_arclength_density_value_per_m,dominant_gradient_component,diagnostic_flags,candidate_default_gate_eligible,candidate_exclusion_reason,gate_role,path_diagnostic_status
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2.1,heave_row_N3_m3,heave_radiation,0,0.075,0.024999999999999998,True,False,0.0,-6.560727962257881,-0.0,-0.40340696471309956,-0.40340696471309956,-6.157320997544781,-6.560727962257881,-0.0,-6.53502470657782,-0.05487537818829543,0.0,0.029172122508234047,-0.40340696471309956,-0.40340696471309956,-0.40340696471309956,-6.157320997544781,heave_projection_leibniz_endpoint_flux_pitch_current,-6.309630783358264,-0.25109717889961747,-6.339289976417884,-6.4928358985879155,normal_variation,zero_m3_target;configured_end_station;zero_mi_nonzero_transport,false,diagnostic-only zero-m_i boundary localization; it does not alter matched_bie_station_sweep.,diagnostic_zero_mi_boundary_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2.1,heave_row_N3_m3,heave_radiation,1,0.15,0.049999999999999996,False,False,0.0,4.42029526355247,-0.0,-0.08133710279633126,-0.08133710279633126,4.501632366348801,4.42029526355247,-0.0,4.280857515100515,0.13229090826624587,0.0,0.007146840185709105,-0.08133710279633126,-0.08133710279633126,-0.08133710279633126,4.501632366348801,heave_projection_leibniz_endpoint_flux_pitch_current,-1.151228478269084,5.571523741821554,4.409115332886584,4.420296316096167,normal_variation,zero_m3_target;zero_mi_nonzero_transport,false,diagnostic-only zero-m_i boundary localization; it does not alter matched_bie_station_sweep.,diagnostic_zero_mi_boundary_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2.1,heave_row_N3_m3,heave_radiation,2,0.22499999999999998,0.075,False,False,0.0,-17.297890647657052,-0.0,-0.6355757013449779,-0.6355757013449779,-16.662314946312073,-17.297890647657052,-0.0,-16.24993667626998,-1.0356629033383096,0.0,-0.012291068048764085,-0.6355757013449779,-0.6355757013449779,-0.6355757013449779,-16.662314946312073,heave_projection_leibniz_endpoint_flux_pitch_current,-8.071734338773492,-9.22615630888356,-16.8854333757958,-17.29935518083704,normal_variation,zero_m3_target;zero_mi_nonzero_transport,false,diagnostic-only zero-m_i boundary localization; it does not alter matched_bie_station_sweep.,diagnostic_zero_mi_boundary_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2.1,heave_row_N3_m3,heave_radiation,3,0.3,0.09999999999999999,False,False,0.0,-10.612104764756477,-0.0,-0.5894502046090173,-0.5894502046090173,-10.02265456014746,-10.612104764756477,-0.0,-9.602495531740313,-1.010808889395584,0.0,0.0011996563794221464,-0.5894502046090173,-0.5894502046090173,-0.5894502046090173,-10.02265456014746,heave_projection_leibniz_endpoint_flux_pitch_current,-6.665908658433906,-3.9461961063225717,-10.20360277378172,-10.61454194956329,normal_variation,zero_m3_target;zero_mi_nonzero_transport,false,diagnostic-only zero-m_i boundary localization; it does not alter matched_bie_station_sweep.,diagnostic_zero_mi_boundary_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2.1,heave_row_N3_m3,heave_radiation,4,0.375,0.125,False,False,0.0,-9.76534099345314,-0.0,-0.6918050164089373,-0.6918050164089373,-9.073535977044203,-9.76534099345314,-0.0,-8.478686787120475,-1.2935339532945764,0.0,0.006879746961911693,-0.6918050164089373,-0.6918050164089373,-0.6918050164089373,-9.073535977044203,heave_projection_leibniz_endpoint_flux_pitch_current,-6.99707899529526,-2.7682619981578807,-9.271401394983942,-9.769682045448425,normal_variation,zero_m3_target;zero_mi_nonzero_transport,false,diagnostic-only zero-m_i boundary localization; it does not alter matched_bie_station_sweep.,diagnostic_zero_mi_boundary_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2.1,heave_row_N3_m3,heave_radiation,5,0.44999999999999996,0.15,False,False,0.0,-9.612170802286153,-0.0,-0.82470986258936,-0.82470986258936,-8.787460939696793,-9.612170802286153,-0.0,-7.996802121591707,-1.6258224250075484,0.0,0.01045374431310247,-0.82470986258936,-0.82470986258936,-0.82470986258936,-8.787460939696793,heave_projection_leibniz_endpoint_flux_pitch_current,-7.5365527934302685,-2.0756180088558844,-9.035059258233401,-9.619018627172292,normal_variation,zero_m3_target;zero_mi_nonzero_transport,false,diagnostic-only zero-m_i boundary localization; it does not alter matched_bie_station_sweep.,diagnostic_zero_mi_boundary_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2.1,heave_row_N3_m3,heave_radiation,6,0.525,0.17500000000000002,False,False,0.0,-9.591478715634764,-0.0,-0.9707075878879056,-0.9707075878879056,-8.620771127746858,-9.591478715634764,-0.0,-7.649599202442386,-1.954468161769479,0.0,0.012588648577099227,-0.9707075878879056,-0.9707075878879056,-0.9707075878879056,-8.620771127746858,heave_projection_leibniz_endpoint_flux_pitch_current,-8.112797136095931,-1.4786815795388328,-8.948613669161213,-9.601147429543895,normal_variation,zero_m3_target;zero_mi_nonzero_transport,false,diagnostic-only zero-m_i boundary localization; it does not alter matched_bie_station_sweep.,diagnostic_zero_mi_boundary_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2.1,heave_row_N3_m3,heave_radiation,7,0.6,0.19999999999999998,False,False,0.0,-9.535759628094482,-0.0,-1.1191980304278133,-1.1191980304278133,-8.416561597666668,-9.535759628094482,-0.0,-7.304107204660984,-2.245268844634262,0.0,0.013616421200764225,-1.1191980304278133,-1.1191980304278133,-1.1191980304278133,-8.416561597666668,heave_projection_leibniz_endpoint_flux_pitch_current,-8.659016884587391,-0.8767427435070907,-8.850167356928448,-9.548223459772716,normal_variation,zero_m3_target;zero_mi_nonzero_transport,false,diagnostic-only zero-m_i boundary localization; it does not alter matched_bie_station_sweep.,diagnostic_zero_mi_boundary_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2.1,heave_row_N3_m3,heave_radiation,8,0.6749999999999999,0.22499999999999998,False,False,0.0,-9.355430481710108,-0.0,-1.2572817452078875,-1.2572817452078875,-8.098148736502221,-9.355430481710108,-0.0,-6.901682302324931,-2.467524321976518,0.0,0.01377614259133938,-1.2572817452078875,-1.2572817452078875,-1.2572817452078875,-8.098148736502221,mapped_normalized_y_central,-8.653036424142881,-0.7023940575672274,-8.653036424142881,-9.370310189876383,normal_variation,zero_m3_target;zero_mi_nonzero_transport,false,diagnostic-only zero-m_i boundary localization; it does not alter matched_bie_station_sweep.,diagnostic_zero_mi_boundary_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2.1,heave_row_N3_m3,heave_radiation,9,0.75,0.25,False,False,0.0,-8.973049118667136,-0.0,-1.3656096301322016,-1.3656096301322016,-7.607439488534935,-8.973049118667136,-0.0,-6.397451301535058,-2.5888258564210753,0.0,0.013228039288995592,-1.3656096301322016,-1.3656096301322016,-1.3656096301322016,-7.607439488534935,mapped_normalized_y_central,-8.282406469658847,-0.6906426490082893,-8.282406469658847,-8.989613122982988,normal_variation,zero_m3_target;zero_mi_nonzero_transport,false,diagnostic-only zero-m_i boundary localization; it does not alter matched_bie_station_sweep.,diagnostic_zero_mi_boundary_not_hard_gate,INFO
