benchmark,metric,expected,actual,rel_error,tolerance,status,note
fridsma_regular_wave_amplitudes,fridsma_regular_wave_amplitudes_dataset_available,D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\matched_bie_provider_gate_probe\reference\fridsma\regular_wave_motion_digitized.csv,missing,,,NOT_EVALUATED,Fridsma motion/acceleration amplitude curves are needed for <=25% motion and <=35% acceleration gates.
katayama_regular_wave_amplitudes,katayama_regular_wave_amplitudes_dataset_available,D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\matched_bie_provider_gate_probe\reference\katayama\regular_wave_response_digitized.csv,missing,,,NOT_EVALUATED,Katayama Fig. 9/Fig. 10 motion-amplitude curves are needed in addition to the current Fig. 7 classification screen; CG/bow acceleration rows remain NOT_EVALUATED unless source-backed acceleration data are supplied.
ma2005_wigley_iii_coefficients,ma2005_wigley_iii_coefficients_dataset_schema,required columns present,present,,,PASS,Dataset path: D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\matched_bie_provider_gate_probe\reference\ma2005\wigley_iii_coefficients_digitized.csv.
ma2005_wigley_iii_coefficients,ma2005_wigley_iii_coefficients_geometry_audit,write Ma 2005 geometry-source audit,1 unique geometry row(s),,,INFO,Wrote ma2005_wigley_iii_coefficients_geometry_audit.csv with analytic/surrogate/offsets provenance.
ma2005_wigley_iii_coefficients,ma2005_wigley_iii_coefficients_A33_row_0,1.0,10.186413296463698,61.24275530975799,0.15,FAIL,"normalization=ma2005; omega_e=1.80801 rad/s; Fn_L=0.4; hydro_model=matched_bie_provider; geometry=ANALYTIC_FORMULA from wigley_iii_analytic_formula_with_ma2005_table1_particulars; error_metric=relative; gate_error_ratio=61.2428; computed by station_2p5d a1_station_hull_matched_sweep_free_surface_marching_not_benchmark_validated, not a validated boundary-integral solver."
ma2005_wigley_iii_coefficients,ma2005_wigley_iii_coefficients_B33_row_1,2.1,9.180428403990165,22.477550488857666,0.15,FAIL,"normalization=ma2005; omega_e=3.61601 rad/s; Fn_L=0.4; hydro_model=matched_bie_provider; geometry=ANALYTIC_FORMULA from wigley_iii_analytic_formula_with_ma2005_table1_particulars; error_metric=relative; gate_error_ratio=22.4776; computed by station_2p5d a1_station_hull_matched_sweep_free_surface_marching_not_benchmark_validated, not a validated boundary-integral solver."
ma2005_wigley_iii_coefficients,ma2005_wigley_iii_coefficients_A35_row_2,-0.2,-2.700823452099381,41.68039086832301,0.3,FAIL,"normalization=ma2005; omega_e=2.71201 rad/s; Fn_L=0.4; hydro_model=matched_bie_provider; geometry=ANALYTIC_FORMULA from wigley_iii_analytic_formula_with_ma2005_table1_particulars; error_metric=relative; gate_error_ratio=41.6804; computed by station_2p5d a1_station_hull_matched_sweep_free_surface_marching_not_benchmark_validated, not a validated boundary-integral solver."
ma2005_wigley_iii_coefficients,ma2005_wigley_iii_coefficients_B35_row_3,0.13,6.54071631372756,164.37734137762976,0.3,FAIL,"normalization=ma2005; omega_e=4.52001 rad/s; Fn_L=0.4; hydro_model=matched_bie_provider; geometry=ANALYTIC_FORMULA from wigley_iii_analytic_formula_with_ma2005_table1_particulars; error_metric=relative; gate_error_ratio=164.377; computed by station_2p5d a1_station_hull_matched_sweep_free_surface_marching_not_benchmark_validated, not a validated boundary-integral solver."
ma2005_wigley_iii_coefficients,ma2005_wigley_iii_coefficients_A53_row_4,0.15,1.4179137618349493,28.17586137410999,0.3,FAIL,"normalization=ma2005; omega_e=3.61601 rad/s; Fn_L=0.4; hydro_model=matched_bie_provider; geometry=ANALYTIC_FORMULA from wigley_iii_analytic_formula_with_ma2005_table1_particulars; error_metric=relative; gate_error_ratio=28.1759; computed by station_2p5d a1_station_hull_matched_sweep_free_surface_marching_not_benchmark_validated, not a validated boundary-integral solver."
ma2005_wigley_iii_coefficients,ma2005_wigley_iii_coefficients_B53_row_5,-0.1,-0.2520619032065345,5.068730106884483,0.3,FAIL,"normalization=ma2005; omega_e=3.61601 rad/s; Fn_L=0.4; hydro_model=matched_bie_provider; geometry=ANALYTIC_FORMULA from wigley_iii_analytic_formula_with_ma2005_table1_particulars; error_metric=relative; gate_error_ratio=5.06873; computed by station_2p5d a1_station_hull_matched_sweep_free_surface_marching_not_benchmark_validated, not a validated boundary-integral solver."
ma2005_wigley_iii_coefficients,ma2005_wigley_iii_coefficients_A55_row_6,0.063,0.15985084398825308,10.248766559603501,0.15,FAIL,"normalization=ma2005; omega_e=1.80801 rad/s; Fn_L=0.4; hydro_model=matched_bie_provider; geometry=ANALYTIC_FORMULA from wigley_iii_analytic_formula_with_ma2005_table1_particulars; error_metric=relative; gate_error_ratio=10.2488; computed by station_2p5d a1_station_hull_matched_sweep_free_surface_marching_not_benchmark_validated, not a validated boundary-integral solver."
ma2005_wigley_iii_coefficients,ma2005_wigley_iii_coefficients_B55_row_7,0.09,1.8587112677390107,131.01564946214893,0.15,FAIL,"normalization=ma2005; omega_e=1.80801 rad/s; Fn_L=0.4; hydro_model=matched_bie_provider; geometry=ANALYTIC_FORMULA from wigley_iii_analytic_formula_with_ma2005_table1_particulars; error_metric=relative; gate_error_ratio=131.016; computed by station_2p5d a1_station_hull_matched_sweep_free_surface_marching_not_benchmark_validated, not a validated boundary-integral solver."
ma2005_wigley_iii_coefficients,ma2005_wigley_iii_coefficients_max_relative_error,within per-coefficient tolerances,49.31320241328892,,,FAIL,Pass fraction=0; figure=figures/ma2005_wigley_iii_coefficients_comparison.png.
ma2005_wigley_iii_coefficients,ma2005_wigley_iii_coefficients_max_gate_error_ratio,<=1.0 for every Ma 2005 coefficient row,164.37734137762976,164.37734137762976,1.0,FAIL,Gate ratio uses relative tolerance except for nondimensional near-zero reference values.
