benchmark,source_row,hull,speed_case,omega_e_sqrt_l_over_g,coefficient,reference_value,station_index,x_m,x_over_l,total_density_value_per_m,time_derivative_density_value_per_m,pressure_gradient_density_value_per_m,stokes_body_forward_density_value_per_m,total_density_sign,pressure_gradient_density_sign,stokes_body_forward_density_sign
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,0,0.075,0.024999999999999998,0.41833986323895056,0.41833986323895056,0.0,0.0,positive,zero,zero
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,1,0.15,0.049999999999999996,-0.6100464028096403,-0.6100464028096403,0.0,0.0,negative,zero,zero
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,2,0.22499999999999998,0.075,3.616651198269854,3.616651198269854,0.0,0.0,positive,zero,zero
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,3,0.3,0.09999999999999999,3.047135026804083,3.047135026804083,0.0,0.0,positive,zero,zero
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,4,0.375,0.125,3.6259618540859093,3.6259618540859093,0.0,0.0,positive,zero,zero
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,5,0.44999999999999996,0.15,4.444981044886146,4.444981044886146,0.0,0.0,positive,zero,zero
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,6,0.525,0.17500000000000002,5.388855518729281,5.388855518729281,0.0,0.0,positive,zero,zero
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,7,0.6,0.19999999999999998,6.402637068261417,6.402637068261417,0.0,0.0,positive,zero,zero
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,8,0.6749999999999999,0.22499999999999998,7.427748047898323,7.427748047898323,0.0,0.0,positive,zero,zero
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,9,0.75,0.25,8.374857299053868,8.374857299053868,0.0,0.0,positive,zero,zero
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,10,0.825,0.27499999999999997,9.10777649237166,9.10777649237166,0.0,0.0,positive,zero,zero
