benchmark,coefficient,source_row,station_index,x_m,x_over_l,lever_arm_m,waterplane_beam_m,effective_draft_m,submerged_area_m2,omega_rad_s,rho_water_kg_m3,normalization_scale,reference_value,matched_body_normal_velocity_norm,matched_body_potential_norm,matched_body_potential_to_normal_velocity_gain,matched_pressure_to_potential_formula_ratio,independent_section_body_normal_velocity_norm,independent_section_body_potential_norm,independent_section_body_potential_to_normal_velocity_gain,independent_section_pressure_norm,independent_section_pressure_to_potential_formula_ratio,independent_to_matched_body_potential_norm_ratio,independent_to_matched_body_potential_gain_ratio,matched_time_density_value_per_m,independent_section_time_density_value_per_m,independent_to_matched_abs_ratio,independent_to_matched_signed_ratio,sign_agreement,section_bem_heave_force_real_per_m,section_bem_heave_force_imag_per_m,section_bem_generalized_force_real_per_m,section_bem_generalized_force_imag_per_m,section_bem_heave_added_mass_per_m,section_bem_heave_damping_per_m,section_bem_condition_number,section_bem_residual_norm,section_bem_body_panel_count,section_bem_free_surface_panel_count,section_bem_status,section_geometry_source,independent_reference_status,equation_position,diagnostic_conclusion,candidate_default_gate_eligible,candidate_exclusion_reason,gate_role,path_diagnostic_status
ma2005_wigley_iii_coefficients,A33,0,0,0.075,0.024999999999999998,1.425,0.02925000000000001,0.1875,0.003656250000000001,1.808005346599764,1025.0,79.95,1.0,0.45431786104139943,8.774111943761712,19.312716263563708,1.0,0.4544508209629237,0.02268745300014396,0.04992279021979127,42.04451223311592,1.0,0.0025857264126057187,0.0025849698995463414,0.41833986323895056,0.001769786211978996,0.004230498614874088,0.004230498614874088,yes,0.46252871091950676,-0.00016056171561329617,0.46252871091950676,-0.00016056171561329617,0.14149440764772073,8.88059960194573e-05,6.135327288639427,1.1525296192513762e-16,8,8,experimental_section_pressure_transfer_not_validated,analytic_wigley_parabolic_open_section_from_station_waterplane_beam,EXPERIMENTAL_OPEN_SECTION_BEM_REFERENCE_NOT_HARD_GATE,"A1/Ma Eq.30 time-pressure p=-rho*i*omega*phi; A33 uses the heave generalized-force row, and A53 multiplies the same section heave force by the longitudinal pitch lever.",independent_open_section_bem_scale_reported,false,The independent section-BEM comparison is a scale audit only; it is not a coefficient fit and does not alter matched_bie_station_sweep.,diagnostic_open_section_pressure_reference_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,A33,0,1,0.15,0.049999999999999996,1.35,0.05699999999999998,0.1875,0.007124999999999998,1.808005346599764,1025.0,79.95,1.0,0.8714896660775344,5.322726520565846,6.107618630204498,1.0,0.8723807902209508,0.05199021151701782,0.05959577755471906,96.34854490346136,1.0,0.009767590222067406,0.009757612772348828,-0.6100464028096403,0.007999051715562288,0.013112202086139214,-0.013112202086139214,no,2.090529948496064,-0.0007361234030522253,2.090529948496064,-0.0007361234030522253,0.6395241846592049,0.00040714669590807357,3.526771521567512,2.004714479721681e-16,8,8,experimental_section_pressure_transfer_not_validated,analytic_wigley_parabolic_open_section_from_station_waterplane_beam,EXPERIMENTAL_OPEN_SECTION_BEM_REFERENCE_NOT_HARD_GATE,"A1/Ma Eq.30 time-pressure p=-rho*i*omega*phi; A33 uses the heave generalized-force row, and A53 multiplies the same section heave force by the longitudinal pitch lever.",independent_open_section_bem_scale_reported,false,The independent section-BEM comparison is a scale audit only; it is not a coefficient fit and does not alter matched_bie_station_sweep.,diagnostic_open_section_pressure_reference_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,A33,0,2,0.22499999999999998,0.075,1.275,0.08325000000000002,0.1875,0.010406250000000002,1.808005346599764,1025.0,79.95,1.0,1.2440363637319745,15.553338053840982,12.502317864071633,1.0,1.2464396484294862,0.07736769154370376,0.062070948754869154,143.3782299642252,1.0,0.004974346424920494,0.004964755290156612,3.616651198269854,0.01739321915858586,0.004809205589664408,0.004809205589664408,yes,4.545669517430202,-0.0016475685974853597,4.545669517430202,-0.0016475685974853597,1.3905878717289397,0.0009112631224149139,3.084784472714549,2.957230568143771e-16,8,8,experimental_section_pressure_transfer_not_validated,analytic_wigley_parabolic_open_section_from_station_waterplane_beam,EXPERIMENTAL_OPEN_SECTION_BEM_REFERENCE_NOT_HARD_GATE,"A1/Ma Eq.30 time-pressure p=-rho*i*omega*phi; A33 uses the heave generalized-force row, and A53 multiplies the same section heave force by the longitudinal pitch lever.",independent_open_section_bem_scale_reported,false,The independent section-BEM comparison is a scale audit only; it is not a coefficient fit and does not alter matched_bie_station_sweep.,diagnostic_open_section_pressure_reference_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,A33,0,3,0.3,0.09999999999999999,1.2,0.10799999999999996,0.1875,0.013499999999999995,1.808005346599764,1025.0,79.95,1.0,1.5703671514212967,10.32495032257964,6.574863918437678,1.0,1.5747802958509263,0.09978272687848501,0.06336295109951691,184.91789628697003,1.0000000000000002,0.009664233120838374,0.009637150195889262,3.047135026804083,0.029066130739342805,0.009538839100880983,0.009538839100880983,yes,7.596352537549113,-0.0028330825900092548,7.596352537549113,-0.0028330825900092548,2.3238371526104573,0.0015669658252600348,2.895346058317528,2.873345557819056e-16,8,8,experimental_section_pressure_transfer_not_validated,analytic_wigley_parabolic_open_section_from_station_waterplane_beam,EXPERIMENTAL_OPEN_SECTION_BEM_REFERENCE_NOT_HARD_GATE,"A1/Ma Eq.30 time-pressure p=-rho*i*omega*phi; A33 uses the heave generalized-force row, and A53 multiplies the same section heave force by the longitudinal pitch lever.",independent_open_section_bem_scale_reported,false,The independent section-BEM comparison is a scale audit only; it is not a coefficient fit and does not alter matched_bie_station_sweep.,diagnostic_open_section_pressure_reference_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,A33,0,4,0.375,0.125,1.125,0.13125,0.1875,0.01640625,1.808005346599764,1025.0,79.95,1.0,1.8527440548546934,10.323577347038933,5.572047212883157,1.0,1.8593033419318343,0.11987082978520684,0.06447083005867127,222.1452786818293,0.9999999999999999,0.01161136549430599,0.011570402689626886,3.6259618540859093,0.0423497971601427,0.011679603609845178,0.011679603609845178,yes,11.068001861241683,-0.004238015849377075,11.068001861241683,-0.004238015849377075,3.385866282953409,0.0023440283831833377,2.907721958365333,1.6276679006009416e-16,8,8,experimental_section_pressure_transfer_not_validated,analytic_wigley_parabolic_open_section_from_station_waterplane_beam,EXPERIMENTAL_OPEN_SECTION_BEM_REFERENCE_NOT_HARD_GATE,"A1/Ma Eq.30 time-pressure p=-rho*i*omega*phi; A33 uses the heave generalized-force row, and A53 multiplies the same section heave force by the longitudinal pitch lever.",independent_open_section_bem_scale_reported,false,The independent section-BEM comparison is a scale audit only; it is not a coefficient fit and does not alter matched_bie_station_sweep.,diagnostic_open_section_pressure_reference_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,A33,0,5,0.44999999999999996,0.15,1.05,0.153,0.1875,0.019125,1.808005346599764,1025.0,79.95,1.0,2.0953403577709504,11.039667726118005,5.268675174978323,1.0,2.1038951820496257,0.13856727652543593,0.06586225288583197,256.7936362423,1.0,0.01255176151702546,0.012500723749040564,4.444981044886146,0.05688581217559843,0.012797762600370214,0.012797762600370214,yes,14.866949011749332,-0.005809284860237714,14.866949011749332,-0.005809284860237714,4.548020683439095,0.003213090531597697,3.258547970676488,1.855608221407699e-16,8,8,experimental_section_pressure_transfer_not_validated,analytic_wigley_parabolic_open_section_from_station_waterplane_beam,EXPERIMENTAL_OPEN_SECTION_BEM_REFERENCE_NOT_HARD_GATE,"A1/Ma Eq.30 time-pressure p=-rho*i*omega*phi; A33 uses the heave generalized-force row, and A53 multiplies the same section heave force by the longitudinal pitch lever.",independent_open_section_bem_scale_reported,false,The independent section-BEM comparison is a scale audit only; it is not a coefficient fit and does not alter matched_bie_station_sweep.,diagnostic_open_section_pressure_reference_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,A33,0,6,0.525,0.17500000000000002,0.975,0.17325000000000004,0.1875,0.021656250000000005,1.808005346599764,1025.0,79.95,1.0,2.302923608664771,11.995262716748773,5.208710645727235,1.0,2.3131413023036256,0.15561601373545353,0.06727475471579608,288.38844947149835,1.0,0.012973122590984994,0.012915817232232382,5.388855518729281,0.07211389345694774,0.013382042477537522,0.013382042477537522,yes,18.846765758634213,-0.007473310905216036,18.846765758634213,-0.007473310905216036,5.765505781882972,0.004133456197610678,3.5617194577363076,2.234501847063048e-16,8,8,experimental_section_pressure_transfer_not_validated,analytic_wigley_parabolic_open_section_from_station_waterplane_beam,EXPERIMENTAL_OPEN_SECTION_BEM_REFERENCE_NOT_HARD_GATE,"A1/Ma Eq.30 time-pressure p=-rho*i*omega*phi; A33 uses the heave generalized-force row, and A53 multiplies the same section heave force by the longitudinal pitch lever.",independent_open_section_bem_scale_reported,false,The independent section-BEM comparison is a scale audit only; it is not a coefficient fit and does not alter matched_bie_station_sweep.,diagnostic_open_section_pressure_reference_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,A33,0,7,0.6,0.19999999999999998,0.9,0.19199999999999998,0.1875,0.023999999999999997,1.808005346599764,1025.0,79.95,1.0,2.4801316742599075,13.043644259145314,5.259254738173387,1.0,2.4914019880089007,0.17111470461055384,0.06868209363006357,317.11070833816365,1.0,0.01311862706548286,0.013059282550348156,6.402637068261417,0.08761246966009609,0.01368381008106813,0.01368381008106813,yes,22.89727560203163,-0.00919898453354522,22.89727560203163,-0.00919898453354522,7.004616949324682,0.005087918877477517,3.8219935325449472,2.416253706224225e-16,8,8,experimental_section_pressure_transfer_not_validated,analytic_wigley_parabolic_open_section_from_station_waterplane_beam,EXPERIMENTAL_OPEN_SECTION_BEM_REFERENCE_NOT_HARD_GATE,"A1/Ma Eq.30 time-pressure p=-rho*i*omega*phi; A33 uses the heave generalized-force row, and A53 multiplies the same section heave force by the longitudinal pitch lever.",independent_open_section_bem_scale_reported,false,The independent section-BEM comparison is a scale audit only; it is not a coefficient fit and does not alter matched_bie_station_sweep.,diagnostic_open_section_pressure_reference_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,A33,0,8,0.6749999999999999,0.22499999999999998,0.8250000000000001,0.20925,0.1875,0.02615625,1.808005346599764,1025.0,79.95,1.0,2.631144229310742,14.086070280381348,5.353591081577217,1.0,2.6431825488484457,0.18513609177141072,0.07004287004394338,343.0952198655775,1.0,0.01314320375280696,0.013083343306696506,7.427748047898323,0.10302541297165003,0.013870342977075133,0.013870342977075133,yes,26.925405527056206,-0.010958894801912922,26.925405527056206,-0.010958894801912922,8.236881767083421,0.006061317696058163,4.04437405991539,2.0717782535372687e-16,8,8,experimental_section_pressure_transfer_not_validated,analytic_wigley_parabolic_open_section_from_station_waterplane_beam,EXPERIMENTAL_OPEN_SECTION_BEM_REFERENCE_NOT_HARD_GATE,"A1/Ma Eq.30 time-pressure p=-rho*i*omega*phi; A33 uses the heave generalized-force row, and A53 multiplies the same section heave force by the longitudinal pitch lever.",independent_open_section_bem_scale_reported,false,The independent section-BEM comparison is a scale audit only; it is not a coefficient fit and does not alter matched_bie_station_sweep.,diagnostic_open_section_pressure_reference_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,A33,0,9,0.75,0.25,0.75,0.22499999999999998,0.1875,0.028124999999999997,1.808005346599764,1025.0,79.95,1.0,2.7595752934474778,14.994828146147674,5.433744888843007,1.0,2.771835369450455,0.19774153926124527,0.07133956851862006,366.4557042349286,1.0000000000000002,0.013187316142202478,0.013128987462238074,8.374857299053868,0.11802479825221157,0.014092753349426643,0.014092753349426643,yes,30.84545320933835,-0.0127306531086632,30.84545320933835,-0.0127306531086632,9.436082620264315,0.007041269613834482,4.233885589782961,3.024628703644583e-16,8,8,experimental_section_pressure_transfer_not_validated,analytic_wigley_parabolic_open_section_from_station_waterplane_beam,EXPERIMENTAL_OPEN_SECTION_BEM_REFERENCE_NOT_HARD_GATE,"A1/Ma Eq.30 time-pressure p=-rho*i*omega*phi; A33 uses the heave generalized-force row, and A53 multiplies the same section heave force by the longitudinal pitch lever.",independent_open_section_bem_scale_reported,false,The independent section-BEM comparison is a scale audit only; it is not a coefficient fit and does not alter matched_bie_station_sweep.,diagnostic_open_section_pressure_reference_not_hard_gate,INFO
