benchmark,row,hull,speed_case,omega_e_sqrt_l_over_g,coefficient,hydro_model,pitch_axis_variant,axis_offset_from_lcg_m,axis_offset_over_l,pitch_axis_from_transom_m,lcg_from_transom_m,reference_value,computed_value,raw_shifted_value,raw_current_55,raw_33_term,raw_35_term,raw_53_term,axis_linear_coupling_contribution,axis_quadratic_heave_contribution,abs_error,rel_error,tolerance,near_zero_abs_tolerance,effective_abs_tolerance,gate_error_ratio,error_metric,status,normalization,normalization_scale,speed_mps,fn_l,hull_length_m,solver_status,filter
ma2005_wigley_iii_coefficients,6,wigley_iii,Fn0.4,1.0,A55,matched_bie_provider,current_lcg,0.0,0.0,1.5,1.5,0.063,0.15985084398825308,115.02067479174751,115.02067479174751,814.4037430522727,-1137.1093389187126,340.08661577611264,-0.0,0.0,0.09685084398825308,1.5373149839405251,0.15,0.0,0.00945,10.248766559603501,relative,FAIL,ma2005,719.5500000000001,2.1696064159197173,0.4,3.0,a1_station_hull_matched_sweep_free_surface_marching_not_benchmark_validated,"coefficients=A55,B55"
ma2005_wigley_iii_coefficients,6,wigley_iii,Fn0.4,1.0,A55,matched_bie_provider,axis_5pctL_aft_of_lcg,-0.15000000000000002,-0.05000000000000001,1.35,1.5,0.063,0.35146712178696915,252.8981674818137,115.02067479174751,814.4037430522727,-1137.1093389187126,340.08661577611264,119.55340847139001,18.32408421867614,0.28846712178696915,4.578843202967764,0.15,0.0,0.00945,30.525621353118428,relative,FAIL,ma2005,719.5500000000001,2.1696064159197173,0.4,3.0,a1_station_hull_matched_sweep_free_surface_marching_not_benchmark_validated,"coefficients=A55,B55"
ma2005_wigley_iii_coefficients,6,wigley_iii,Fn0.4,1.0,A55,matched_bie_provider,axis_5pctL_forward_of_lcg,0.15000000000000002,0.05000000000000001,1.65,1.5,0.063,0.019166632671855515,13.791350539033637,115.02067479174751,814.4037430522727,-1137.1093389187126,340.08661577611264,-119.55340847139001,18.32408421867614,0.04383336732814448,0.6957677353673727,0.15,0.0,0.00945,4.638451569115818,relative,FAIL,ma2005,719.5500000000001,2.1696064159197173,0.4,3.0,a1_station_hull_matched_sweep_free_surface_marching_not_benchmark_validated,"coefficients=A55,B55"
ma2005_wigley_iii_coefficients,6,wigley_iii,Fn0.4,1.0,A55,matched_bie_provider,axis_10pctL_aft_of_lcg,-0.30000000000000004,-0.10000000000000002,1.2,1.5,0.063,0.5940154660680037,427.42382860923215,115.02067479174751,814.4037430522727,-1137.1093389187126,340.08661577611264,239.10681694278003,73.29633687470456,0.5310154660680038,8.428816921714345,0.15,0.0,0.00945,56.19211281142897,relative,FAIL,ma2005,719.5500000000001,2.1696064159197173,0.4,3.0,a1_station_hull_matched_sweep_free_surface_marching_not_benchmark_validated,"coefficients=A55,B55"
ma2005_wigley_iii_coefficients,6,wigley_iii,Fn0.4,1.0,A55,matched_bie_provider,axis_10pctL_forward_of_lcg,0.30000000000000004,0.10000000000000002,1.8,1.5,0.063,-0.07058551216222354,-50.789805276327954,115.02067479174751,814.4037430522727,-1137.1093389187126,340.08661577611264,-239.10681694278003,73.29633687470456,0.13358551216222353,2.120404954955929,0.15,0.0,0.00945,14.136033033039526,relative,FAIL,ma2005,719.5500000000001,2.1696064159197173,0.4,3.0,a1_station_hull_matched_sweep_free_surface_marching_not_benchmark_validated,"coefficients=A55,B55"
ma2005_wigley_iii_coefficients,7,wigley_iii,Fn0.4,1.0,B55,matched_bie_provider,current_lcg,0.0,0.0,1.5,1.5,0.09,1.8587112677390107,2418.0908831378615,2418.0908831378615,1327.03117789732,2836.3821682849434,-109.30666509086566,0.0,0.0,1.7687112677390107,19.652347419322343,0.15,0.0,0.0135,131.01564946214893,relative,FAIL,ma2005,1300.9502471458604,2.1696064159197173,0.4,3.0,a1_station_hull_matched_sweep_free_surface_marching_not_benchmark_validated,"coefficients=A55,B55"
ma2005_wigley_iii_coefficients,7,wigley_iii,Fn0.4,1.0,B55,matched_bie_provider,axis_5pctL_aft_of_lcg,-0.15000000000000002,-0.05000000000000001,1.35,1.5,0.09,1.5672296182229348,2038.8877591614396,2418.0908831378615,1327.03117789732,2836.3821682849434,-109.30666509086566,-409.0613254791117,29.85820150268971,1.4772296182229347,16.413662424699275,0.15,0.0,0.0135,109.42441616466184,relative,FAIL,ma2005,1300.9502471458604,2.1696064159197173,0.4,3.0,a1_station_hull_matched_sweep_free_surface_marching_not_benchmark_validated,"coefficients=A55,B55"
ma2005_wigley_iii_coefficients,7,wigley_iii,Fn0.4,1.0,B55,matched_bie_provider,axis_5pctL_forward_of_lcg,0.15000000000000002,0.05000000000000001,1.65,1.5,0.09,2.1960950592750375,2857.010410119663,2418.0908831378615,1327.03117789732,2836.3821682849434,-109.30666509086566,409.0613254791117,29.85820150268971,2.1060950592750376,23.401056214167085,0.15,0.0,0.0135,156.00704142778056,relative,FAIL,ma2005,1300.9502471458604,2.1696064159197173,0.4,3.0,a1_station_hull_matched_sweep_free_surface_marching_not_benchmark_validated,"coefficients=A55,B55"
ma2005_wigley_iii_coefficients,7,wigley_iii,Fn0.4,1.0,B55,matched_bie_provider,axis_10pctL_aft_of_lcg,-0.30000000000000004,-0.10000000000000002,1.2,1.5,0.09,1.3216501107268097,1719.401038190397,2418.0908831378615,1327.03117789732,2836.3821682849434,-109.30666509086566,-818.1226509582234,119.43280601075884,1.2316501107268096,13.685001230297885,0.15,0.0,0.0135,91.23334153531923,relative,FAIL,ma2005,1300.9502471458604,2.1696064159197173,0.4,3.0,a1_station_hull_matched_sweep_free_surface_marching_not_benchmark_validated,"coefficients=A55,B55"
ma2005_wigley_iii_coefficients,7,wigley_iii,Fn0.4,1.0,B55,matched_bie_provider,axis_10pctL_forward_of_lcg,0.30000000000000004,0.10000000000000002,1.8,1.5,0.09,2.5793809928310147,3355.6463401068436,2418.0908831378615,1327.03117789732,2836.3821682849434,-109.30666509086566,818.1226509582234,119.43280601075884,2.489380992831015,27.6597888092335,0.15,0.0,0.0135,184.39859206155666,relative,FAIL,ma2005,1300.9502471458604,2.1696064159197173,0.4,3.0,a1_station_hull_matched_sweep_free_surface_marching_not_benchmark_validated,"coefficients=A55,B55"
