frequency_index,omega_e_rad_s,i,j,A,B,C,M
0,20.645999999999997,3,3,73.79923692325089,133.98490118582365,4643.674123151832,32.60032733
0,20.645999999999997,3,5,-0.5904140646358651,-328.9774968203221,-1843.5640581856203,0.0
0,20.645999999999997,5,3,1.4657288110905373,328.6718251469045,1483.4074534567453,0.0
0,20.645999999999997,5,5,12.376098994127558,-3.0602742230798494,772.4325393003717,11.080492655866367
1,16.879600000000003,3,3,76.05260938976923,175.92264621536216,4643.674123151832,32.60032733
1,16.879600000000003,3,5,1.031157397675181,-311.6688974999138,-1843.5640581856203,0.0
1,16.879600000000003,5,3,-0.2212333035160704,318.19265699280834,1483.4074534567453,0.0
1,16.879600000000003,5,5,13.748971735905318,-5.83632188339808,772.4325393003717,11.080492655866367
2,13.471200000000003,3,3,80.0938600747311,179.4832657820946,4643.674123151832,32.60032733
2,13.471200000000003,3,5,3.792395472631748,-316.66083815473894,-1843.5640581856203,0.0
2,13.471200000000003,5,3,-2.7942981231097197,327.47368880332516,1483.4074534567453,0.0
2,13.471200000000003,5,5,16.066912971249266,2.9820247800948105,772.4325393003717,11.080492655866367
3,11.899999999999999,3,3,82.6132141358312,165.23606112499837,4643.674123151832,32.60032733
3,11.899999999999999,3,5,5.4983977580726275,-328.7864548351013,-1843.5640581856203,0.0
3,11.899999999999999,5,3,-4.310585005539012,339.9989494999026,1483.4074534567453,0.0
3,11.899999999999999,5,5,18.355089214848462,12.18153731482733,772.4325393003717,11.080492655866367
4,10.4354,3,3,85.13444845244423,145.53062809491837,4643.674123151832,32.60032733
4,10.4354,3,5,7.204599040650833,-344.08034982921527,-1843.5640581856203,0.0
4,10.4354,5,3,-5.802644597056724,354.829075972316,1483.4074534567453,0.0
4,10.4354,5,5,21.828920372852583,22.73930816885978,772.4325393003717,11.080492655866367
5,9.0582,3,3,87.56908955240878,122.5027513681179,4643.674123151832,32.60032733
5,9.0582,3,5,8.852466470570361,-361.2187333913985,-1843.5640581856203,0.0
5,9.0582,5,3,-7.225845939535298,370.85316902613596,1483.4074534567453,0.0
5,9.0582,5,5,27.151965191042922,33.96224325699164,772.4325393003717,11.080492655866367
6,7.7676,3,3,89.81479840805407,98.44300450529146,4643.674123151832,32.60032733
6,7.7676,3,5,10.373309934356866,-378.730343967131,-1843.5640581856203,0.0
6,7.7676,5,3,-8.52683336600276,386.84597859013684,1483.4074534567453,0.0
6,7.7676,5,5,35.336532985891125,45.061824030334094,772.4325393003717,11.080492655866367
7,6.579000000000001,3,3,91.77286656485677,75.61291378051388,4643.674123151832,32.60032733
7,6.579000000000001,3,5,11.700264554375375,-395.13575166339393,-1843.5640581856203,0.0
7,6.579000000000001,5,3,-9.653792209196967,401.592981593634,1483.4074534567453,0.0
7,6.579000000000001,5,5,47.7964340841044,55.24332109800532,772.4325393003717,11.080492655866367
