frequency_index,omega0_rad_s,omega_e_rad_s,wavenumber_rad_m,wavelength_m,wave_amplitude_m,heave_response_real_m_per_m,heave_response_imag_m_per_m,pitch_response_real_rad_per_m,pitch_response_imag_rad_per_m,heave_rao_m_per_m,pitch_rao_rad_per_m,pitch_rao_rad_per_wave_slope,point_vertical_rao_m_per_m,heave_phase_lead_deg,pitch_phase_lead_deg,point_phase_lead_deg,fridsma_heave_phase_lag_deg,fridsma_pitch_phase_lead_deg,cg_accel_rao_mps2_per_m,point_accel_rao_mps2_per_m,cg_accel_g,point_accel_g,dynamic_condition_number,equation_relative_residual,heave_finite_length_factor,pitch_finite_length_factor,provider_route,matrix_contract
0,5.653511546225572,20.645999999999997,3.259236620385745,1.927808882570773,0.02,0.014125662944567293,0.12815282964038138,-0.26718620377434327,0.06124748285906277,0.12892898083231766,0.2741162557089894,0.08410443537436277,0.36765427646633797,173.70995675389008,-102.91093562203412,-123.29682370293123,-173.70995675389008,-102.91093562203412,54.95692132419916,156.71532510246314,0.11208092737927663,0.31961031565817716,5.388215817781621,2.6656899827060316e-16,0.40298278067196686,0.6174479899180991,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1
1,5.026802804762901,16.879600000000003,2.5766950424428487,2.438466797073037,0.02,0.05442375712933516,0.23300206778149843,-0.39782717371728077,0.17785881998207584,0.23927371132351094,0.4357754238059966,0.16912184663997237,0.6161919293370176,166.8527771000571,-114.08825312495235,-136.49951304232872,-166.8527771000571,-114.08825312495235,68.1740802578239,175.56595671326252,0.13903642988752307,0.3580549050149899,5.515273751932241,2.11690770491469e-16,0.5938382894184451,0.7461755176855023,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1
2,4.398052485760458,13.471200000000003,1.9724233726607707,3.1855155410694915,0.02,0.20761973373764053,0.4097298679623527,-0.5930603183647781,0.5204669554523489,0.45933051122011886,0.7890541128064471,0.4000429744157942,1.15275947558693,153.12759795057758,-131.27003665018907,-153.97260481294842,-153.12759795057758,-131.27003665018907,83.35619125144117,209.19498480232113,0.169999319342367,0.4266390353531963,5.9387936917567,4.1020456246898954e-16,0.7477009086809961,0.8449893238239109,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1
3,4.082419300063286,11.899999999999999,1.699474065203633,3.6971351524724367,0.032,0.41789976422503355,0.5000465869627171,-0.6387470432321747,0.9097979936416394,0.6516799844036955,1.1116340110270997,0.6541047220358154,1.6326042477185017,140.11376502921127,-144.92824043689464,-167.60233126479935,-140.11376502921127,-144.92824043689464,92.28440259140729,231.19308751941696,0.30113248488780914,0.7544042869503187,6.148916312724432,3.0199874817992134e-16,0.8086760642445182,0.8831725783577882,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1
4,3.7696831794607144,10.4354,1.4490688740302795,4.336015644104087,0.032,0.778309403206662,0.45233353646219004,-0.39815253995205696,1.483400768710953,0.9002061737892613,1.5359047124358076,1.0599252664671572,2.256803734835793,120.16405978804016,-164.9756235091149,172.3780956456651,-120.16405978804016,-164.9756235091149,98.03026766929975,245.760449822042,0.3198817705758431,0.8019389286153116,6.02859020305541,2.4094965866191906e-16,0.8585610505859478,0.9140486456288699,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1
5,3.4559208929702296,9.0582,1.217886762397776,5.159088267622884,0.035,1.0844476536081702,0.07113367579431527,0.3610846573241267,1.8200583036130857,1.0867781343256206,1.8555307484129238,1.5235659058808997,2.723500144421119,93.75290507793284,168.77869353793233,146.10472408564578,-93.75290507793284,168.77869353793233,89.17121883226248,223.46587559803535,0.31825268150991287,0.7975512173811892,5.010117816747279,1.6592818816007818e-16,0.8987788523732766,0.9387191686341765,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1
6,3.1407001299963366,7.7676,1.0058477978268834,6.246656125066137,0.035,1.014473367535911,-0.37759382349315207,1.0672157970157676,1.499951624284891,1.0824663084733073,1.8408705637808658,1.8301681106803978,2.705223503402447,69.58439434412651,144.56814352062156,121.83277061681025,-69.58439434412651,144.56814352062156,65.31126476639325,163.22130961487008,0.23309634450334865,0.5825379550122063,3.3936723957512127,3.5967499639156974e-16,0.9302646093631562,0.9579018417124507,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1
7,2.827884371298716,6.579000000000001,0.815459919282888,7.705081707394022,0.045,0.8029591724667802,-0.5838166451176252,1.3136150751024671,1.0336859512794827,0.9927664920639372,1.6715535323192703,2.049829173442672,2.4728602741976458,53.97979876211781,128.19926782623247,105.4726968382368,-53.97979876211781,128.19926782623247,42.970151332727994,107.03340720742281,0.19717811994644038,0.49114665296854954,2.2250323504962783,7.412822606832657e-17,0.9538280855566397,0.9721852562946065,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1
