omega_e_rad_s,F3_real,F3_imag,M5_real,M5_imag
6.579000000000001,-703.2588555107708,-5012.793115852361,360.51473538138305,-346.8500841022593
7.590045702857821,-716.5001352662733,-5032.224795594499,454.5739505982455,-370.7446641073153
8.756466601530699,-713.9230830597039,-5033.338990723755,568.4301566776596,-396.2993542532556
10.102140401454038,-689.8690039438765,-5003.113155463919,704.5293771445131,-421.4960479994817
11.6546142793316,-638.0310571058556,-4922.697466219179,864.1744293132431,-442.77794158695724
13.44566879910415,-552.3898024080027,-4765.870366534734,1046.0370749664046,-454.49376614307766
15.511968489236953,-429.17108033646565,-4498.086078902046,1243.6777513702186,-448.51649236185295
17.89581239923983,-270.2708128211852,-4077.519681308886,1441.8068648401675,-414.572292603848
20.645999999999997,-88.22790928104811,-3460.768479271114,1611.4739696350784,-342.3054408333629
37.1628,130.45480741687442,823.6800122675602,852.7399255864776,140.11277334830044
