panel_count,arc_fraction_lower,arc_fraction_upper,residual_energy_fraction
320,0.0,0.1,0.8708025999760052
320,0.1,0.25,0.011629647011008357
320,0.25,0.5,0.004877837500691309
320,0.5,0.75,0.007424918875214445
320,0.75,0.9,0.01020948975166758
320,0.9,1.0,0.0950555068854131
640,0.0,0.1,0.6784470650780348
640,0.1,0.25,0.010196434427890949
640,0.25,0.5,0.00928306859865163
640,0.5,0.75,0.017588577966698587
640,0.75,0.9,0.024109899365415913
640,0.9,1.0,0.26037495456330806
1280,0.0,0.1,0.5610619505226406
1280,0.1,0.25,0.007850444047201952
1280,0.25,0.5,0.011360122503770801
1280,0.5,0.75,0.023016190330734078
1280,0.75,0.9,0.03141249591512557
1280,0.9,1.0,0.36529879668052706
