run,path,outer_panel_count,kinematic_integral_linear_exact,root_relative_mismatch,body_vertical_force_coefficient,solved_dipole_coefficient,bem_condition_number,finite,reference_used_during_solve,checkpoint_sha256,outer_nodes_sha256
self_similar_wedge_12p75deg_n320_globaldct64_exactcoordinate_relinearized_fromv835_inner8_v836,D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\self_similar_wedge_12p75deg_n320_globaldct64_exactcoordinate_relinearized_fromv835_inner8_v836,320,0.0009530115440874885,5.864623265062605e-07,47.6848475479961,7.776419365795556,253349.3829603834,True,False,f0dce84c037a0b5a79d9a52e8217d5159ec675d2e043c4e9f2ddda96e1845dab,9cd61bcb88d1c9643dec14ecbf1dfaa581c4e86b44a2edbec948271b27cbb187
self_similar_wedge_12p75deg_n640_mapped_v836_direction_v840,D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\self_similar_wedge_12p75deg_n640_mapped_v836_direction_v840,640,0.0007072364008052972,6.542163234717447e-08,47.69082191816297,7.775407005854811,571410.8250650696,True,False,758299fbc364e48f97b9336e84b19cb792d8fe2380b11086f864662d3e055e6b,08454adc536e00630bc7f9fa490799eef8c543f9080685fa31783fc07abe95c3
self_similar_wedge_12p75deg_n1280_rootcos16_direction_reuse2_v844,D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\outputs\self_similar_wedge_12p75deg_n1280_rootcos16_direction_reuse2_v844,1280,0.0007406745361148696,4.4351638133743125e-09,47.67610903978425,7.771323345301781,1379273.2198929638,True,False,a8a5ea2a2fb03861bb09f7fa4bd0d61b1425e8f90405e300e847a03d50aa9817,f3afef223d0a7ad0d717a046b87b9e101b4f160b63f3676e0707998bf1a620f4
