frequency_index,status,heave_amplitude_relative_error,pitch_amplitude_relative_error,heave_phase_circular_error_deg,pitch_phase_circular_error_deg,point_acceleration_kinematic_relative_residual
0,PASS,3.8706813987696465e-15,1.010020327725492e-15,1.7053025658242404e-13,1.4210854715202004e-13,0.0
1,PASS,6.186999426436165e-14,5.892340781040658e-14,1.8758328224066645e-12,4.234834705130197e-12,0.0
2,PASS,2.1610825966337244e-13,2.3250805512800197e-13,5.6843418860808015e-12,8.86757334228605e-12,0.0
3,PASS,1.0960543842622945e-13,1.8693931559838508e-16,1.1937117960769683e-11,1.41824330057716e-11,0.0
4,PASS,3.83236707899893e-12,1.543808188561221e-12,2.708588908717502e-10,2.646629582159221e-10,0.0
5,PASS,8.647062000440444e-12,7.888109195928907e-12,6.0538241086760536e-12,1.1596057447604835e-11,0.0
6,PASS,5.826557048146222e-12,4.521276994221806e-12,1.23321797218523e-10,6.480149750132114e-11,0.0
7,PASS,5.1369837131306775e-11,4.670457174010236e-11,9.171969850285677e-10,7.038920557533856e-10,0.0
