frequency_index,term,F3_real,F3_imag,M5_real,M5_imag
0,rigid_inertia,-290.2890323339607,-1769.9676633595393,1240.4502149524264,-381.97350811770394
0,added_inertia,-300.1604029094834,-3407.707600103687,990.2177455333488,-304.296155272607
0,radiation_damping,-291.518441176564,1475.3024057838863,-619.6723634327356,90.94769095517978
0,restoring,581.185777825908,442.37659845507346,-171.8776015444154,251.4122716994572
1,rigid_inertia,-660.7995794502734,-2133.4847617144096,1245.5518331691787,-709.7607597151359
1,added_inertia,-860.3371797766315,-4545.4790382735455,1157.2630375868423,-491.46546443062704
1,radiation_damping,-44.97539073646578,2018.058494717382,-980.5460653923043,245.4798509056655
1,restoring,1057.6969556708611,652.1444144111433,-199.2147402067152,514.3805478700268
2,rigid_inertia,-1516.6713011815784,-2287.338155052746,1129.4096432679496,-1262.1934295697513
2,added_inertia,-2598.165989294217,-5686.496995735168,1467.2489425915633,-1059.9919939990639
2,radiation_damping,1206.0323675098368,2858.2545019836584,-1595.3943778849648,784.5141818597822
2,restoring,2225.941949843301,638.1740680706027,-53.558629388750944,1058.3885186422976
3,rigid_inertia,-2263.8877423058525,-2007.1149208082045,845.420667788766,-1660.9956527589331
3,added_inertia,-4454.793024040827,-5664.9568258334975,1515.2326441029459,-1783.0122500780594
3,radiation_damping,2703.5704236408833,2985.6590511778413,-1865.3270733405811,1501.9347036366685
3,restoring,3270.492374273274,67.39198541567998,311.2645697068331,1462.6025199389405
4,rigid_inertia,-2927.7817796695717,-1053.8693747894474,193.42200462483171,-1911.6094381238263
4,added_inertia,-6590.8063064163,-3999.7165535750173,956.2258831227007,-2798.821537922664
4,radiation_damping,4608.103057176369,1887.1124027841247,-1577.017198581397,2575.7683959234582
4,restoring,4125.180484502789,-1542.1490748263939,1099.5537667190251,1664.0803233072088
5,rigid_inertia,-2659.7378780806407,284.36005361160454,-550.1999478602185,-1560.2491779424445
5,added_inertia,-6814.433288867561,-765.4217828567022,-434.4281412665247,-3230.8404045041416
5,radiation_damping,5167.585007081437,-618.4474957132852,-411.38299846823384,3167.8925624828157
5,restoring,3501.7009621579873,-3657.458277587847,1942.458399044482,1167.9004522232146
6,rigid_inertia,-1692.008495340153,876.8570287458768,-761.9174076026472,-895.2175673777309
6,added_inertia,-4882.130645716397,1223.3923273134146,-1569.5736925055169,-2660.5815560349597
6,radiation_damping,3877.0608804275603,-2334.2785037852505,606.9135728783539,2746.681896989947
6,restoring,1893.5215431040638,-4538.7357419182135,2156.3590254066116,373.0310016048355
7,rigid_inertia,-961.5477361232363,818.3678691532153,-624.4685962186774,-453.0627162786312
7,added_inertia,-3063.0691525366783,1534.6102169493288,-2023.7442911636267,-1937.926769852209
7,radiation_damping,2477.9908935180497,-2682.665462393821,962.5625351532163,2106.2033822888775
7,restoring,763.9609428396852,-4434.756868151777,2016.6119297537416,-130.64164160570158
