candidate,role,reference_variant,section_planes,body_panels_per_side,bem_substeps_per_plane,pressure_interpolation,transom_correction,fixed_jet_threshold_over_beam,coefficient,value_nondimensional,reference_nondimensional,relative_error_percent,harmonic_fit_residual_percent,damping_center_from_transom_over_beam,response_calibration_used
formal_legacy_constant_pressure,current_formal_checkpoint,sun_2dt_without_stern_3d_correction,11,12,8,constant_panel,False,,B33,2.354845735837674,2.57342657,8.493766121421762,1.24833593795561,1.8794309120301866,False
formal_legacy_constant_pressure,current_formal_checkpoint,sun_2dt_without_stern_3d_correction,11,12,8,constant_panel,False,,B53,0.964146637314415,1.68764569,42.8703167360671,1.87770514202453,1.8794309120301866,False
coarse_legacy_constant_pressure,single_variable_control,sun_2dt_without_stern_3d_correction,11,8,4,constant_panel,False,,B33,2.195775456984623,2.57342657,14.675029682909399,1.9719061848816999,1.8350569704898254,False
coarse_legacy_constant_pressure,single_variable_control,sun_2dt_without_stern_3d_correction,11,8,4,constant_panel,False,,B53,0.8015831362027187,1.68764569,52.502877769165,2.85066337071197,1.8350569704898254,False
coarse_linear_node_pressure,excluded_pressure_candidate,sun_2dt_without_stern_3d_correction,11,8,4,match_potential,False,,B33,1.127998874470086,2.57342657,56.16743498260819,5.36475177769136,1.8852290717993423,False
coarse_linear_node_pressure,excluded_pressure_candidate,sun_2dt_without_stern_3d_correction,11,8,4,match_potential,False,,B53,0.4683779256369169,1.68764569,72.2466671522198,7.41697135325901,1.8852290717993423,False
coarse_transom_correction,source_transom_correction_probe,sun_2dt_with_stern_3d_correction,11,8,4,constant_panel,True,,B33,2.1503103521884785,2.488,13.572735040656006,2.00714532967229,1.8727924326245164,False
coarse_transom_correction,source_transom_correction_probe,sun_2dt_with_stern_3d_correction,11,8,4,constant_panel,True,,B53,0.8661287376556779,1.76,50.788139905927395,2.82804676094012,1.8727924326245164,False
coarse_sections_15,section_count_convergence_probe,sun_2dt_without_stern_3d_correction,15,8,4,constant_panel,False,,B33,2.138273417238661,2.57342657,16.909483947752168,1.6544898269414299,1.8279758402387187,False
coarse_sections_15,section_count_convergence_probe,sun_2dt_without_stern_3d_correction,15,8,4,constant_panel,False,,B53,0.7654502231961261,1.68764569,54.64390258383405,2.15738680303128,1.8279758402387187,False
coarse_fixed_physical_jet_threshold,fixed_scale_grid_independence_probe,sun_2dt_without_stern_3d_correction,11,8,4,constant_panel,False,0.03325555538987225,B33,2.2398519495288056,2.57342657,12.962274671439118,1.35487125006661,1.8746503567851518,False
coarse_fixed_physical_jet_threshold,fixed_scale_grid_independence_probe,sun_2dt_without_stern_3d_correction,11,8,4,constant_panel,False,0.03325555538987225,B53,0.906356890522749,1.68764569,46.2945986889731,2.25412314385123,1.8746503567851518,False
body16_sub8_fixed_physical_jet_threshold,formal_candidate,sun_2dt_without_stern_3d_correction,11,16,8,constant_panel,False,0.03325555538987225,B33,2.375916393363367,2.57342657,7.674987852349453,1.38983077207463,1.9775953091580845,False
body16_sub8_fixed_physical_jet_threshold,formal_candidate,sun_2dt_without_stern_3d_correction,11,16,8,constant_panel,False,0.03325555538987225,B53,1.2060040162230392,1.68764569,28.539264884263762,1.48733136606177,1.9775953091580845,False
body20_sub8_fixed_physical_jet_threshold,panel_refinement_candidate,sun_2dt_without_stern_3d_correction,11,20,8,constant_panel,False,0.03325555538987225,B33,2.455743966645521,2.57342657,4.572992473396243,1.63006573567871,2.0225806489827898,False
body20_sub8_fixed_physical_jet_threshold,panel_refinement_candidate,sun_2dt_without_stern_3d_correction,11,20,8,constant_panel,False,0.03325555538987225,B53,1.3569965948245528,1.68764569,19.59232895474922,1.4520023621318099,2.0225806489827898,False
body24_sub8_fixed_physical_jet_threshold,panel_refinement_candidate,sun_2dt_without_stern_3d_correction,11,24,8,constant_panel,False,0.03325555538987225,B33,2.5350209653627678,2.57342657,1.4923917039230812,1.8050391585550398,2.049964963806293,False
body24_sub8_fixed_physical_jet_threshold,panel_refinement_candidate,sun_2dt_without_stern_3d_correction,11,24,8,constant_panel,False,0.03325555538987225,B53,1.4702233424248117,1.68764569,12.88317499718726,1.49824688545912,2.049964963806293,False
body24_sub16_fixed_physical_jet_threshold,time_refinement_candidate,sun_2dt_without_stern_3d_correction,11,24,16,constant_panel,False,0.03325555538987225,B33,2.4043867297613466,2.57342657,6.56866771367226,1.11355535467288,2.0266381389097647,False
body24_sub16_fixed_physical_jet_threshold,time_refinement_candidate,sun_2dt_without_stern_3d_correction,11,24,16,constant_panel,False,0.03325555538987225,B53,1.3383733544736918,1.68764569,20.695833112121317,1.21362969692991,2.0266381389097647,False
body24_sub32_fixed_physical_jet_threshold,time_refinement_candidate,sun_2dt_without_stern_3d_correction,11,24,32,constant_panel,False,0.03325555538987225,B33,2.404522151366145,2.57342657,6.563405406739664,0.87155593702469,1.9902260715679252,False
body24_sub32_fixed_physical_jet_threshold,time_refinement_candidate,sun_2dt_without_stern_3d_correction,11,24,32,constant_panel,False,0.03325555538987225,B53,1.250895112803266,1.68764569,25.879281402764946,1.13365967376798,1.9902260715679252,False
body28_sub16_fixed_physical_jet_threshold,space_time_refinement_candidate,sun_2dt_without_stern_3d_correction,11,28,16,constant_panel,False,0.03325555538987225,B33,2.4519220714843875,2.57342657,4.721506334474996,1.2943285572231,2.0533378756419287,False
body28_sub16_fixed_physical_jet_threshold,space_time_refinement_candidate,sun_2dt_without_stern_3d_correction,11,28,16,constant_panel,False,0.03325555538987225,B53,1.4302990124192596,1.68764569,15.24885697902268,1.22472970154173,2.0533378756419287,False
