axis,coarse_candidate,refined_candidate,coefficient,coarse_value_nondimensional,refined_value_nondimensional,relative_change,limit,status,reason
time_step_24_panels_8_to_16_substeps,body24_sub8_fig7p4_restoring,body24_sub16_fig7p4_restoring,A33,1.0161046412873995,1.0334129071848863,0.016748644977384826,0.05,PASS,
time_step_24_panels_8_to_16_substeps,body24_sub8_fig7p4_restoring,body24_sub16_fig7p4_restoring,A53,-0.1078145925836168,-0.032897497566244,2.2772885647765784,0.05,FAIL,
time_step_24_panels_8_to_16_substeps,body24_sub8_fig7p4_restoring,body24_sub16_fig7p4_restoring,B33,2.5350209653627678,2.4043867297613466,0.05433162393738033,0.05,FAIL,
time_step_24_panels_8_to_16_substeps,body24_sub8_fig7p4_restoring,body24_sub16_fig7p4_restoring,B53,1.4702233424248117,1.3383733544736918,0.09851510231460728,0.05,FAIL,
body_panels_24_to_28_at_16_substeps,body24_sub16_fig7p4_restoring,body28_sub16_fig7p4_restoring,A33,1.0334129071848863,1.034639239829205,0.0011852755985952603,0.05,PASS,
body_panels_24_to_28_at_16_substeps,body24_sub16_fig7p4_restoring,body28_sub16_fig7p4_restoring,A53,-0.032897497566244,-0.0797928204975694,0.5877135641890726,0.05,FAIL,
body_panels_24_to_28_at_16_substeps,body24_sub16_fig7p4_restoring,body28_sub16_fig7p4_restoring,B33,2.4043867297613466,2.4519220714843875,0.0193869708486547,0.05,PASS,
body_panels_24_to_28_at_16_substeps,body24_sub16_fig7p4_restoring,body28_sub16_fig7p4_restoring,B53,1.3383733544736918,1.4302990124192596,0.0642702380043467,0.05,FAIL,
time_step_24_panels_16_to_32_substeps,body24_sub16_fig7p4_restoring,body24_sub32_fig7p4_restoring,A33,1.0334129071848863,1.022920649608873,0.010257156877246739,0.05,PASS,
time_step_24_panels_16_to_32_substeps,body24_sub16_fig7p4_restoring,body24_sub32_fig7p4_restoring,A53,-0.032897497566244,-0.0246887268323338,0.33249064602065725,0.05,FAIL,
time_step_24_panels_16_to_32_substeps,body24_sub16_fig7p4_restoring,body24_sub32_fig7p4_restoring,B33,2.4043867297613466,2.404522151366145,5.6319549695752154e-05,0.05,PASS,
time_step_24_panels_16_to_32_substeps,body24_sub16_fig7p4_restoring,body24_sub32_fig7p4_restoring,B53,1.3383733544736918,1.250895112803266,0.06993251534446114,0.05,FAIL,
time_step_24_panels_32_to_64_substeps,body24_sub32_fig7p4_restoring,body24_sub64_fig7p4_restoring,A33,,,,0.05,NOT_EVALUATED,missing: body24_sub64_fig7p4_restoring
time_step_24_panels_32_to_64_substeps,body24_sub32_fig7p4_restoring,body24_sub64_fig7p4_restoring,A53,,,,0.05,NOT_EVALUATED,missing: body24_sub64_fig7p4_restoring
time_step_24_panels_32_to_64_substeps,body24_sub32_fig7p4_restoring,body24_sub64_fig7p4_restoring,B33,,,,0.05,NOT_EVALUATED,missing: body24_sub64_fig7p4_restoring
time_step_24_panels_32_to_64_substeps,body24_sub32_fig7p4_restoring,body24_sub64_fig7p4_restoring,B53,,,,0.05,NOT_EVALUATED,missing: body24_sub64_fig7p4_restoring
body_panels_24_to_28_at_32_substeps,body24_sub32_fig7p4_restoring,body28_sub32_fig7p4_restoring,A33,,,,0.05,NOT_EVALUATED,missing: body28_sub32_fig7p4_restoring
body_panels_24_to_28_at_32_substeps,body24_sub32_fig7p4_restoring,body28_sub32_fig7p4_restoring,A53,,,,0.05,NOT_EVALUATED,missing: body28_sub32_fig7p4_restoring
body_panels_24_to_28_at_32_substeps,body24_sub32_fig7p4_restoring,body28_sub32_fig7p4_restoring,B33,,,,0.05,NOT_EVALUATED,missing: body28_sub32_fig7p4_restoring
body_panels_24_to_28_at_32_substeps,body24_sub32_fig7p4_restoring,body28_sub32_fig7p4_restoring,B53,,,,0.05,NOT_EVALUATED,missing: body28_sub32_fig7p4_restoring
