body_panels_per_side,bem_substeps_per_plane,fit_window_cycles,coefficient,value_nondimensional,harmonic_fit_residual_nrmse,restoring_subtraction,response_calibration_used
24,16,0.00-1.50,A33,1.029949317304668,0.0187192590857043,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False
24,16,0.00-1.50,A53,-0.0298116306745622,0.0207782862864508,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False
24,16,0.00-1.50,B33,2.429051350246795,0.0187192590857043,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False
24,16,0.00-1.50,B53,1.3069686575595414,0.0207782862864508,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False
24,16,0.25-1.75,A33,1.0331188173498826,0.009738583856534,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False
24,16,0.25-1.75,A53,-0.033474890814639,0.0114349991878077,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False
24,16,0.25-1.75,B33,2.4047930042653483,0.009738583856534,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False
24,16,0.25-1.75,B53,1.338972315876792,0.0114349991878077,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False
24,16,0.50-2.00,A33,1.0334129071848863,0.0111355535467288,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False
24,16,0.50-2.00,A53,-0.032897497566244,0.0121362969692991,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False
24,16,0.50-2.00,B33,2.4043867297613466,0.0111355535467288,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False
24,16,0.50-2.00,B53,1.3383733544736918,0.0121362969692991,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False
24,16,0.25-2.00,A33,1.0333205848097784,0.0104804175725768,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False
24,16,0.25-2.00,A53,-0.0332535709722779,0.0115998966505289,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False
24,16,0.25-2.00,B33,2.4043696909934718,0.0104804175725768,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False
24,16,0.25-2.00,B53,1.3385881727746571,0.0115998966505289,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False
24,32,0.00-1.50,A33,1.0193616095342457,0.01697059709852,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False
24,32,0.00-1.50,A53,-0.0213300693484403,0.0193548839301207,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False
24,32,0.00-1.50,B33,2.429121150660266,0.01697059709852,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False
24,32,0.00-1.50,B53,1.2200821737488765,0.0193548839301207,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False
24,32,0.25-1.75,A33,1.0226636227643413,0.0075979347346211,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False
24,32,0.25-1.75,A53,-0.0252860103145569,0.0105860363602933,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False
24,32,0.25-1.75,B33,2.404215984419611,0.0075979347346211,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False
24,32,0.25-1.75,B53,1.2510533661870544,0.0105860363602933,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False
24,32,0.50-2.00,A33,1.022920649608873,0.0087155593702469,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False
24,32,0.50-2.00,A53,-0.0246887268323338,0.0113365967376798,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False
24,32,0.50-2.00,B33,2.404522151366145,0.0087155593702469,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False
24,32,0.50-2.00,B53,1.250895112803266,0.0113365967376798,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False
24,32,0.25-2.00,A33,1.022754346026241,0.0082708877004068,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False
24,32,0.25-2.00,A53,-0.0251321969556627,0.0108556151126071,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False
24,32,0.25-2.00,B33,2.4043557727074547,0.0082708877004068,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False
24,32,0.25-2.00,B53,1.251029332109229,0.0108556151126071,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False
