candidate,role,section_planes,body_panels_per_side,bem_substeps_per_plane,coefficient,value_nondimensional,reference_nondimensional,relative_error_percent,harmonic_fit_residual_percent,restoring_subtraction,response_calibration_used
body24_sub8_fig7p4_restoring,physical_restoring_space_time_candidate,11,24,8,A33,1.0161046412873995,1.00621118,0.9832390539925765,1.8050391585550398,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False
body24_sub8_fig7p4_restoring,physical_restoring_space_time_candidate,11,24,8,A53,-0.1078145925836168,-0.208074534,48.18462859870358,1.49824688545912,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False
body24_sub8_fig7p4_restoring,physical_restoring_space_time_candidate,11,24,8,B33,2.5350209653627678,2.57342657,1.4923917039230812,1.8050391585550398,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False
body24_sub8_fig7p4_restoring,physical_restoring_space_time_candidate,11,24,8,B53,1.4702233424248117,1.68764569,12.88317499718726,1.49824688545912,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False
body24_sub16_fig7p4_restoring,physical_restoring_time_refinement_candidate,11,24,16,A33,1.0334129071848863,1.00621118,2.703381529202084,1.11355535467288,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False
body24_sub16_fig7p4_restoring,physical_restoring_time_refinement_candidate,11,24,16,A53,-0.032897497566244,-0.208074534,84.18956085887761,1.21362969692991,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False
body24_sub16_fig7p4_restoring,physical_restoring_time_refinement_candidate,11,24,16,B33,2.4043867297613466,2.57342657,6.56866771367226,1.11355535467288,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False
body24_sub16_fig7p4_restoring,physical_restoring_time_refinement_candidate,11,24,16,B53,1.3383733544736918,1.68764569,20.695833112121317,1.21362969692991,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False
body28_sub16_fig7p4_restoring,physical_restoring_space_time_candidate,11,28,16,A33,1.034639239829205,1.00621118,2.8252577981895453,1.2943285572231,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False
body28_sub16_fig7p4_restoring,physical_restoring_space_time_candidate,11,28,16,A53,-0.0797928204975694,-0.208074534,61.651808626629254,1.22472970154173,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False
body28_sub16_fig7p4_restoring,physical_restoring_space_time_candidate,11,28,16,B33,2.4519220714843875,2.57342657,4.721506334474996,1.2943285572231,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False
body28_sub16_fig7p4_restoring,physical_restoring_space_time_candidate,11,28,16,B53,1.4302990124192596,1.68764569,15.24885697902268,1.22472970154173,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False
body24_sub32_fig7p4_restoring,physical_restoring_time_refinement_candidate,11,24,32,A33,1.022920649608873,1.00621118,1.6606324736794302,0.87155593702469,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False
body24_sub32_fig7p4_restoring,physical_restoring_time_refinement_candidate,11,24,32,A53,-0.0246887268323338,-0.208074534,88.13467157286351,1.13365967376798,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False
body24_sub32_fig7p4_restoring,physical_restoring_time_refinement_candidate,11,24,32,B33,2.404522151366145,2.57342657,6.563405406739664,0.87155593702469,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False
body24_sub32_fig7p4_restoring,physical_restoring_time_refinement_candidate,11,24,32,B53,1.250895112803266,1.68764569,25.879281402764946,1.13365967376798,external:sun2007_fig7_4_restoring/restoring_matrices.csv,False
