outer_iteration,krylov_iteration,preconditioned_relative_residual,gmres_info
1,1,0.9998803673808866,1
1,2,0.9667110828072873,1
1,3,0.9661824385325624,1
1,4,0.9583512067038048,1
1,5,0.9563382498665216,1
1,6,0.9526162785413871,1
1,7,0.9473386540757239,1
1,8,0.9447299877439634,1
1,9,0.9355384761237029,1
1,10,0.9335687861481473,1
1,11,0.9200176106625848,1
1,12,0.9188660856985983,1
1,13,0.8984356838838504,1
1,14,0.8978933375481486,1
1,15,0.8696836859102992,1
1,16,0.8694709634760355,1
1,17,0.8411287082205912,1
1,18,0.841028540144025,1
1,19,0.8093568469971967,1
1,20,0.80928836670264,1
1,21,0.7775649216533308,1
1,22,0.7775083691453374,1
1,23,0.7459974921425222,1
1,24,0.7459357249756112,1
1,25,0.715369963489559,1
1,26,0.7152900848321174,1
1,27,0.6869422542591819,1
1,28,0.6868049270893332,1
1,29,0.661413936647397,1
1,30,0.6611237343676488,1
1,31,0.6412194717652376,1
1,32,0.6406072284059481,1
