station,x,exponent,count,potential,field,normalized_rms,passed,solve_residual
12,0.2557645563861015,1.0,48,linear_z,body_phi,4.5104596025310094e-05,True,3.309663540480714e-16
12,0.2557645563861015,1.0,48,linear_z,free_q,0.004488453993649197,True,3.309663540480714e-16
12,0.2557645563861015,1.0,48,quadratic,body_phi,0.0005446589709127609,True,3.6427854641989445e-16
12,0.2557645563861015,1.0,48,quadratic,free_q,0.030086757222497536,False,3.6427854641989445e-16
12,0.2557645563861015,1.0,72,linear_z,body_phi,5.3959052028793406e-05,True,3.464306143525682e-16
12,0.2557645563861015,1.0,72,linear_z,free_q,0.008059223672368138,True,3.464306143525682e-16
12,0.2557645563861015,1.0,72,quadratic,body_phi,0.0002432049483705414,True,3.89254141495433e-16
12,0.2557645563861015,1.0,72,quadratic,free_q,0.01983212003478797,True,3.89254141495433e-16
12,0.2557645563861015,1.0,96,linear_z,body_phi,6.153526743501837e-05,True,3.4249761176322086e-16
12,0.2557645563861015,1.0,96,linear_z,free_q,0.012046737707277594,True,3.4249761176322086e-16
12,0.2557645563861015,1.0,96,quadratic,body_phi,0.00013558287499574278,True,4.119442822957493e-16
12,0.2557645563861015,1.0,96,quadratic,free_q,0.013536672951459805,True,4.119442822957493e-16
12,0.2557645563861015,1.5,48,linear_z,body_phi,3.382508867403066e-05,True,3.498149284602014e-16
12,0.2557645563861015,1.5,48,linear_z,free_q,0.0026193444718403433,True,3.498149284602014e-16
12,0.2557645563861015,1.5,48,quadratic,body_phi,0.0011141522084174565,True,3.342093332423588e-16
12,0.2557645563861015,1.5,48,quadratic,free_q,0.04083549064346727,False,3.342093332423588e-16
12,0.2557645563861015,1.5,72,linear_z,body_phi,4.014233964306754e-05,True,3.3520797747307736e-16
12,0.2557645563861015,1.5,72,linear_z,free_q,0.004570323790496654,True,3.3520797747307736e-16
12,0.2557645563861015,1.5,72,quadratic,body_phi,0.0005201882199736217,True,3.3738501455419163e-16
12,0.2557645563861015,1.5,72,quadratic,free_q,0.029979202726664683,False,3.3738501455419163e-16
12,0.2557645563861015,1.5,96,linear_z,body_phi,4.6143640824318206e-05,True,3.6260718962242016e-16
12,0.2557645563861015,1.5,96,linear_z,free_q,0.006897837078497991,True,3.6260718962242016e-16
12,0.2557645563861015,1.5,96,quadratic,body_phi,0.00029526155026501894,True,3.6536210949072372e-16
12,0.2557645563861015,1.5,96,quadratic,free_q,0.022609451820792232,False,3.6536210949072372e-16
42,0.8951311907918157,1.0,48,linear_z,body_phi,4.5104596025310094e-05,True,3.309663540480714e-16
42,0.8951311907918157,1.0,48,linear_z,free_q,0.004488453993649197,True,3.309663540480714e-16
42,0.8951311907918157,1.0,48,quadratic,body_phi,0.0005446589709127609,True,3.6427854641989445e-16
42,0.8951311907918157,1.0,48,quadratic,free_q,0.030086757222497536,False,3.6427854641989445e-16
42,0.8951311907918157,1.0,72,linear_z,body_phi,5.3959052028793406e-05,True,3.464306143525682e-16
42,0.8951311907918157,1.0,72,linear_z,free_q,0.008059223672368138,True,3.464306143525682e-16
42,0.8951311907918157,1.0,72,quadratic,body_phi,0.0002432049483705414,True,3.89254141495433e-16
42,0.8951311907918157,1.0,72,quadratic,free_q,0.01983212003478797,True,3.89254141495433e-16
42,0.8951311907918157,1.0,96,linear_z,body_phi,6.153526743501837e-05,True,3.4249761176322086e-16
42,0.8951311907918157,1.0,96,linear_z,free_q,0.012046737707277594,True,3.4249761176322086e-16
42,0.8951311907918157,1.0,96,quadratic,body_phi,0.00013558287499574278,True,4.119442822957493e-16
42,0.8951311907918157,1.0,96,quadratic,free_q,0.013536672951459805,True,4.119442822957493e-16
42,0.8951311907918157,1.5,48,linear_z,body_phi,3.382508867403066e-05,True,3.498149284602014e-16
42,0.8951311907918157,1.5,48,linear_z,free_q,0.0026193444718403433,True,3.498149284602014e-16
42,0.8951311907918157,1.5,48,quadratic,body_phi,0.0011141522084174565,True,3.342093332423588e-16
42,0.8951311907918157,1.5,48,quadratic,free_q,0.04083549064346727,False,3.342093332423588e-16
42,0.8951311907918157,1.5,72,linear_z,body_phi,4.014233964306754e-05,True,3.3520797747307736e-16
42,0.8951311907918157,1.5,72,linear_z,free_q,0.004570323790496654,True,3.3520797747307736e-16
42,0.8951311907918157,1.5,72,quadratic,body_phi,0.0005201882199736217,True,3.3738501455419163e-16
42,0.8951311907918157,1.5,72,quadratic,free_q,0.029979202726664683,False,3.3738501455419163e-16
42,0.8951311907918157,1.5,96,linear_z,body_phi,4.6143640824318206e-05,True,3.6260718962242016e-16
42,0.8951311907918157,1.5,96,linear_z,free_q,0.006897837078497991,True,3.6260718962242016e-16
42,0.8951311907918157,1.5,96,quadratic,body_phi,0.00029526155026501894,True,3.6536210949072372e-16
42,0.8951311907918157,1.5,96,quadratic,free_q,0.022609451820792232,False,3.6536210949072372e-16
80,1.7049955943723871,1.0,48,linear_z,body_phi,8.257398903206547e-06,True,3.5340815052645707e-16
80,1.7049955943723871,1.0,48,linear_z,free_q,0.0033159394931251674,True,3.5340815052645707e-16
80,1.7049955943723871,1.0,48,quadratic,body_phi,9.883692684804901e-05,True,3.1289766687614966e-16
80,1.7049955943723871,1.0,48,quadratic,free_q,0.031311639149559124,False,3.1289766687614966e-16
80,1.7049955943723871,1.0,72,linear_z,body_phi,9.26858116640791e-06,True,3.693462788301436e-16
80,1.7049955943723871,1.0,72,linear_z,free_q,0.005923390313154453,True,3.693462788301436e-16
80,1.7049955943723871,1.0,72,quadratic,body_phi,3.96396501201893e-05,True,3.323201206826377e-16
80,1.7049955943723871,1.0,72,quadratic,free_q,0.021746614131571137,False,3.323201206826377e-16
80,1.7049955943723871,1.0,96,linear_z,body_phi,1.0199629284707935e-05,True,3.4155101911657924e-16
80,1.7049955943723871,1.0,96,linear_z,free_q,0.008952083297407452,True,3.4155101911657924e-16
80,1.7049955943723871,1.0,96,quadratic,body_phi,2.0944195790253447e-05,True,3.2581438113952744e-16
80,1.7049955943723871,1.0,96,quadratic,free_q,0.015491043981015962,True,3.2581438113952744e-16
80,1.7049955943723871,1.5,48,linear_z,body_phi,5.359117135113577e-06,True,3.277633845129425e-16
80,1.7049955943723871,1.5,48,linear_z,free_q,0.0019449779348046747,True,3.277633845129425e-16
80,1.7049955943723871,1.5,48,quadratic,body_phi,0.00023335495771076658,True,3.568017587904942e-16
80,1.7049955943723871,1.5,48,quadratic,free_q,0.04083043826939992,False,3.568017587904942e-16
80,1.7049955943723871,1.5,72,linear_z,body_phi,6.11290271352474e-06,True,3.6118708604060796e-16
80,1.7049955943723871,1.5,72,linear_z,free_q,0.0033505812709436387,True,3.6118708604060796e-16
80,1.7049955943723871,1.5,72,quadratic,body_phi,0.00010708710596169465,True,3.667282593552313e-16
80,1.7049955943723871,1.5,72,quadratic,free_q,0.031183669236041014,False,3.667282593552313e-16
80,1.7049955943723871,1.5,96,linear_z,body_phi,6.844474785414832e-06,True,3.6856623389747314e-16
80,1.7049955943723871,1.5,96,linear_z,free_q,0.005034587386217687,True,3.6856623389747314e-16
80,1.7049955943723871,1.5,96,quadratic,body_phi,6.079900901208197e-05,True,3.7893460770839983e-16
80,1.7049955943723871,1.5,96,quadratic,free_q,0.024375028571336596,False,3.7893460770839983e-16
