stage,panel_count,exact_objective,signed_root_defect,root_relative_mismatch,condition_number,dipole_coefficient
source,80,0.07073000779747939,-2.5642015437461127e-05,2.5642015437461127e-05,25320.31771413039,2.8354188236661346
source,160,0.07152793969146538,1.3647751231671524e-07,1.3647751231671524e-07,48541.67052835538,2.8313958755193713
source,320,0.07182494014478477,2.6553168258093674e-07,2.6553168258093674e-07,114113.56023431511,2.8286354792712274
candidate_factor_1,80,0.0656755371178018,1.496482477211474e-05,1.496482477211474e-05,25183.17127923313,2.842956386828201
candidate_factor_1,160,0.06615198220426154,1.629998423302937e-07,1.629998423302937e-07,48560.16555155883,2.8389338902667087
candidate_factor_1,320,0.06630230959620663,3.0644365823844593e-07,3.0644365823844593e-07,114175.47659394325,2.836172815132181
candidate_factor_0.5,80,0.06813212981644581,3.721902593156793e-06,3.721902593156793e-06,25481.501982340167,2.839196717082797
candidate_factor_0.5,160,0.06876396515400168,1.640810666985458e-07,1.640810666985458e-07,48550.783626500976,2.8351759040216664
candidate_factor_0.5,320,0.06898583134106843,3.059235263353957e-07,3.059235263353957e-07,114144.61955734307,2.8324148707656067
candidate_factor_0.25,80,0.06941757682523891,9.266775823065854e-07,9.266775823065854e-07,25402.32609081775,2.83730948853423
candidate_factor_0.25,160,0.07013613283386239,1.5449606939080027e-07,1.5449606939080027e-07,48546.00954461501,2.8332877605127633
candidate_factor_0.25,320,0.07039790536346022,2.868532349674689e-07,2.868532349674689e-07,114129.30381663675,2.8305261949322786
candidate_factor_0.125,80,0.07007115966868052,2.3444695105058077e-07,2.3444695105058077e-07,25361.668103904492,2.836364394253229
candidate_factor_0.125,160,0.07083154281383101,1.450001371510798e-07,1.450001371510798e-07,48544.48192741983,2.8323413316373616
candidate_factor_0.125,320,0.0711110366361178,2.821999524295877e-07,2.821999524295877e-07,114121.35348252734,2.829581234536655
