frequency,source_x_m,target_x_m,newly_exposed_count,old_free_edge_band_count,target_count,max_state_replay_error,max_newly_exposed_phi,max_newly_exposed_eta
2,2.999997,2.9906220187500003,0,2,128,0.0,0.0,0.0
2,2.9906220187500003,2.9812470375,0,2,128,0.0,0.0,0.0
2,2.9812470375,2.97187205625,0,2,128,0.0,0.0,0.0
2,2.97187205625,2.9624970750000004,0,2,128,0.0,0.0,0.0
2,2.9624970750000004,2.9531220937500002,0,2,128,0.0,0.0,0.0
2,2.9531220937500002,2.9437471125,0,2,128,0.0,0.0,0.0
2,2.9437471125,2.9343721312500004,0,2,128,0.0,0.0,0.0
2,2.9343721312500004,2.9249971500000003,0,2,128,0.0,0.0,0.0
2,2.9249971500000003,2.91562216875,0,2,128,0.0,0.0,0.0
2,2.91562216875,2.9062471875000004,0,2,128,0.0,0.0,0.0
2,2.9062471875000004,2.8968722062500003,0,2,128,0.0,0.0,0.0
2,2.8968722062500003,2.887497225,0,2,128,0.0,0.0,0.0
2,2.887497225,2.87812224375,0,2,128,0.0,0.0,0.0
2,2.87812224375,2.8687472625000003,0,2,128,0.0,0.0,0.0
2,2.8687472625000003,2.85937228125,0,2,128,0.0,0.0,0.0
2,2.85937228125,2.8499973,0,2,128,0.0,0.0,0.0
2,2.8499973,2.8406223187500004,0,2,128,0.0,0.0,0.0
2,2.8406223187500004,2.8312473375000002,0,2,128,0.0,0.0,0.0
2,2.8312473375000002,2.82187235625,0,2,128,0.0,0.0,0.0
2,2.82187235625,2.8124973750000004,0,2,128,0.0,0.0,0.0
2,2.8124973750000004,2.8031223937500003,0,2,128,0.0,0.0,0.0
2,2.8031223937500003,2.7937474125,0,2,128,0.0,0.0,0.0
2,2.7937474125,2.7843724312500004,0,2,128,0.0,0.0,0.0
2,2.7843724312500004,2.7749974500000003,0,2,128,0.0,0.0,0.0
2,2.7749974500000003,2.76562246875,0,2,128,0.0,0.0,0.0
2,2.76562246875,2.7562474875,0,2,128,0.0,0.0,0.0
2,2.7562474875,2.7468725062500003,0,2,128,0.0,0.0,0.0
2,2.7468725062500003,2.737497525,0,2,128,0.0,0.0,0.0
2,2.737497525,2.72812254375,0,2,128,0.0,0.0,0.0
2,2.72812254375,2.7187475625000004,0,2,128,0.0,0.0,0.0
2,2.7187475625000004,2.7093725812500002,0,2,128,0.0,0.0,0.0
2,2.7093725812500002,2.6999976,0,2,128,0.0,0.0,0.0
2,2.6999976,2.6906226187500004,0,2,128,0.0,0.0,0.0
2,2.6906226187500004,2.6812476375000003,0,2,128,0.0,0.0,0.0
2,2.6812476375000003,2.67187265625,0,2,128,0.0,0.0,0.0
2,2.67187265625,2.662497675,0,2,128,0.0,0.0,0.0
2,2.662497675,2.6531226937500003,0,2,128,0.0,0.0,0.0
2,2.6531226937500003,2.6437477125,0,2,128,0.0,0.0,0.0
2,2.6437477125,2.63437273125,0,2,128,0.0,0.0,0.0
2,2.63437273125,2.6249977500000004,0,2,128,0.0,0.0,0.0
2,2.6249977500000004,2.61562276875,0,2,128,0.0,0.0,0.0
2,2.61562276875,2.6062477875,0,2,128,0.0,0.0,0.0
2,2.6062477875,2.5968728062500004,0,2,128,0.0,0.0,0.0
2,2.5968728062500004,2.5874978250000003,0,2,128,0.0,0.0,0.0
2,2.5874978250000003,2.57812284375,0,2,128,0.0,0.0,0.0
2,2.57812284375,2.5687478625000004,0,2,128,0.0,0.0,0.0
2,2.5687478625000004,2.5593728812500003,0,2,128,0.0,0.0,0.0
2,2.5593728812500003,2.5499979,0,2,128,0.0,0.0,0.0
2,2.5499979,2.54062291875,0,2,128,0.0,0.0,0.0
2,2.54062291875,2.5312479375000003,0,2,128,0.0,0.0,0.0
2,2.5312479375000003,2.52187295625,0,2,128,0.0,0.0,0.0
2,2.52187295625,2.512497975,0,2,128,0.0,0.0,0.0
2,2.512497975,2.5031229937500004,0,2,128,0.0,0.0,0.0
2,2.5031229937500004,2.4937480125,0,2,128,0.0,0.0,0.0
2,2.4937480125,2.48437303125,0,2,128,0.0,0.0,0.0
2,2.48437303125,2.4749980500000004,0,2,128,0.0,0.0,0.0
2,2.4749980500000004,2.4656230687500003,0,2,128,0.0,0.0,0.0
