root_xi_scale,status,kinematic_rms,kinematic_integral,kinematic_convergence_integral,dipole_coefficient,condition_number,root_thickness,interface_s_lambda,measured_s_lambda,root_relative_mismatch,jet_reached_tip,jet_point_count,condition_number_ratio,matching_surface_shift_panels,reason
1.0,PHYSICAL,0.060702713913490344,0.051597736254000215,0.052392476088135395,7.656878089995288,252979.48425304485,0.045424140206941264,4.126406464929465,4.126781536801139,9.089552249922892e-05,True,2753.0,1.000934301042604,5.625,
0.99,REJECTED_PHYSICAL,,,,,,,,,,,,,,"No shallow-water-compatible outer/jet matching surface remains. Last root error: The shallow-water root state has no physical first-step solution: f=0.0361453262234, S_lambda=4.24649626624, S_tau=-4.14049067442, delta_lambda=0.00151963062058."
0.98,REJECTED_PHYSICAL,,,,,,,,,,,,,,"No shallow-water-compatible outer/jet matching surface remains. Last root error: The shallow-water root state has no physical first-step solution: f=0.0262321191064, S_lambda=4.52467483017, S_tau=-4.09913104767, delta_lambda=0.00152359312888."
0.95,REJECTED_PHYSICAL,,,,,,,,,,,,,,The truncated spray-jet control surface projects below eta=0.
