cycle_id,start_iteration,end_iteration,state_count,minimum_iteration,minimum_pseudo_time,minimum_metric,final_metric
0,5,5,1,5,0.004252472961,0.0063268712561241,0.0063268712561241
1,6,8,3,8,0.0066248697886919,0.0053191205024899,0.0053191205024899
2,9,10,2,10,0.0080362529448258,0.0054037201710181,0.0054037201710181
3,11,13,3,13,0.0103984300199009,0.0052308164987546,0.0052308164987546
4,14,15,2,15,0.0118096662046095,0.0053738871969006,0.0053738871969006
5,16,19,4,19,0.0146450481076519,0.0052427272069073,0.0052427272069073
6,20,21,2,21,0.0160582758354622,0.0052889780503592,0.0052889780503592
7,22,24,3,23,0.0179455925494756,0.0052123243501717,0.0052157557646258
8,25,26,2,26,0.0198340623718563,0.0052111764329895,0.0052111764329895
9,27,29,3,28,0.021721394901276,0.0051409390810896,0.0051456817353883
10,30,31,2,31,0.0236098794979286,0.0051599955246923,0.0051599955246923
11,32,32,1,32,0.0245508477394088,0.0051101856363982,0.0051101856363982
