panel_count,arc_fraction_lower,arc_fraction_upper,residual_energy_fraction
640,0.0,0.1,0.1796336176261339
640,0.1,0.25,0.12945336447733444
640,0.25,0.5,0.27173827759413627
640,0.5,0.75,0.2581695591757644
640,0.75,0.9,0.07045251104395184
640,0.9,1.0,0.09055267008267907
1280,0.0,0.1,0.16056566914816384
1280,0.1,0.25,0.13306501073544733
1280,0.25,0.5,0.27595603399319774
1280,0.5,0.75,0.26411752670577376
1280,0.75,0.9,0.07109359473087241
1280,0.9,1.0,0.09520216468654506
