scope,metric,eligible_point_count,median_relative_error,nrmse,median_limit,nrmse_limit,status
faltinsen_ch9,heave_motion,7,0.5732837733668714,3.9187897039752184,0.15,0.2,FAIL
faltinsen_ch9,pitch_motion,7,0.6621381863629547,3.7458965895966156,0.15,0.2,FAIL
matched_delta_added_only,heave_motion,7,0.5038891269820512,1.0103673020796022,0.15,0.2,FAIL
matched_delta_added_only,pitch_motion,7,0.44903209490414836,0.7211339209100626,0.15,0.2,FAIL
matched_delta_damping_only,heave_motion,7,0.4866070227154101,0.6999516828598957,0.15,0.2,FAIL
matched_delta_damping_only,pitch_motion,7,0.6534775910140515,0.7210006358034784,0.15,0.2,FAIL
matched_delta_added_and_damping,heave_motion,7,0.30905529479485344,0.42570042359499793,0.15,0.2,FAIL
matched_delta_added_and_damping,pitch_motion,7,0.15545839341827128,0.22166120272425577,0.15,0.2,FAIL
matched_raw_added_only,heave_motion,7,0.7317833865136534,0.5722874292271205,0.15,0.2,FAIL
matched_raw_added_only,pitch_motion,7,0.6652153779191144,0.686378558672525,0.15,0.2,FAIL
matched_raw_damping_only,heave_motion,7,0.6262511173753453,0.6326208836215013,0.15,0.2,FAIL
matched_raw_damping_only,pitch_motion,7,0.8218864587258912,0.7942843175279026,0.15,0.2,FAIL
matched_raw_added_and_damping,heave_motion,7,0.5976112733852134,0.6504534865925177,0.15,0.2,FAIL
matched_raw_added_and_damping,pitch_motion,7,0.7565133760132547,0.7966272189733248,0.15,0.2,FAIL
