benchmark,requirement,expected,actual,requirement_status,gate1_current_status,evidence,source_file
ma2005_wigley_iii_coefficients,provider_route_preserved,all rows use matched_bie_station_sweep,matched_bie_station_sweep,PASS,PENDING,8 matched row(s) in ma2005_wigley_iii_coefficients_comparison.csv,ma2005_wigley_iii_coefficients_comparison.csv
ma2005_wigley_iii_coefficients,coefficient_output_complete,reference/computed/error/gate/status columns present and finite,present=True; numeric_ok=True; rows=8,PASS,PENDING,comparison table contains the hard-gate columns required by the objective,ma2005_wigley_iii_coefficients_comparison.csv
ma2005_wigley_iii_coefficients,eq30_component_split_complete,time/gradient/Stokes/end contributions present and finite,present=True; numeric_ok=True,PASS,PENDING,Eq.30/Eq.32 split columns are available for every matched row,ma2005_wigley_iii_coefficients_comparison.csv
ma2005_wigley_iii_coefficients,closure_residual_below_1e-9,<1e-9,1.546677495126755e-15,PASS,PENDING,reported coefficient equals the sum of pressure components to numerical precision,ma2005_wigley_iii_coefficients_comparison.csv
ma2005_wigley_iii_coefficients,finite_numeric_outputs,no NaN/Inf in selected hard-gate numeric columns,finite=True,PASS,PENDING,selected comparison numeric columns are finite,ma2005_wigley_iii_coefficients_comparison.csv
ma2005_wigley_iii_coefficients,current_default_gate,all coefficient rows PASS,"pass=1/8; failures=first_active_station_pressure_gradient_spike,heave_time_derivative_body_potential_scale",PENDING,PENDING,Gate 1 remains pending until every Wigley III coefficient passes,ma2005_wigley_iii_coefficients_gate1_failure_audit.csv
ma2005_wigley_iii_coefficients,diagnostic_candidate_exclusion,non-passing candidates remain diagnostic-only,best=gradient_flipped_keep_time_end; pass=0/8; max_gate=70.405; median_gate=29.0371; improved=3; worsened=3,PASS,PENDING,diagnostic_only_excluded_because_full_gate_not_passed,ma2005_wigley_iii_coefficients_eq30_pressure_balance_candidate_summary.csv
ma2005_wigley_iii_coefficients,global_scale_fit_exclusion,global scale fits do not replace equation-level correction,best=least_squares_time_only; components=time_derivative; pass=2/8; max_gate=6.66667; time_scale=0.0894919; gradient_scale=0; stokes_scale=0; end_scale=0,PASS,PENDING,global_scale_fit_excluded_because_full_gate_not_passed,ma2005_wigley_iii_coefficients_eq30_component_scale_fit_summary.csv
ma2005_wigley_iii_coefficients,full_four_component_scale_fit_exclusion,even time+gradient+Stokes+end least-squares scaling must not become a default correction unless it passes all rows and is equation-traced,full_four_component_fit=least_squares_time_gradient_stokes_end; pass=4/8; max_gate=9.04476; median_gate=0.881189; time_scale=0.0927999; gradient_scale=0.313511; stokes_scale=-0.0907734; end_scale=-1.30218,PASS,PENDING,explicitly checks the diagnostic fit containing all four Eq.30/Eq.32 contribution families,ma2005_wigley_iii_coefficients_eq30_component_scale_fit_summary.csv
ma2005_wigley_iii_coefficients,coefficient_family_scale_fit_exclusion,"shared A/B, row, column, diagonal/coupling, or matrix-cell scales must not replace equation-level correction unless the full Gate 1 passes",best=column_and_ab_family_scale; groups=4; pass=5/8; max_gate=5.98301; median_gate=0.283523; group_scale_spread=9.86681,PASS,PENDING,coefficient_family_scale_excluded_because_full_gate_not_passed,ma2005_wigley_iii_coefficients_coefficient_family_scale_exclusion_summary.csv
ma2005_wigley_iii_coefficients,eq31_eq32_forward_identity_exclusion,Eq.31 direct-gradient or Eq.32 Stokes route can replace the current hybrid only if it passes all rows and the forward identity closes,best_equation_route=eq31_direct_time_plus_gradient; pass=0/8; max_gate=148.955; median_gate=35.2765; identity_max_residual_over_tol=146.046; identity_pass=2/8,PASS,PENDING,eq31_eq32_forward_routes_excluded_because_full_gate_not_passed_or_identity_not_closed,ma2005_wigley_iii_coefficients_eq31_eq32_forward_identity_summary.csv
ma2005_wigley_iii_coefficients,failure_source_identified,every failing row has a classified source and blocker,"first_active_station_pressure_gradient_spike,heave_time_derivative_body_potential_scale",PASS,PENDING,failure classifications are written per coefficient,ma2005_wigley_iii_coefficients_gate1_failure_audit.csv
ma2005_wigley_iii_coefficients,sl7_c1_data_discipline,SL-7 and C1 trimaran not used as hard Gate 1 targets without real offsets,surrogate/not-evaluated until machine-readable offsets are supplied,PASS,PENDING,Gate 1 is scoped to Wigley III; SL-7/C1 remain data-limited,docs/next_phase_gate1_goal_acceptance_20260801.md
