component,sigma,in_phase_center_from_cg_m,in_phase_center_from_transom_m,in_phase_center_from_transom_over_beam,damping_center_from_cg_m,damping_center_from_transom_m,damping_center_from_transom_over_beam,restoring_subtraction,response_calibration_used
raw_bem,1.855694516,-0.092741075440777,0.6042589245592221,1.4251389730170334,-0.04612547917823695,0.6508745208217622,1.535081417032458,nonlinear_2dt_quasistatic_target_state,False
resolved_station_bem,1.855694516,-1.6874924318263993,-0.9904924318264001,-2.33606705619434,-0.024696108095548095,0.6723038919044511,1.5856223865671015,nonlinear_2dt_quasistatic_target_state,False
transom_extrapolation,1.855694516,-0.6559186085069608,0.041081391493038355,0.09689007427603386,-0.6541785407673031,0.04282145923269609,0.10099400762428323,nonlinear_2dt_quasistatic_target_state,False
pre_chine_bem,1.855694516,0.4195666167312854,1.1165666167312847,2.633411831913407,0.3323914568885424,1.0293914568885416,2.427810039831466,nonlinear_2dt_quasistatic_target_state,False
post_chine_bem,1.855694516,-0.2886225587482689,0.40837744125173026,0.9631543425748356,-0.20177961365869623,0.49522038634130294,1.1679726092955258,nonlinear_2dt_quasistatic_target_state,False
longitudinal_bin_aft_post_chine,1.855694516,-0.5563248091887254,0.14067519081127378,0.3317811104039476,-0.5467457877322066,0.15025421226779256,0.3543731421410202,nonlinear_2dt_quasistatic_target_state,False
longitudinal_bin_middle_post_chine,1.855694516,-0.2654467963896167,0.43155320361038246,1.0178141594584493,-0.2529769185451178,0.4440230814548814,1.047224248714343,nonlinear_2dt_quasistatic_target_state,False
longitudinal_bin_forward_post_chine,1.855694516,-0.004326755242886516,0.6926732447571127,1.6336633131063978,0.0348688473077461,0.7318688473077453,1.7261057719522295,nonlinear_2dt_quasistatic_target_state,False
longitudinal_bin_pre_chine,1.855694516,0.4722814413117658,1.169281441311765,2.757739248376804,0.3323914568885424,1.0293914568885416,2.427810039831466,nonlinear_2dt_quasistatic_target_state,False
bem,1.855694516,-0.092741075440777,0.6042589245592221,1.4251389730170334,-0.04612547917823695,0.6508745208217622,1.535081417032458,nonlinear_2dt_quasistatic_target_state,False
front,1.855694516,0.7362024628982294,1.4332024628982287,3.3801944879675205,0.6123327896091497,1.309332789609149,3.0880490320970493,nonlinear_2dt_quasistatic_target_state,False
transom,1.855694516,nan,nan,nan,nan,nan,nan,nonlinear_2dt_quasistatic_target_state,False
total,1.855694516,-0.2922085239044286,0.4047914760955706,0.9546968775838929,0.036139828925090975,0.7331398289250901,1.7291033701063447,nonlinear_2dt_quasistatic_target_state,False
