time_index,time_s,station_index_aft_to_forward,x_from_transom_m,force_density_n_m,creation_parameter_s,age_parameter_s,contact_half_beam_m,jet_cut_count
0,0.0,0,0.0,421.49535043901153,-0.22888690025876712,0.22888690025876712,0.21398245887105846,46
0,0.0,1,0.1316174014207363,389.2552497023857,-0.20599821023289042,0.20599821023289042,0.2139314359422252,46
0,0.0,2,0.2632348028414726,360.5839130521159,-0.1831095202070137,0.1831095202070137,0.21390285561998923,46
0,0.0,3,0.3948522042622089,336.4332404448611,-0.160220830181137,0.160220830181137,0.21390377034565936,46
0,0.0,4,0.526469605682945,318.1603488237223,-0.1373321401552603,0.1373321401552603,0.21395438607077275,46
0,0.0,5,0.6580870071036813,319.4175143162267,-0.11444345012938356,0.11444345012938356,0.2141036818260611,46
0,0.0,6,0.7897044085244176,329.3343731990022,-0.09155476010350685,0.09155476010350685,0.21452951633764006,46
0,0.0,7,0.9213218099451538,424.61509057567184,-0.06866607007763015,0.06866607007763015,0.2040032191202202,46
0,0.0,8,1.05293921136589,287.03328899821594,-0.04577738005175343,0.04577738005175343,0.14454446669857007,32
0,0.0,9,1.1845566127866265,172.18110746161756,-0.022888690025876714,0.022888690025876714,0.08791072517904285,16
0,0.0,10,1.3161740142073626,81.4961284972373,-0.0,0.0,0.048477625783762066,0
1,0.002861086253234589,0,0.1151652262431444,403.2041164475672,-0.20599821023289042,0.208859296486125,0.21535508411766272,46
1,0.002861086253234589,1,0.24678262766388048,373.687116822056,-0.1831095202070137,0.1859706064602483,0.21531100919992582,46
1,0.002861086253234589,2,0.3784000290846168,349.2818837415507,-0.160220830181137,0.1630819164343716,0.21529133399404995,46
1,0.002861086253234589,3,0.510017430505353,331.30073579152753,-0.1373321401552603,0.14019322640849488,0.2153092119196454,46
1,0.002861086253234589,4,0.6416348319260894,332.44402996684465,-0.11444345012938356,0.11730453638261815,0.21539764461518146,46
1,0.002861086253234589,5,0.7732522333468256,341.5388505508013,-0.09155476010350685,0.09441584635674144,0.21568502663443892,46
1,0.002861086253234589,6,0.9048696347675618,448.9878524638536,-0.06866607007763015,0.07152715633086473,0.21294046073142164,46
1,0.002861086253234589,7,1.036487036188298,310.04477384185395,-0.04577738005175343,0.04863846630498802,0.15287215634216544,34
1,0.002861086253234589,8,1.1681044376090344,187.76513954088375,-0.022888690025876714,0.025749776279111302,0.09451007680094616,18
1,0.002861086253234589,9,1.2997218390297705,101.29918289397602,-0.0,0.002861086253234589,0.05293076836901189,2
2,0.005722172506469178,0,0.09871305106555228,425.5435014100413,-0.20599821023289042,0.21172038273935959,0.21510226779111657,46
2,0.005722172506469178,1,0.23033045248628858,393.85432412605303,-0.1831095202070137,0.18883169271348288,0.21506273288535654,46
2,0.005722172506469178,2,0.3619478539070249,368.295689397221,-0.160220830181137,0.16594300268760617,0.21504755355629276,46
2,0.005722172506469178,3,0.49356525532776097,349.9203289813655,-0.1373321401552603,0.14305431266172947,0.21506793294337348,46
2,0.005722172506469178,4,0.6251826567484973,349.9070568042282,-0.11444345012938356,0.12016562263585275,0.21515199674230284,46
2,0.005722172506469178,5,0.7568000581692335,358.2126372658602,-0.09155476010350685,0.09727693260997604,0.2154029596584135,46
2,0.005722172506469178,6,0.8884174595899698,456.0179373832178,-0.06866607007763015,0.07438824258409933,0.21723601218396107,46
2,0.005722172506469178,7,1.0200348610107062,330.60973989095913,-0.04577738005175343,0.051499552558222604,0.16146702568456464,36
2,0.005722172506469178,8,1.1516522624314423,203.52530999109746,-0.022888690025876714,0.02861086253234589,0.10158804029327727,20
2,0.005722172506469178,9,1.2832696638521786,105.20068791289273,-0.0,0.005722172506469178,0.05716589273455278,4
3,0.008583258759703769,0,0.08226087588796038,445.85992851190895,-0.20599821023289042,0.21458146899259417,0.21497215746777795,46
3,0.008583258759703769,1,0.21387827730869646,411.8461657903639,-0.1831095202070137,0.1916927789667175,0.214933091567952,46
3,0.008583258759703769,2,0.34549567872943276,384.8462469537526,-0.160220830181137,0.16880408894084076,0.21491743864843643,46
3,0.008583258759703769,3,0.47711308015016873,365.40324340538933,-0.1373321401552603,0.14591539891496408,0.2149347906690439,46
3,0.008583258759703769,4,0.6087304815709053,362.12777718765244,-0.11444345012938356,0.12302670888908733,0.21501057241277033,46
3,0.008583258759703769,5,0.7403478829916414,373.2593763057606,-0.09155476010350685,0.10013801886321062,0.21523090544509055,46
3,0.008583258759703769,6,0.8719652844123778,389.1929499108221,-0.06866607007763015,0.07724932883733392,0.21639710576870347,46
3,0.008583258759703769,7,1.003582685833114,348.8076069186925,-0.04577738005175343,0.054360638811457196,0.17039256084460816,38
3,0.008583258759703769,8,1.1352000872538501,219.64599370090392,-0.022888690025876714,0.03147194878558048,0.10911611966557572,22
3,0.008583258759703769,9,1.2668174886745864,109.73320035015945,-0.0,0.008583258759703769,0.06196460220063967,6
4,0.011444345012938357,0,0.06580870071036804,461.67231724046275,-0.20599821023289042,0.21744255524582878,0.2148797211295884,46
4,0.011444345012938357,1,0.19742610213110434,425.6029684988375,-0.1831095202070137,0.19455386521995208,0.21484062624919278,46
4,0.011444345012938357,2,0.32904350355184064,397.06090147804366,-0.160220830181137,0.17166517519407537,0.21482413696250302,46
4,0.011444345012938357,3,0.46066090497257683,376.30139344206583,-0.1373321401552603,0.14877648516819866,0.21483844397412483,46
4,0.011444345012938357,4,0.5922783063933131,369.5504117200645,-0.11444345012938356,0.12588779514232193,0.2149067101577379,46
4,0.011444345012938357,5,0.7238957078140494,382.8461512872862,-0.09155476010350685,0.10299910511644521,0.21510253237607146,46
4,0.011444345012938357,6,0.8555131092347857,355.8644345737654,-0.06866607007763015,0.0801104150905685,0.21594415409542117,46
4,0.011444345012938357,7,0.9871305106555219,366.3725532784645,-0.04577738005175343,0.05722172506469178,0.179638486972718,40
4,0.011444345012938357,8,1.1187479120762582,236.77944304669168,-0.022888690025876714,0.034333035038815074,0.11708240186641629,24
4,0.011444345012938357,9,1.2503653134969945,117.11218661865026,-0.0,0.011444345012938357,0.06727893730147042,8
5,0.014305431266172945,0,0.04935652553277614,474.2338408083478,-0.20599821023289042,0.22030364149906337,0.21480974602863642,46
5,0.014305431266172945,1,0.18097392695351244,436.29335102116835,-0.1831095202070137,0.19741495147318666,0.2147704408560562,46
5,0.014305431266172945,2,0.3125913283742485,406.16812229383,-0.160220830181137,0.17452626144730995,0.21475281730076856,46
5,0.014305431266172945,3,0.4442087297949848,383.89084112911223,-0.1373321401552603,0.15163757142143325,0.21476422189148273,46
5,0.014305431266172945,4,0.5758261312157211,373.76384404807857,-0.11444345012938356,0.1287488813955565,0.21482579453349257,46
5,0.014305431266172945,5,0.7074435326364573,387.1086086796035,-0.09155476010350685,0.1058601913696798,0.21500042345366863,46
5,0.014305431266172945,6,0.8390609340571936,348.2016747359168,-0.06866607007763015,0.0829715013438031,0.21566963087969598,46
5,0.014305431266172945,7,0.9706783354779299,383.91428818704395,-0.04577738005175343,0.06008281131792637,0.18917054102623787,42
5,0.014305431266172945,8,1.1022957368986663,254.73861919309695,-0.022888690025876714,0.03719412129204966,0.12545249303800105,26
5,0.014305431266172945,9,1.2339131383194024,127.25729264392143,-0.0,0.014305431266172945,0.07306888220026217,10
6,0.017166517519407537,0,0.03290435035518402,483.8769187634136,-0.20599821023289042,0.22316472775229795,0.21475537847361514,46
6,0.017166517519407537,1,0.16452175177592032,444.31660243692727,-0.1831095202070137,0.20027603772642125,0.21471572839473985,46
6,0.017166517519407537,2,0.2961391531966566,412.68772333167226,-0.160220830181137,0.17738734770054454,0.21469662915497395,46
6,0.017166517519407537,3,0.4277565546173929,388.8667157884933,-0.1373321401552603,0.15449865767466783,0.21470511214151577,46
6,0.017166517519407537,4,0.5593739560381291,375.65876394076656,-0.11444345012938356,0.1316099676487911,0.21476049388694343,46
6,0.017166517519407537,5,0.6909913574588653,386.75915861061293,-0.09155476010350685,0.10872127762291439,0.2149161603253841,46
6,0.017166517519407537,6,0.8226087588796016,357.25856840081826,-0.06866607007763015,0.08583258759703769,0.215470336769604,46
6,0.017166517519407537,7,0.9542261603003379,401.4336131436443,-0.04577738005175343,0.06294389757116096,0.1989505308796547,44
6,0.017166517519407537,8,1.0858435617210742,273.11578067805254,-0.022888690025876714,0.04005520754528425,0.13418760459804316,28
6,0.017166517519407537,9,1.2174609631418103,139.94099006966664,-0.0,0.017166517519407537,0.07933398981638942,12
7,0.020027603772642125,0,0.01645217517759212,491.1034894249781,-0.20599821023289042,0.22602581400553254,0.21471211129388063,46
7,0.020027603772642125,1,0.14806957659832842,450.18785534190124,-0.1831095202070137,0.20313712397965583,0.2146720480440797,46
7,0.020027603772642125,2,0.2796869780190645,417.2051868627432,-0.160220830181137,0.18024843395377912,0.21465120887021574,46
7,0.020027603772642125,3,0.4113043794398008,391.94104563717906,-0.1373321401552603,0.15735974392790242,0.21465671585814677,46
7,0.020027603772642125,4,0.5429217808605371,376.060054524012,-0.11444345012938356,0.13447105390202568,0.2147062107027271,46
7,0.020027603772642125,5,0.6745391822812733,382.93672344529347,-0.09155476010350685,0.11158236387614898,0.2148451465785361,46
7,0.020027603772642125,6,0.8061565837020096,370.2596402509404,-0.06866607007763015,0.08869367385027227,0.21531712123888067,46
7,0.020027603772642125,7,0.9377739851227459,418.77112152233417,-0.04577738005175343,0.06580498382439555,0.2089425798812278,46
7,0.020027603772642125,8,1.069391386543482,291.5892973078602,-0.022888690025876714,0.04291629379851884,0.14325261615144616,30
7,0.020027603772642125,9,1.2010087879642184,154.83916136365067,-0.0,0.020027603772642125,0.08608399063869691,14
8,0.022888690025876714,0,0.0,496.3908886253831,-0.20599821023289042,0.22888690025876712,0.21467705266096693,46
8,0.022888690025876714,1,0.1316174014207363,454.37503754737264,-0.1831095202070137,0.20599821023289042,0.2146365119500272,46
8,0.022888690025876714,2,0.2632348028414726,420.22867889921736,-0.160220830181137,0.1831095202070137,0.2146137679515951,46
8,0.022888690025876714,3,0.3948522042622089,393.7056068589116,-0.1373321401552603,0.160220830181137,0.21461627276019968,46
8,0.022888690025876714,4,0.5264696056829451,375.64217529517776,-0.11444345012938356,0.13733214015526027,0.2146600686657479,46
8,0.022888690025876714,5,0.6580870071036813,377.0135161978022,-0.09155476010350685,0.11444345012938356,0.21478444723154852,46
8,0.022888690025876714,6,0.7897044085244176,380.700919143622,-0.06866607007763015,0.09155476010350685,0.21519364076100828,46
8,0.022888690025876714,7,0.9213218099451538,437.6259595911432,-0.04577738005175343,0.06866607007763015,0.2127895123072101,46
8,0.022888690025876714,8,1.05293921136589,309.9430585367654,-0.022888690025876714,0.04577738005175343,0.15261572719144784,32
8,0.022888690025876714,9,1.1845566127866265,171.55396936995356,-0.0,0.022888690025876714,0.09332160602591415,16
8,0.022888690025876714,10,1.3161740142073626,108.06448430212443,0.022888690025876714,0.0,0.06468925031975492,0
9,0.025749776279111302,0,0.1151652262431444,457.2801686263227,-0.1831095202070137,0.208859296486125,0.2146071381116271,46
9,0.025749776279111302,1,0.24678262766388048,422.1701065409871,-0.160220830181137,0.1859706064602483,0.21458242348566753,46
9,0.025749776279111302,2,0.3784000290846168,394.58511708010957,-0.1373321401552603,0.1630819164343716,0.21458195965350796,46
9,0.025749776279111302,3,0.5100174305053531,374.8186670486196,-0.11444345012938356,0.14019322640849485,0.21462023895475688,46
9,0.025749776279111302,4,0.6416348319260893,370.59633562202765,-0.09155476010350685,0.11730453638261816,0.21473177247287129,46
9,0.025749776279111302,5,0.7732522333468255,386.05010827441754,-0.06866607007763015,0.09441584635674145,0.21508890179265336,46
9,0.025749776279111302,6,0.9048696347675618,444.68336328863694,-0.04577738005175343,0.07152715633086473,0.21735353347700626,46
9,0.025749776279111302,7,1.036487036188298,328.02452883479157,-0.022888690025876714,0.04863846630498801,0.1622462932225183,34
9,0.025749776279111302,8,1.1681044376090344,189.69778796648995,-0.0,0.025749776279111302,0.10103664193325997,18
9,0.025749776279111302,9,1.2997218390297705,131.64297442157638,0.022888690025876714,0.0028610862532345883,0.0702369626434637,2
10,0.02861086253234589,0,0.09871305106555206,459.23005984611046,-0.1831095202070137,0.2117203827393596,0.2145825326887362,46
10,0.02861086253234589,1,0.23033045248628858,423.3431706032116,-0.160220830181137,0.18883169271348288,0.21455585388574283,46
10,0.02861086253234589,2,0.36194785390702466,394.8553727307893,-0.1373321401552603,0.1659430026876062,0.21455248117193748,46
10,0.02861086253234589,3,0.49356525532776097,373.75449807125665,-0.11444345012938356,0.14305431266172947,0.21458545554254305,46
