title,station_index,frequency_index,omega_rad_s,quantity,orientation,row_mode,col_mode,heading_index,wave_heading_rad,wave_heading_deg,force_real,force_imag,complex_added_mass_real_per_m,complex_added_mass_imag_per_m,added_mass_per_m,damping_over_omega_per_m,damping_per_m,pdstrip_convention_damping_per_m,radiation_storage_convention,complex_added_mass_convention,status
Simple full V smoke case,1,1,0.571741462,radiation,as_written_section_force_rows,sway,sway,,,,13.406745,-0.0009998839814,41.01322998052406,-0.003058794038597753,41.01322998052406,-0.003058794038597753,-0.0017488393755847637,0.0017488393755847637,radiation_force_matrix = omega**2 * complex_added_mass_matrix,complex_added_mass = added_mass - 1j * damping / omega_e,external_pdstrip_reference_smoke_not_a_validation_gate
Simple full V smoke case,1,1,0.571741462,radiation,as_written_section_force_rows,sway,heave,,,,1.023351714e-07,8.186813716e-07,3.130585328298963e-07,2.5044682638628298e-06,3.130585328298963e-07,2.5044682638628298e-06,1.431908346713536e-06,-1.431908346713536e-06,radiation_force_matrix = omega**2 * complex_added_mass_matrix,complex_added_mass = added_mass - 1j * damping / omega_e,external_pdstrip_reference_smoke_not_a_validation_gate
Simple full V smoke case,1,1,0.571741462,radiation,as_written_section_force_rows,sway,roll,,,,-0.893783092,6.666350237e-05,-2.734215613476641,0.00020393358373028058,-2.734215613476641,0.00020393358373028058,0.00011659728531285003,-0.00011659728531285003,radiation_force_matrix = omega**2 * complex_added_mass_matrix,complex_added_mass = added_mass - 1j * damping / omega_e,external_pdstrip_reference_smoke_not_a_validation_gate
Simple full V smoke case,1,1,0.571741462,radiation,as_written_section_force_rows,heave,sway,,,,-1.327266e-05,-1.420460194e-05,-4.060304399265462e-05,-4.345399320618227e-05,-4.060304399265462e-05,-4.345399320618227e-05,-2.4844449605440715e-05,2.4844449605440715e-05,radiation_force_matrix = omega**2 * complex_added_mass_matrix,complex_added_mass = added_mass - 1j * damping / omega_e,external_pdstrip_reference_smoke_not_a_validation_gate
Simple full V smoke case,1,1,0.571741462,radiation,as_written_section_force_rows,heave,heave,,,,5.68828392,-3.29600883,17.401307819718873,-10.082981973821983,17.401307819718873,-10.082981973821983,-5.764858855032626,5.764858855032626,radiation_force_matrix = omega**2 * complex_added_mass_matrix,complex_added_mass = added_mass - 1j * damping / omega_e,external_pdstrip_reference_smoke_not_a_validation_gate
Simple full V smoke case,1,1,0.571741462,radiation,as_written_section_force_rows,heave,roll,,,,-3.7363003e-07,1.014990403e-06,-1.1429899164950257e-06,3.105006832476026e-06,-1.1429899164950257e-06,3.105006832476026e-06,1.775261145919832e-06,-1.775261145919832e-06,radiation_force_matrix = omega**2 * complex_added_mass_matrix,complex_added_mass = added_mass - 1j * damping / omega_e,external_pdstrip_reference_smoke_not_a_validation_gate
Simple full V smoke case,1,1,0.571741462,radiation,as_written_section_force_rows,roll,sway,,,,-0.893782794,6.665878027e-05,-2.7342147018502523,0.0002039191381229918,-2.7342147018502523,0.0002039191381229918,0.00011658902616021926,-0.00011658902616021926,radiation_force_matrix = omega**2 * complex_added_mass_matrix,complex_added_mass = added_mass - 1j * damping / omega_e,external_pdstrip_reference_smoke_not_a_validation_gate
Simple full V smoke case,1,1,0.571741462,radiation,as_written_section_force_rows,roll,heave,,,,3.411172855e-08,6.395948304e-08,1.0435285880758964e-07,1.9566158581780647e-07,1.0435285880758964e-07,1.9566158581780647e-07,1.1186784113271114e-07,-1.1186784113271114e-07,radiation_force_matrix = omega**2 * complex_added_mass_matrix,complex_added_mass = added_mass - 1j * damping / omega_e,external_pdstrip_reference_smoke_not_a_validation_gate
Simple full V smoke case,1,1,0.571741462,radiation,as_written_section_force_rows,roll,roll,,,,0.05958554894,-4.44421039e-06,0.1822810698787805,-1.3595501578265607e-05,0.1822810698787805,-1.3595501578265607e-05,-7.773111948980884e-06,7.773111948980884e-06,radiation_force_matrix = omega**2 * complex_added_mass_matrix,complex_added_mass = added_mass - 1j * damping / omega_e,external_pdstrip_reference_smoke_not_a_validation_gate
Simple full V smoke case,1,1,0.571741462,radiation,pdstrip_internal_transposed,sway,sway,,,,13.406745,-0.0009998839814,41.01322998052406,-0.003058794038597753,41.01322998052406,-0.003058794038597753,-0.0017488393755847637,0.0017488393755847637,radiation_force_matrix = omega**2 * complex_added_mass_matrix,complex_added_mass = added_mass - 1j * damping / omega_e,external_pdstrip_reference_smoke_not_a_validation_gate
