case,station,x,side,kernel,midpoint,exact,relative_error
boundary_fn167,0,1.7902623815836317e-05,left,potential,-0.11782497020199525,-0.12187486975636366,0.03322998057322595
boundary_fn167,0,1.7902623815836317e-05,left,normal,0.09334220148079643,0.25933665179929943,0.6400732374958171
boundary_fn167,0,1.7902623815836317e-05,right,potential,-0.117824970201996,-0.1218748697563646,0.03322998057322729
boundary_fn167,0,1.7902623815836317e-05,right,normal,0.09334220148079093,0.2593366517993001,0.6400732374958392
boundary_fn167,1,0.021330123770672976,left,potential,-0.11782497020199525,-0.12187486975636366,0.03322998057322595
boundary_fn167,1,0.021330123770672976,left,normal,0.09334220148079643,0.25933665179929943,0.6400732374958171
boundary_fn167,1,0.021330123770672976,right,potential,-0.117824970201996,-0.1218748697563646,0.03322998057322729
boundary_fn167,1,0.021330123770672976,right,normal,0.09334220148079093,0.2593366517993001,0.6400732374958392
boundary_fn167,2,0.04264234491753012,left,potential,-0.11782497020199525,-0.12187486975636366,0.03322998057322595
boundary_fn167,2,0.04264234491753012,left,normal,0.09334220148079643,0.25933665179929943,0.6400732374958171
boundary_fn167,2,0.04264234491753012,right,potential,-0.117824970201996,-0.1218748697563646,0.03322998057322729
boundary_fn167,2,0.04264234491753012,right,normal,0.09334220148079093,0.2593366517993001,0.6400732374958392
boundary_fn167,3,0.06395456606438725,left,potential,-0.11782497020199525,-0.12187486975636366,0.03322998057322595
boundary_fn167,3,0.06395456606438725,left,normal,0.09334220148079643,0.25933665179929943,0.6400732374958171
boundary_fn167,3,0.06395456606438725,right,potential,-0.117824970201996,-0.1218748697563646,0.03322998057322729
boundary_fn167,3,0.06395456606438725,right,normal,0.09334220148079093,0.2593366517993001,0.6400732374958392
boundary_fn167,4,0.0852667872112444,left,potential,-0.11782497020199525,-0.12187486975636366,0.03322998057322595
boundary_fn167,4,0.0852667872112444,left,normal,0.09334220148079643,0.25933665179929943,0.6400732374958171
