case,station,side,kernel,absolute_error,passed
boundary_fn167,0,left,potential,2.7755575615628914e-17,True
boundary_fn167,0,left,normal,5.551115123125783e-17,True
boundary_fn167,0,right,potential,0.0,True
boundary_fn167,0,right,normal,5.551115123125783e-17,True
boundary_fn167,42,left,potential,2.7755575615628914e-17,True
boundary_fn167,42,left,normal,5.551115123125783e-17,True
boundary_fn167,42,right,potential,0.0,True
boundary_fn167,42,right,normal,5.551115123125783e-17,True
boundary_fn167,84,left,potential,0.0,True
boundary_fn167,84,left,normal,4.0561998204680094e-13,True
boundary_fn167,84,right,potential,2.7755575615628914e-17,True
boundary_fn167,84,right,normal,4.055644708955697e-13,True
boundary_fn226,0,left,potential,2.7755575615628914e-17,True
boundary_fn226,0,left,normal,5.551115123125783e-17,True
boundary_fn226,0,right,potential,0.0,True
boundary_fn226,0,right,normal,5.551115123125783e-17,True
boundary_fn226,42,left,potential,2.7755575615628914e-17,True
boundary_fn226,42,left,normal,5.551115123125783e-17,True
boundary_fn226,42,right,potential,0.0,True
boundary_fn226,42,right,normal,5.551115123125783e-17,True
boundary_fn226,84,left,potential,2.7755575615628914e-17,True
boundary_fn226,84,left,normal,9.320322291728189e-14,True
boundary_fn226,84,right,potential,0.0,True
boundary_fn226,84,right,normal,5.080380560684716e-13,True
boundary_fn282,0,left,potential,2.7755575615628914e-17,True
boundary_fn282,0,left,normal,5.551115123125783e-17,True
boundary_fn282,0,right,potential,0.0,True
boundary_fn282,0,right,normal,5.551115123125783e-17,True
boundary_fn282,42,left,potential,2.7755575615628914e-17,True
boundary_fn282,42,left,normal,5.551115123125783e-17,True
boundary_fn282,42,right,potential,0.0,True
boundary_fn282,42,right,normal,5.551115123125783e-17,True
boundary_fn282,84,left,potential,0.0,True
boundary_fn282,84,left,normal,6.404876629062528e-13,True
boundary_fn282,84,right,potential,2.7755575615628914e-17,True
boundary_fn282,84,right,normal,6.404876629062528e-13,True
