component,sigma,omega_rad_s,coefficient,value_dimensional,value_nondimensional,restoring_subtraction,response_calibration_used
bem,1.4,7.774541989381373,A33,-23.267532915639638,-0.7235507149836976,zero_diagnostic_only,False
bem,1.4,7.774541989381373,A35,0.9278632124345517,0.09073513221247922,zero_diagnostic_only,False
bem,1.4,7.774541989381373,A53,2.4754721515891265,0.2420747907155476,zero_diagnostic_only,False
bem,1.4,7.774541989381373,A55,-0.37857186016953637,-0.11641601503242478,zero_diagnostic_only,False
bem,1.4,7.774541989381373,B33,-40.78116924639185,-0.22836604767151594,zero_diagnostic_only,False
bem,1.4,7.774541989381373,B35,-117.9348780087084,-2.0767633189442343,zero_diagnostic_only,False
bem,1.4,7.774541989381373,B53,14.181797600618243,0.2497330522653404,zero_diagnostic_only,False
bem,1.4,7.774541989381373,B55,16.273377918093004,0.9011463593763882,zero_diagnostic_only,False
front,1.4,7.774541989381373,A33,-16.047928718278598,-0.4990426075775764,zero_diagnostic_only,False
front,1.4,7.774541989381373,A35,-1.5763568258625429,-0.15415089540342222,zero_diagnostic_only,False
front,1.4,7.774541989381373,A53,-6.0237941704640106,-0.5890628630956384,zero_diagnostic_only,False
front,1.4,7.774541989381373,A55,-0.8502939082837605,-0.26147698448693896,zero_diagnostic_only,False
front,1.4,7.774541989381373,B33,64.59359968115739,0.36171069482925905,zero_diagnostic_only,False
front,1.4,7.774541989381373,B35,13.608554416503125,0.23963857947064124,zero_diagnostic_only,False
front,1.4,7.774541989381373,B53,21.51751117104761,0.3789106214338456,zero_diagnostic_only,False
front,1.4,7.774541989381373,B55,4.660999636876263,0.25810516261383043,zero_diagnostic_only,False
total,1.4,7.774541989381373,A33,-39.31546163391824,-1.2225933225612742,zero_diagnostic_only,False
total,1.4,7.774541989381373,A35,-0.6484936134279987,-0.06341576319094373,zero_diagnostic_only,False
total,1.4,7.774541989381373,A53,-3.548322018874882,-0.3469880723800906,zero_diagnostic_only,False
total,1.4,7.774541989381373,A55,-1.2288657684532982,-0.3778929995193641,zero_diagnostic_only,False
total,1.4,7.774541989381373,B33,23.812430434765478,0.13334464715774275,zero_diagnostic_only,False
total,1.4,7.774541989381373,B35,-104.32632359220534,-1.8371247394735941,zero_diagnostic_only,False
total,1.4,7.774541989381373,B53,35.69930877166584,0.6286436736991858,zero_diagnostic_only,False
total,1.4,7.774541989381373,B55,20.934377554969252,1.1592515219902177,zero_diagnostic_only,False
