radius,frequency,discretization,x_m,heave_density_real,heave_density_imag,heave_density_abs
3.0,2,fine,1.612499775,-359.33852886675714,299.73935278257625,467.9400153167529
3.0,2,fine,1.6499997000000002,-363.10977302083666,289.70404085532493,464.5181789242992
3.0,2,fine,1.687499625,-365.0663292246945,279.25998588815344,459.62981240542337
3.0,2,fine,1.7249995500000002,-365.24011922897677,268.47600205980393,453.298696640982
3.0,2,fine,1.762499475,-363.683398792896,257.4500772160277,445.58518469097606
3.0,2,fine,1.7999994000000001,-360.4540012225528,246.26101029752263,436.5450402766072
3.0,2,fine,1.8374993250000002,-355.6275777448106,234.97413380944505,426.243847594473
3.0,2,fine,1.8749992500000001,-349.3076337310166,223.7216566636731,414.8098391348745
3.0,2,fine,1.9124991750000002,-341.6162881574477,212.62762535046267,402.38314502057494
3.0,2,fine,1.9499991,-332.67078239337013,201.77391034909772,389.0791183754054
3.0,2,fine,1.9874990250000002,-322.6196810139014,191.28889930464481,375.066529531354
3.0,2,fine,2.02499895,-311.61306986849695,181.25034689251243,360.49187724763624
3.0,2,fine,2.062498875,-299.8164452503808,171.73527511929893,345.5183143668015
3.0,2,fine,2.0999988000000003,-287.4117546484576,162.79903727433575,330.3165803400667
3.0,2,fine,2.1374987250000004,-274.5723855552491,154.44634140830868,315.0296292159076
3.0,2,fine,2.17499865,-261.4876881595013,146.6625675025921,299.80947244117056
3.0,2,fine,2.212498575,-248.32534666872778,139.3615011152849,284.7579775726211
3.0,2,fine,2.2499985000000002,-235.24343052073505,132.4200452990057,269.95284773484906
3.0,2,fine,2.2874984250000003,-222.37870535046375,125.67311627463695,255.43300637843728
3.0,2,fine,2.32499835,-209.81941629812366,118.91276110917869,241.1730337543854
3.0,2,fine,2.362498275,-197.58464952388283,111.89828003727052,227.07029484891905
3.0,2,fine,2.3999982,-185.63936218825978,104.41938737553963,212.99150512061956
3.0,2,fine,2.4374981250000003,-173.8813007917525,96.31013988659157,198.77210521098462
3.0,2,fine,2.4749980500000004,-162.13829439966185,87.48420129790419,184.23439414931087
3.0,2,fine,2.512497975,-150.22681604609426,77.98505808104403,169.26241621591856
3.0,2,fine,2.5499979,-137.96731712096994,67.98445740940588,153.80789005382528
3.0,2,fine,2.5874978250000003,-125.24245736938337,57.78150602226033,137.92887865172514
3.0,2,fine,2.6249977500000004,-112.0308341725804,47.75746538942576,121.78539857399329
3.0,2,fine,2.662497675,-98.42403041250685,38.3169879834439,105.61951207407398
3.0,2,fine,2.6999976,-84.62569209317739,29.825622950612317,89.72778581153867
3.0,2,fine,2.737497525,-70.91813929608156,22.545592628707517,74.41563161190032
3.0,2,fine,2.7749974500000003,-57.638625413422204,16.62359253175248,59.98795685977758
3.0,2,fine,2.8124973750000004,-45.134669928144376,12.06659400080716,46.71981507136833
3.0,2,fine,2.8499973,-33.693980204964625,8.717301729927286,34.8033856327677
3.0,2,fine,2.887497225,-23.511598931479043,6.285468614399241,24.337263609890993
3.0,2,fine,2.9249971500000003,-14.64901050885389,4.368060799103832,15.286381652738468
3.0,2,fine,2.9624970750000004,-6.774224582830159,2.354341314074958,7.171683325536665
3.0,2,fine,2.999997,-0.00049432591671971,0.0002117766824732031,0.000537780136468555
3.0,2,boundary_dense,3e-06,-1.7325255064590046e+16,3789380502065870.0,1.7734820767138868e+16
3.0,2,boundary_dense,0.037502925000000006,2.639432180991435e+20,-2.390688497030366e+19,2.6502369993929857e+20
3.0,2,boundary_dense,0.07500285000000001,2.876823212776169e+20,9.978054569305334e+18,2.8785531009287638e+20
3.0,2,boundary_dense,0.11250277500000001,-1.1610903347799526e+21,-1.869831615686602e+20,1.1760499429146851e+21
3.0,2,boundary_dense,0.15000270000000002,-1.209965922031065e+21,-3.540567956231979e+20,1.2607036713690703e+21
3.0,2,boundary_dense,0.187502625,7.577964386793785e+20,3.290643957083801e+20,8.26159076085272e+20
3.0,2,boundary_dense,0.22500255000000002,1.4194308108598027e+21,8.40596287476738e+20,1.6496623731351188e+21
3.0,2,boundary_dense,0.262502475,4.792966053954568e+18,3.717309968032931e+18,6.065551664341655e+18
3.0,2,boundary_dense,0.3000024,-8.079448192914678e+20,-8.067671258534345e+20,1.1417740697606222e+21
3.0,2,boundary_dense,0.337502325,-2.8718989239458316e+20,-3.69179879866192e+20,4.6773049717933526e+20
3.0,2,boundary_dense,0.37500225,1.4294354154361912e+20,2.4057344476727666e+20,2.79836449370389e+20
3.0,2,boundary_dense,0.412502175,1.1636733463470981e+20,2.669141147596345e+20,2.9117778285423126e+20
3.0,2,boundary_dense,0.4500021,2.6526457957923193e+19,9.016375798775166e+19,9.398487232670648e+19
3.0,2,boundary_dense,0.487502025,-1.9850174440551318e+19,-1.2212559134189781e+20,1.2372828894771213e+20
3.0,2,boundary_dense,0.52500195,-7.630993633497528e+17,-2.1115654444868792e+19,2.112943878273751e+19
3.0,2,boundary_dense,0.562501875,2.7097986790160425e+18,-3.041196730339767e+19,3.053245427645354e+19
3.0,2,boundary_dense,0.6000018,-2.5476615353538324e+18,1.1730047811511466e+19,1.200352452236702e+19
3.0,2,boundary_dense,0.637501725,-5.722170674264039e+18,1.6234766787712797e+19,1.721368321646561e+19
3.0,2,boundary_dense,0.67500165,6.70815634904699e+18,-1.3408987045767313e+19,1.4993341695459858e+19
3.0,2,boundary_dense,0.712501575,-1.228217115831067e+19,1.8388821142894952e+19,2.211335504593138e+19
3.0,2,boundary_dense,0.7500015,1.4450473944200546e+19,-1.66811895358559e+19,2.206985005710658e+19
3.0,2,boundary_dense,0.7875014250000001,-1.4229142501486715e+19,1.278346364600871e+19,1.9128132138722845e+19
3.0,2,boundary_dense,0.8250013500000001,1.4198277862585487e+19,-9.858715666584842e+18,1.7285409131916737e+19
3.0,2,boundary_dense,0.8625012750000001,-1.25970275849505e+19,6.589097620930908e+18,1.4216234080591145e+19
3.0,2,boundary_dense,0.9000012000000001,1.1064869657328112e+19,-4.126126196464416e+18,1.1809159916048652e+19
3.0,2,boundary_dense,0.937501125,-8.808391484779455e+18,2.0803803501496978e+18,9.050731625146345e+18
3.0,2,boundary_dense,0.97500105,7.261656842783668e+18,-7.794744880916282e+17,7.303371863730654e+18
3.0,2,boundary_dense,1.012500975,-5.89436473281242e+18,-1.0651173834456176e+17,5.895326992951962e+18
3.0,2,boundary_dense,1.0500009000000001,3.5741825715228856e+18,5.148689479379624e+17,3.6110761675889213e+18
3.0,2,boundary_dense,1.087500825,-1.6764178503619766e+18,-4.6047674777104774e+17,1.7385096043019354e+18
3.0,2,boundary_dense,1.12500075,6.14680827391937e+17,2.5487392324958125e+17,6.654271081913253e+17
3.0,2,boundary_dense,1.162500675,-1.7868369519273165e+17,-1.0184873841920669e+17,2.0567213823294838e+17
3.0,2,boundary_dense,1.2000006,4.201431282722846e+16,3.148179593468237e+16,5.250053292698273e+16
3.0,2,boundary_dense,1.2375005250000002,-8143721612716545.0,-7865993440852111.0,1.1322281330056898e+16
3.0,2,boundary_dense,1.27500045,1319844743637175.0,1639641388469385.0,2104854871502663.2
3.0,2,boundary_dense,1.3125003750000002,-180139126905607.44,-291988017465190.1,343084694187261.5
3.0,2,boundary_dense,1.3500003,20631218507994.145,45244419271726.3,49726297392429.67
3.0,2,boundary_dense,1.3875002250000001,-1934166675070.937,-6188712232610.543,6483915470224.634
3.0,2,boundary_dense,1.42500015,136055397682.23146,755929786919.2268,768076112107.5292
3.0,2,boundary_dense,1.4625000750000001,-4451371220.9323635,-83278185562.01831,83397067671.7623
3.0,2,boundary_dense,1.5,-591634885.3515776,8324970014.126184,8345966545.204042
3.0,2,boundary_dense,1.537499925,154623224.322151,-784362462.048443,799457824.635217
3.0,2,boundary_dense,1.5749998500000002,-24514276.74797182,74708225.91329473,78627404.7873134
3.0,2,boundary_dense,1.612499775,3500238.129167049,-7491604.817807522,8268966.665011519
3.0,2,boundary_dense,1.6499997000000002,-485390.4346873358,787459.3482942819,925038.4312567862
3.0,2,boundary_dense,1.687499625,67418.9508111457,-87465.75796467048,110433.5716383836
3.0,2,boundary_dense,1.7249995500000002,-8971.011214862187,9890.296677880735,13352.790367323296
3.0,2,boundary_dense,1.762499475,1091.0195856950804,-1181.797166965609,1608.4055086383546
3.0,2,boundary_dense,1.7999994000000001,-1052.9027543425464,757.5110272893735,1297.0841015782755
3.0,2,boundary_dense,1.8374993250000002,-1472.884229690309,613.4961321359946,1595.5455049030224
3.0,2,boundary_dense,1.8749992500000001,-2742.1562188605867,804.713167911669,2857.7935564428412
3.0,2,boundary_dense,1.9124991750000002,-3458.298307251368,522.7290628205232,3497.5810004994737
3.0,2,boundary_dense,1.9499991,-4745.782024878923,75.01739152996223,4746.374894242536
3.0,2,boundary_dense,1.9874990250000002,-5094.457576634848,-550.5693733396565,5124.121840373415
3.0,2,boundary_dense,2.02499895,-5131.1682595948805,-1235.442341134844,5277.803092816433
3.0,2,boundary_dense,2.062498875,-4585.172241342951,-1691.8921930380986,4887.361627263243
3.0,2,boundary_dense,2.0999988000000003,-3241.363236080017,-1535.4160258895079,3586.6332403480355
3.0,2,boundary_dense,2.1374987250000004,-1762.2025793147877,-892.7124229430034,1975.4223347478023
3.0,2,boundary_dense,2.17499865,-751.5043188910937,-215.15854370881874,781.69811323993
3.0,2,boundary_dense,2.212498575,-276.0562982875152,216.29766147755873,350.70180807185204
3.0,2,boundary_dense,2.2499985000000002,-127.32616889515708,392.0004622351977,412.1605459989186
3.0,2,boundary_dense,2.2874984250000003,-112.59830390910403,414.9499086864523,429.9555846388114
3.0,2,boundary_dense,2.32499835,-133.8476943536698,372.12891662536384,395.46824888043847
3.0,2,boundary_dense,2.362498275,-155.30177576275815,309.25373043475713,346.0585374512229
3.0,2,boundary_dense,2.3999982,-167.2619749435544,247.66663990555145,298.8567094514097
3.0,2,boundary_dense,2.4374981250000003,-169.64299290769657,194.72792923116316,258.2590007440935
3.0,2,boundary_dense,2.4749980500000004,-164.82182752734448,151.77530043294075,224.05797609316014
3.0,2,boundary_dense,2.512497975,-155.31858938416195,118.02469042897732,195.07355474062044
3.0,2,boundary_dense,2.5499979,-143.06751150710167,91.75197779949676,169.9609904623823
3.0,2,boundary_dense,2.5874978250000003,-129.33375716502587,71.16886400336,147.62190876001648
3.0,2,boundary_dense,2.6249977500000004,-114.90881391402131,54.904696992228665,127.35211528253318
3.0,2,boundary_dense,2.662497675,-100.27347678269679,41.94584104814115,108.69325520622682
3.0,2,boundary_dense,2.6999976,-85.72757713925691,31.571597034395605,91.3563529343718
3.0,2,boundary_dense,2.737497525,-71.53955771080393,23.34717957603469,75.25290101792127
3.0,2,boundary_dense,2.7749974500000003,-57.978980787742415,16.97990944912332,60.4142329098519
3.0,2,boundary_dense,2.8124973750000004,-45.31190300709477,12.21500811986354,46.929468114317004
3.0,2,boundary_dense,2.8499973,-33.77831321517171,8.772095321848257,34.89876931924442
3.0,2,boundary_dense,2.887497225,-23.54861256081542,6.303508157697815,24.37768177316204
3.0,2,boundary_dense,2.9249971500000003,-14.66430194069459,4.373838581252211,15.302686540039613
3.0,2,boundary_dense,2.9624970750000004,-6.779698128943273,2.3563006681004195,7.177496747340775
3.0,2,boundary_dense,2.999997,-0.0004946621473224215,0.0002119235840047471,0.0005381470481671772
3.0,3,fine,3e-06,0.015459576750571002,0.008453279974030928,0.017619774562296416
3.0,3,fine,0.037502925000000006,60.784565491002674,46.625629696661996,76.60752408569437
3.0,3,fine,0.07500285000000001,15.745079343504205,3.183353642142831,16.063662843330185
3.0,3,fine,0.11250277500000001,28.239349896020723,4.127453591095638,28.53938954666925
3.0,3,fine,0.15000270000000002,45.92517305573858,9.078592849606999,46.81391212373168
3.0,3,fine,0.187502625,65.53464610494115,16.79372458674088,67.65219158013421
3.0,3,fine,0.22500255000000002,85.22387991736423,25.69628667148875,89.01353187506183
3.0,3,fine,0.262502475,104.67153064686025,35.173256865569435,110.42321914564857
3.0,3,fine,0.3000024,124.06719800996561,45.860578266979324,132.27192544537087
3.0,3,fine,0.337502325,143.2381321234616,58.565457447066294,154.74842584078965
3.0,3,fine,0.37500225,161.7105143249763,73.5471520288417,177.6498635372454
3.0,3,fine,0.412502175,178.98712619747675,90.74118294075868,200.67474585986076
3.0,3,fine,0.4500021,194.59649730242342,110.01297899068146,223.54116468511165
3.0,3,fine,0.487502025,208.10752084036187,131.16525368797375,245.9940324588224
3.0,3,fine,0.52500195,219.13323410933782,153.95564577605623,267.80910208120326
3.0,3,fine,0.562501875,227.3289882808704,178.10461258212672,288.79010013474067
3.0,3,fine,0.6000018,232.42310165240275,203.31161929406358,308.7978509020058
3.0,3,fine,0.637501725,234.16805053396004,229.25014599211232,327.70460071271515
3.0,3,fine,0.67500165,232.4011532243772,255.5860879163449,345.44832371340584
3.0,3,fine,0.712501575,227.01938141108982,281.9971001505353,362.0223253192887
3.0,3,fine,0.7500015,217.9475078622052,308.1418956701541,377.428859588853
3.0,3,fine,0.7875014250000001,205.1892246370012,333.7102229975286,391.7462582338139
3.0,3,fine,0.8250013500000001,188.81742749046197,358.40757577886484,405.10247012305246
3.0,3,fine,0.8625012750000001,168.91104664443338,381.9663424081045,417.64725356590486
3.0,3,fine,0.9000012000000001,145.6672758167913,404.10370145714205,429.5564651768707
3.0,3,fine,0.937501125,119.194339981203,424.60588058481414,441.0186441759124
3.0,3,fine,0.97500105,89.8964608333869,443.275079387442,452.2987615241851
3.0,3,fine,1.012500975,57.835174443859344,459.8636653330758,463.4862436971811
3.0,3,fine,1.0500009000000001,23.579478447113217,474.3388617001471,474.92457035073386
3.0,3,fine,1.087500825,-12.768836706426184,486.3665634680506,486.5341480826979
3.0,3,fine,1.12500075,-50.63225616369614,496.031954615976,498.60939157257343
3.0,3,fine,1.162500675,-89.75903074810184,503.0349403549545,510.9802685219375
3.0,3,fine,1.2000006,-129.6772509155443,507.37501705920937,523.6846353874114
3.0,3,fine,1.2375005250000002,-169.9688705631175,509.02726098455565,536.6546090232904
3.0,3,fine,1.27500045,-210.21285821889367,507.76625888193047,549.5598415272975
3.0,3,fine,1.3125003750000002,-249.99708400242957,503.69659998080056,562.324467582495
3.0,3,fine,1.3500003,-288.8308520295758,496.64417393976623,574.524757162338
3.0,3,fine,1.3875002250000001,-326.38944185624916,486.80523813160823,586.0967561995252
3.0,3,fine,1.42500015,-362.1328221188918,474.0355331773863,596.5315310782506
3.0,3,fine,1.4625000750000001,-395.772398167745,458.5344542367078,605.7141544273203
3.0,3,fine,1.5,-426.8928680499663,440.3349031829336,613.2962968688539
3.0,3,fine,1.537499925,-455.4607530572939,419.59763335353347,619.2791547367016
3.0,3,fine,1.5749998500000002,-480.8969156050401,396.52571990846377,623.2932616251892
3.0,3,fine,1.612499775,-502.9434722640594,371.36080084812863,625.1887560565946
3.0,3,fine,1.6499997000000002,-521.3981310677667,344.3768640635475,624.8611330393363
3.0,3,fine,1.687499625,-536.0826681595954,315.8597885063964,622.2154233835869
3.0,3,fine,1.7249995500000002,-546.8865977275842,286.15402482226125,617.2269247983531
3.0,3,fine,1.762499475,-553.7571399247018,255.6535409034905,609.9227024747304
3.0,3,fine,1.7999994000000001,-556.6772043858612,224.74607807520346,600.3334985597949
3.0,3,fine,1.8374993250000002,-555.6817851015264,193.7995275694696,588.5070120056077
3.0,3,fine,1.8749992500000001,-550.8956013905395,163.2675814603038,574.580078655135
3.0,3,fine,1.9124991750000002,-542.5099485687865,133.58417272781827,558.7143952857157
3.0,3,fine,1.9499991,-530.7336672087138,105.12473795666621,541.0447634339209
3.0,3,fine,1.9874990250000002,-515.8784257043551,78.30363696665037,521.787322258225
3.0,3,fine,2.02499895,-498.2844349615325,53.449773496145674,501.14295007684484
3.0,3,fine,2.062498875,-478.3514378939409,30.859763773800445,479.3458283487774
3.0,3,fine,2.0999988000000003,-456.535693329354,10.762284089469922,456.6625297115326
3.0,3,fine,2.1374987250000004,-433.295932725406,-6.710000297206495,433.34788498430225
3.0,3,fine,2.17499865,-409.1344901850878,-21.506191358517775,409.6993377170152
3.0,3,fine,2.212498575,-384.5100544249186,-33.70701818457273,385.9846435141546
3.0,3,fine,2.2499985000000002,-359.8565047652453,-43.4945908421753,362.4754935914803
3.0,3,fine,2.2874984250000003,-335.54968807910086,-51.15682901522611,339.42689098666733
3.0,3,fine,2.32499835,-311.84921516840024,-57.068680201513544,317.02802283250895
3.0,3,fine,2.362498275,-288.8548123430621,-61.65672063922891,295.3619031184109
3.0,3,fine,2.3999982,-266.54909185672284,-65.31674025834951,274.43522902065683
3.0,3,fine,2.4374981250000003,-244.77790223702598,-68.36704240965715,254.1461664306643
3.0,3,fine,2.4749980500000004,-223.27505663442292,-70.96907841029835,234.2826519516796
3.0,3,fine,2.512497975,-201.78890102059285,-73.09534629253778,214.61987378787788
3.0,3,fine,2.5499979,-180.13091307681157,-74.52419486544197,194.93845558593156
3.0,3,fine,2.5874978250000003,-158.2838208826032,-74.8927651359935,175.1076646606627
3.0,3,fine,2.6249977500000004,-136.43881625712743,-73.7967342470933,155.11772486464045
3.0,3,fine,2.662497675,-114.98654602454015,-70.90181139092695,135.08875832269786
3.0,3,fine,2.6999976,-94.46071561206082,-66.04599204737633,115.26013994206639
3.0,3,fine,2.737497525,-75.42524597609425,-59.301341604918434,95.94590583603633
3.0,3,fine,2.7749974500000003,-58.40123714491608,-50.973025168623174,77.51744187534712
3.0,3,fine,2.8124973750000004,-43.76431805484947,-41.57411787511286,60.36325713461627
3.0,3,fine,2.8499973,-31.625817209080722,-31.753878535544803,44.81630413356638
3.0,3,fine,2.887497225,-21.81436470381693,-22.19517396952153,31.12060820370418
3.0,3,fine,2.9249971500000003,-13.8588742717373,-13.511465614660631,19.355311910066927
3.0,3,fine,2.9624970750000004,-6.720900763347222,-5.988635430022454,9.001903209015385
3.0,3,fine,2.999997,-0.0005433883347783482,-0.0004110559706236194,0.0006813500519986126
3.0,3,boundary_dense,3e-06,1.6355138258745804e+16,-1.4348434222401234e+16,2.1757024431140984e+16
3.0,3,boundary_dense,0.037502925000000006,-2.8009078573087185e+20,1.651025368927947e+20,3.25130275335555e+20
3.0,3,boundary_dense,0.07500285000000001,-3.323153536385496e+20,1.1947544644631786e+20,3.531400240237026e+20
3.0,3,boundary_dense,0.11250277500000001,1.4248860528768744e+21,-2.264907233408524e+20,1.442774518572636e+21
3.0,3,boundary_dense,0.15000270000000002,1.545937789288134e+21,4.618289622255236e+19,1.5466274626595072e+21
3.0,3,boundary_dense,0.187502625,-9.896802947311143e+20,-2.1857460931842205e+20,1.0135294498028985e+21
3.0,3,boundary_dense,0.22500255000000002,-1.8601885829507265e+21,-7.971626289207707e+20,2.0238008353314085e+21
3.0,3,boundary_dense,0.262502475,-6.173387639792822e+18,-4.154602291458315e+18,7.441198502347419e+18
3.0,3,boundary_dense,0.3000024,9.959290610518259e+20,9.849649031961035e+20,1.400725010548352e+21
3.0,3,boundary_dense,0.337502325,3.256216607231144e+20,4.724709781416746e+20,5.738103267790061e+20
3.0,3,boundary_dense,0.37500225,-1.3870937971449243e+20,-3.1403235238008075e+20,3.433025056158875e+20
3.0,3,boundary_dense,0.412502175,-8.089240574481262e+19,-3.4793632993115963e+20,3.572160004719108e+20
3.0,3,boundary_dense,0.4500021,-4.718673961248369e+18,-1.1520382588414424e+20,1.1530042229886578e+20
3.0,3,boundary_dense,0.487502025,-2.216727212805487e+19,1.501621820315617e+20,1.5178955453547885e+20
3.0,3,boundary_dense,0.52500195,-8.499451697986231e+18,2.4488416420460487e+19,2.5921481785350926e+19
3.0,3,boundary_dense,0.562501875,-1.8662449282208997e+19,3.247693602952445e+19,3.745715401731486e+19
3.0,3,boundary_dense,0.6000018,9.588362998167755e+18,-1.1176547824326353e+19,1.472589305455145e+19
3.0,3,boundary_dense,0.637501725,1.6496830563025713e+19,-1.3183786934847767e+19,2.1117709548354007e+19
3.0,3,boundary_dense,0.67500165,-1.6257616992339417e+19,8.603613956318028e+18,1.8393811007481666e+19
3.0,3,boundary_dense,0.712501575,2.5923074066136203e+19,-7.997294771527914e+18,2.7128628655003763e+19
3.0,3,boundary_dense,0.7500015,-2.690641024609943e+19,3.019039990822538e+18,2.70752565047423e+19
3.0,3,boundary_dense,0.7875014250000001,2.339904833963403e+19,1.7761496244197944e+18,2.3466362536380805e+19
3.0,3,boundary_dense,0.8250013500000001,-2.047509929325516e+19,-5.518382033209157e+18,2.1205712233572905e+19
3.0,3,boundary_dense,0.8625012750000001,1.5698429008093315e+19,7.597943539214481e+18,1.7440453530434257e+19
3.0,3,boundary_dense,0.9000012000000001,-1.1635360633351303e+19,-8.631618537235522e+18,1.448745856389205e+19
3.0,3,boundary_dense,0.937501125,7.528103051883725e+18,8.161719931564266e+18,1.110342324695742e+19
3.0,3,boundary_dense,0.97500105,-4.740588199020897e+18,-7.602908149989087e+18,8.959764997468777e+18
3.0,3,boundary_dense,1.012500975,2.615587425982473e+18,6.742847185008689e+18,7.232377599609773e+18
3.0,3,boundary_dense,1.0500009000000001,-8.041669530320699e+17,-4.3564625756859203e+18,4.4300621509975327e+18
3.0,3,boundary_dense,1.087500825,-1.0584171254605908e+16,2.1327744234160092e+18,2.1328006859194877e+18
3.0,3,boundary_dense,1.12500075,1.561466581470434e+17,-8.012724358636874e+17,8.163450834821121e+17
3.0,3,boundary_dense,1.162500675,-9.358035618620307e+16,2.343231338025993e+17,2.5231847752197517e+17
3.0,3,boundary_dense,1.2000006,3.4618256382760736e+16,-5.431326094120653e+16,6.4407716843947704e+16
3.0,3,boundary_dense,1.2375005250000002,-9518244812836744.0,1.011638924384421e+16,1.3890223743700476e+16
3.0,3,boundary_dense,1.27500045,2089012957358364.0,-1517918294020277.8,2582256974689499.5
3.0,3,boundary_dense,1.3125003750000002,-380651577439692.6,179621622714979.62,420903255813124.8
3.0,3,boundary_dense,1.3500003,59057153427005.9,-15297245370226.637,61006172530472.97
3.0,3,boundary_dense,1.3875002250000001,-7937603752103.508,525099135333.2627,7954953326534.067
3.0,3,boundary_dense,1.42500015,935467853263.5789,113979853313.32196,942386073459.7552
3.0,3,boundary_dense,1.4625000750000001,-97508073530.15015,-31057780025.29496,102334794198.55583
3.0,3,boundary_dense,1.5,9013556639.146542,4866600236.675229,10243436979.388807
3.0,3,boundary_dense,1.537499925,-762696461.552841,-618016103.9739077,981656659.5486999
3.0,3,boundary_dense,1.5749998500000002,62649508.31029228,73571011.46968539,96631540.50409193
3.0,3,boundary_dense,1.612499775,-5092786.249944219,-8814788.273186876,10180224.166919595
3.0,3,boundary_dense,1.6499997000000002,389111.6618904186,1073996.705681731,1142312.0454737113
3.0,3,boundary_dense,1.687499625,-25726.671395132733,-135262.73577920705,137687.5786392829
3.0,3,boundary_dense,1.7249995500000002,374.8619119926565,16629.705152660164,16633.929629449405
3.0,3,boundary_dense,1.762499475,-410.5212690152101,-2390.63915893995,2425.6304954734906
3.0,3,boundary_dense,1.7999994000000001,-866.5060795977827,1296.1260765254847,1559.094478288364
3.0,3,boundary_dense,1.8374993250000002,-1456.598615473155,1308.8984942178247,1958.288741417874
3.0,3,boundary_dense,1.8749992500000001,-2750.477937185028,2228.395810367233,3539.8978474814558
3.0,3,boundary_dense,1.9124991750000002,-3792.9352786595337,2131.412332902583,4350.778845327501
3.0,3,boundary_dense,1.9499991,-5550.230612501822,2004.1403711880914,5900.98622938389
3.0,3,boundary_dense,1.9874990250000002,-6289.923699856631,1098.177914528814,6385.071251127664
3.0,3,boundary_dense,2.02499895,-6576.075009463502,-65.32246658235422,6576.399436981516
3.0,3,boundary_dense,2.062498875,-6009.22631557504,-1118.0988999374385,6112.3601057071955
3.0,3,boundary_dense,2.0999988000000003,-4301.287599387997,-1497.796864702857,4554.609803327028
3.0,3,boundary_dense,2.1374987250000004,-2365.8234771912375,-1106.456926346261,2611.774809413869
3.0,3,boundary_dense,2.17499865,-1052.5049879325557,-438.87507033980864,1140.3412107736356
3.0,3,boundary_dense,2.212498575,-455.60005920267776,57.90985371518778,459.26568030149815
3.0,3,boundary_dense,2.2499985000000002,-282.2039566792261,278.25047306424415,396.31098764213715
3.0,3,boundary_dense,2.2874984250000003,-269.61178657345795,311.84819577968176,412.23756824236017
3.0,3,boundary_dense,2.32499835,-290.80213057791354,260.21631147056587,390.2286610488784
