radius,frequency,discretization,x_m,heave_density_real,heave_density_imag,heave_density_abs
3.0,2,fine,3e-06,-0.004347262224253566,0.015605376194956961,0.016199581940054858
3.0,2,fine,0.037502925000000006,-26.292715754079346,67.29790199844354,72.2517440282027
3.0,2,fine,0.07500285000000001,-1.9066111468447426,18.178073897347623,18.277788068656
3.0,2,fine,0.11250277500000001,0.2598156288321285,29.30145196188077,29.302603830297944
3.0,2,fine,0.15000270000000002,1.9231837599886328,45.19381562443453,45.23471682756582
3.0,2,fine,0.187502625,3.4843097773776446,63.00363276237696,63.09990614795864
3.0,2,fine,0.22500255000000002,5.674258262506031,80.81428312147683,81.01324313510621
3.0,2,fine,0.262502475,8.790606341144047,98.19985514104523,98.5925266415626
3.0,2,fine,0.3000024,12.360457497352993,115.67442614261674,116.33294362719258
3.0,2,fine,0.337502325,15.701010877629802,133.6374064137615,134.5565982610155
3.0,2,fine,0.37500225,18.4273986599572,152.05360785933493,153.1661473185684
3.0,2,fine,0.412502175,20.357475074960732,170.72442882330498,171.93387504640083
3.0,2,fine,0.4500021,21.337544552342933,189.44570147674781,190.64355382634963
3.0,2,fine,0.487502025,21.24380528740354,208.01449895223226,209.09646347424757
3.0,2,fine,0.52500195,19.973068739594744,226.23612773936586,227.11606937726629
3.0,2,fine,0.562501875,17.437502180859184,243.92382610637858,244.54631345551357
3.0,2,fine,0.6000018,13.573719689607483,260.91822019148344,261.27105368582926
3.0,2,fine,0.637501725,8.323156476805952,277.0549135312347,277.17990555871353
3.0,2,fine,0.67500165,1.6560219906428495,292.20171435456183,292.2064069807136
3.0,2,fine,0.712501575,-6.443464699331001,306.2528470176426,306.3206237649419
3.0,2,fine,0.7500015,-15.981014666074103,319.09396058970896,319.49389433068046
3.0,2,fine,0.7875014250000001,-26.938740629195063,330.65252995699564,331.7480841145114
3.0,2,fine,0.8250013500000001,-39.27144104115155,340.89009012733834,343.14472111410004
3.0,2,fine,0.8625012750000001,-52.93168475731263,349.7485209003506,353.731241372925
3.0,2,fine,0.9000012000000001,-67.82437634170269,357.25538129231535,363.63656786475497
3.0,2,fine,0.937501125,-83.86203116774458,363.3248394640745,372.8777001151655
3.0,2,fine,0.97500105,-100.9043558929342,368.1473771671998,381.72526816187633
3.0,2,fine,1.012500975,-118.79119988015583,371.52963801798103,390.0584841978689
3.0,2,fine,1.0500009000000001,-137.39004472542968,373.81771399573404,398.2658756241262
3.0,2,fine,1.087500825,-156.44121532418237,374.77430085760733,406.1152920482256
3.0,2,fine,1.12500075,-175.81799125095253,374.7427257121682,413.9372857350559
3.0,2,fine,1.162500675,-195.22732204256369,373.59313123914103,421.52762066201177
3.0,2,fine,1.2000006,-214.48221585645425,371.49451769910456,428.9647976223515
3.0,2,fine,1.2375005250000002,-233.3717653584559,368.5501721048953,436.22426597459037
3.0,2,fine,1.27500045,-251.582481151193,364.71944635252953,443.07337921600083
3.0,2,fine,1.3125003750000002,-269.0322907027029,360.1388803674739,449.531296566859
3.0,2,fine,1.3500003,-285.3557597513002,354.7906136055001,455.306807686651
3.0,2,fine,1.3875002250000001,-300.56343194431525,348.798089742521,460.4329310878803
3.0,2,fine,1.42500015,-314.2958633669686,342.127964630003,464.5787704054683
3.0,2,fine,1.4625000750000001,-326.5598794118922,334.857133898553,467.72925391113074
3.0,2,fine,1.5,-337.17438679907605,326.9814738061159,469.68441673718814
3.0,2,fine,1.537499925,-346.35015722025827,318.42524333269296,470.48173928217693
3.0,2,fine,1.5749998500000002,-353.7498874211102,309.3300428545475,469.9192039732408
