comparison,radius,frequency,component,mode,relative_change,within_screening
boundary_refinement,3.0,2,incident,heave,0.0,True
boundary_refinement,3.0,2,incident,geometric_pitch,0.0,True
boundary_refinement,3.0,2,diffraction,heave,2.4146423133171524e+16,False
boundary_refinement,3.0,2,diffraction,geometric_pitch,1.3277511061487896e+17,False
boundary_refinement,3.0,2,total,heave,3501377814414915.5,False
boundary_refinement,3.0,2,total,geometric_pitch,1.2791229649475578e+16,False
boundary_refinement,3.0,3,incident,heave,0.0,True
boundary_refinement,3.0,3,incident,geometric_pitch,0.0,True
boundary_refinement,3.0,3,diffraction,heave,3.2224105210873148e+16,False
boundary_refinement,3.0,3,diffraction,geometric_pitch,7.094330047217915e+16,False
boundary_refinement,3.0,3,total,heave,6703284624034506.0,False
boundary_refinement,3.0,3,total,geometric_pitch,1.1474025270809278e+16,False
boundary_refinement,3.0,4,incident,heave,0.0,True
boundary_refinement,3.0,4,incident,geometric_pitch,0.0,True
boundary_refinement,3.0,4,diffraction,heave,6.199110201976388e+16,False
boundary_refinement,3.0,4,diffraction,geometric_pitch,7.672093241491232e+16,False
boundary_refinement,3.0,4,total,heave,2.0828889226231016e+16,False
boundary_refinement,3.0,4,total,geometric_pitch,1.5609869598207506e+16,False
boundary_refinement,4.5,2,incident,heave,0.0,True
boundary_refinement,4.5,2,incident,geometric_pitch,0.0,True
boundary_refinement,4.5,2,diffraction,heave,459564338.8358654,False
boundary_refinement,4.5,2,diffraction,geometric_pitch,2610093994.15129,False
boundary_refinement,4.5,2,total,heave,60237327.96406216,False
boundary_refinement,4.5,2,total,geometric_pitch,189389297.9579568,False
boundary_refinement,4.5,3,incident,heave,0.0,True
boundary_refinement,4.5,3,incident,geometric_pitch,0.0,True
boundary_refinement,4.5,3,diffraction,heave,692480511.3068041,False
boundary_refinement,4.5,3,diffraction,geometric_pitch,1258249142.3338847,False
boundary_refinement,4.5,3,total,heave,145760751.79466006,False
boundary_refinement,4.5,3,total,geometric_pitch,198901030.68130547,False
boundary_refinement,4.5,4,incident,heave,0.0,True
boundary_refinement,4.5,4,incident,geometric_pitch,0.0,True
boundary_refinement,4.5,4,diffraction,heave,1575018541.5300255,False
boundary_refinement,4.5,4,diffraction,geometric_pitch,1413079677.8732262,False
boundary_refinement,4.5,4,total,heave,508831982.07094836,False
boundary_refinement,4.5,4,total,geometric_pitch,295164876.13657635,False
boundary_refinement,6.0,2,incident,heave,0.0,True
boundary_refinement,6.0,2,incident,geometric_pitch,0.0,True
boundary_refinement,6.0,2,diffraction,heave,0.027914215124430673,True
boundary_refinement,6.0,2,diffraction,geometric_pitch,0.3741001419816051,False
boundary_refinement,6.0,2,total,heave,0.0039196724723216765,True
boundary_refinement,6.0,2,total,geometric_pitch,0.03557710380015076,True
boundary_refinement,6.0,3,incident,heave,0.0,True
boundary_refinement,6.0,3,incident,geometric_pitch,0.0,True
boundary_refinement,6.0,3,diffraction,heave,0.11094941981104549,False
boundary_refinement,6.0,3,diffraction,geometric_pitch,0.16107446083714774,False
boundary_refinement,6.0,3,total,heave,0.02268896000065893,True
boundary_refinement,6.0,3,total,geometric_pitch,0.026183660071798797,True
boundary_refinement,6.0,4,incident,heave,0.0,True
boundary_refinement,6.0,4,incident,geometric_pitch,0.0,True
boundary_refinement,6.0,4,diffraction,heave,0.31756379449558464,False
boundary_refinement,6.0,4,diffraction,geometric_pitch,0.020540042824138256,True
boundary_refinement,6.0,4,total,heave,0.10161388403324714,False
boundary_refinement,6.0,4,total,geometric_pitch,0.0041886338000989435,True
dense_radius_vs_3,4.5,2,incident,heave,0.0,True
dense_radius_vs_3,4.5,2,incident,geometric_pitch,0.0,True
dense_radius_vs_3,4.5,2,diffraction,heave,1.0000000169902286,False
dense_radius_vs_3,4.5,2,diffraction,geometric_pitch,1.000000013602916,False
dense_radius_vs_3,4.5,2,total,heave,1.0000000169902283,False
dense_radius_vs_3,4.5,2,total,geometric_pitch,1.000000013602916,False
dense_radius_vs_3,4.5,3,incident,heave,0.0,True
dense_radius_vs_3,4.5,3,incident,geometric_pitch,0.0,True
dense_radius_vs_3,4.5,3,diffraction,heave,1.000000017653241,False
dense_radius_vs_3,4.5,3,diffraction,geometric_pitch,1.0000000127217223,False
dense_radius_vs_3,4.5,3,total,heave,1.000000017653241,False
dense_radius_vs_3,4.5,3,total,geometric_pitch,1.0000000127217223,False
dense_radius_vs_3,4.5,4,incident,heave,0.0,True
dense_radius_vs_3,4.5,4,incident,geometric_pitch,0.0,True
dense_radius_vs_3,4.5,4,diffraction,heave,1.0000000096179869,False
dense_radius_vs_3,4.5,4,diffraction,geometric_pitch,1.0000000067384558,False
dense_radius_vs_3,4.5,4,total,heave,1.0000000096179869,False
dense_radius_vs_3,4.5,4,total,geometric_pitch,1.0000000067384556,False
dense_radius_vs_3,6.0,2,incident,heave,0.0,True
dense_radius_vs_3,6.0,2,incident,geometric_pitch,0.0,True
dense_radius_vs_3,6.0,2,diffraction,heave,1.0,False
dense_radius_vs_3,6.0,2,diffraction,geometric_pitch,1.0,False
dense_radius_vs_3,6.0,2,total,heave,0.9999999999999997,False
dense_radius_vs_3,6.0,2,total,geometric_pitch,1.0,False
dense_radius_vs_3,6.0,3,incident,heave,0.0,True
dense_radius_vs_3,6.0,3,incident,geometric_pitch,0.0,True
dense_radius_vs_3,6.0,3,diffraction,heave,1.0,False
dense_radius_vs_3,6.0,3,diffraction,geometric_pitch,1.0,False
dense_radius_vs_3,6.0,3,total,heave,1.0000000000000002,False
dense_radius_vs_3,6.0,3,total,geometric_pitch,1.0,False
dense_radius_vs_3,6.0,4,incident,heave,0.0,True
dense_radius_vs_3,6.0,4,incident,geometric_pitch,0.0,True
dense_radius_vs_3,6.0,4,diffraction,heave,1.0,False
dense_radius_vs_3,6.0,4,diffraction,geometric_pitch,1.0,False
dense_radius_vs_3,6.0,4,total,heave,1.0,False
dense_radius_vs_3,6.0,4,total,geometric_pitch,0.9999999999999998,False
