component,sigma,motion_column,force_damping_coefficient,moment_damping_coefficient,computed_force_damping_nondimensional,computed_moment_damping_nondimensional,computed_center_from_transom_over_beam,reference_center_from_transom_over_beam,center_error_over_beam,used_for_acceptance
bem,0.85,heave,B33,B53,1.9940116794628842,0.3550353500049417,1.6480507875964776,2.134233579070875,-0.48618279147439725,False
bem,0.85,pitch,B35,B55,-4.290716853667406,2.6178253831328337,0.8598862422265643,0.31391534375021,0.5459708984763543,False
front,0.85,heave,B33,B53,0.2161654327264626,0.42307991822167973,3.427204317477755,2.134233579070875,1.29297073840688,False
front,0.85,pitch,B35,B55,0.3002013787092345,0.5904628355701699,3.436889153237612,0.31391534375021,3.1229738094874016,False
longitudinal_bin_aft_post_chine,0.85,heave,B33,B53,0.33456042486780174,-0.3610426834173488,0.390844617052327,2.134233579070875,-1.7433889620185479,False
longitudinal_bin_aft_post_chine,0.85,pitch,B35,B55,-1.9412057594196952,2.169340827383373,0.35247764727842323,0.31391534375021,0.038562303528213215,False
longitudinal_bin_forward_post_chine,0.85,heave,B33,B53,0.5963972764626492,0.21632395921591377,1.8327178858008444,2.134233579070875,-0.30151569327003047,False
longitudinal_bin_forward_post_chine,0.85,pitch,B35,B55,-0.893237356871237,-0.2682372989663463,1.7702978960775972,0.31391534375021,1.4563825523273872,False
longitudinal_bin_middle_post_chine,0.85,heave,B33,B53,0.4906922792627437,-0.17126438143436626,1.1209739633733633,2.134233579070875,-1.0132596156975116,False
longitudinal_bin_middle_post_chine,0.85,pitch,B35,B55,-1.5023178188892177,0.5825827936591732,1.0822106878224191,0.31391534375021,0.7682953440722091,False
longitudinal_bin_pre_chine,0.85,heave,B33,B53,0.5723616988696897,0.6710184556407431,2.6423678522966902,2.134233579070875,0.5081342732258154,False
longitudinal_bin_pre_chine,0.85,pitch,B35,B55,0.04604408151274168,0.13413906105663356,4.383274771688377,0.31391534375021,4.069359427938167,False
post_chine_bem,0.85,heave,B33,B53,1.4216499805931948,-0.3159831056358014,1.247734948862761,2.134233579070875,-0.8864986302081139,False
post_chine_bem,0.85,pitch,B35,B55,-4.336760935180149,2.483686322076199,0.8972946193717208,0.31391534375021,0.5833792756215108,False
pre_chine_bem,0.85,heave,B33,B53,0.5723616988696897,0.6710184556407431,2.6423678522966902,2.134233579070875,0.5081342732258154,False
pre_chine_bem,0.85,pitch,B35,B55,0.04604408151274168,0.13413906105663356,4.383274771688377,0.31391534375021,4.069359427938167,False
raw_bem,0.85,heave,B33,B53,1.9940116794628842,0.3550353500049417,1.6480507875964776,2.134233579070875,-0.48618279147439725,False
raw_bem,0.85,pitch,B35,B55,-4.290716853667406,2.6178253831328337,0.8598862422265643,0.31391534375021,0.5459708984763543,False
resolved_station_bem,0.85,heave,B33,B53,1.9323585274098183,0.4388914899312452,1.697127359496556,2.134233579070875,-0.43710621957431894,False
resolved_station_bem,0.85,pitch,B35,B55,-3.8212258349087107,1.9806321756277052,0.9516762313460537,0.31391534375021,0.6377608875958437,False
total,0.85,heave,B33,B53,2.210177112189346,0.7781152682266219,1.8220601421194884,2.134233579070875,-0.31217343695138644,False
total,0.85,pitch,B35,B55,-3.9905154749581717,3.208288218703005,0.6660216070239311,0.31391534375021,0.3521062632737211,False
transom,0.85,heave,B33,B53,0.0,0.0,nan,2.134233579070875,nan,False
transom,0.85,pitch,B35,B55,0.0,0.0,nan,0.31391534375021,nan,False
transom_extrapolation,0.85,heave,B33,B53,0.06165315205306546,-0.08385613992630334,0.10987262396369357,2.134233579070875,-2.0243609551071815,False
transom_extrapolation,0.85,pitch,B35,B55,-0.469491018758698,0.6371932075051283,0.11280000671828949,0.31391534375021,-0.20111533703192053,False
bem,1.13,heave,B33,B53,1.982885527915747,0.3465895658474468,1.6447905065461619,2.1269343084550325,-0.48214380190887063,False
bem,1.13,pitch,B35,B55,-4.258074839280997,2.6339903423762556,0.8514128586755837,0.3165608437535694,0.5348520149220143,False
front,1.13,heave,B33,B53,0.21395868814412936,0.41901997745794783,3.4284153421976615,2.1269343084550325,1.301481033742629,False
front,1.13,pitch,B35,B55,0.2923036055339641,0.57628856237511,3.441541067111977,0.3165608437535694,3.124980223358407,False
longitudinal_bin_aft_post_chine,1.13,heave,B33,B53,0.3367205055806294,-0.36400166958503616,0.3889797961446866,2.1269343084550325,-1.737954512310346,False
longitudinal_bin_aft_post_chine,1.13,pitch,B35,B55,-1.9357685832194,2.16379898529137,0.3522016205611054,0.3165608437535694,0.03564077680753597,False
longitudinal_bin_forward_post_chine,1.13,heave,B33,B53,0.5895987505702844,0.21356509376322963,1.8322210758700905,2.1269343084550325,-0.294713232584942,False
longitudinal_bin_forward_post_chine,1.13,pitch,B35,B55,-0.8965545052068659,-0.2695623944844636,1.7706648150435274,0.3165608437535694,1.454103971289958,False
longitudinal_bin_middle_post_chine,1.13,heave,B33,B53,0.4872794112260502,-0.170519844332893,1.1200573584591933,2.1269343084550325,-1.0068769499958392,False
longitudinal_bin_middle_post_chine,1.13,pitch,B35,B55,-1.4922793638733587,0.5777979862608417,1.0828084323560503,0.3165608437535694,0.7662475886024809,False
longitudinal_bin_pre_chine,1.13,heave,B33,B53,0.5692868605387832,0.6675459860021457,2.6426003747396667,2.1269343084550325,0.5156660662846342,False
longitudinal_bin_pre_chine,1.13,pitch,B35,B55,0.06652761301862845,0.1619557653085085,3.904414192241636,0.3165608437535694,3.587853348488067,False
post_chine_bem,1.13,heave,B33,B53,1.4135986673769636,-0.32095642015469944,1.2429508186717113,2.1269343084550325,-0.8839834897833212,False
post_chine_bem,1.13,pitch,B35,B55,-4.324602452299623,2.4720345770677468,0.8983787690696902,0.3165608437535694,0.5818179253161208,False
pre_chine_bem,1.13,heave,B33,B53,0.5692868605387832,0.6675459860021457,2.6426003747396667,2.1269343084550325,0.5156660662846342,False
pre_chine_bem,1.13,pitch,B35,B55,0.06652761301862845,0.1619557653085085,3.904414192241636,0.3165608437535694,3.587853348488067,False
raw_bem,1.13,heave,B33,B53,1.982885527915747,0.3465895658474468,1.6447905065461619,2.1269343084550325,-0.48214380190887063,False
raw_bem,1.13,pitch,B35,B55,-4.258074839280997,2.6339903423762556,0.8514128586755837,0.3165608437535694,0.5348520149220143,False
resolved_station_bem,1.13,heave,B33,B53,1.9184432685796964,0.43380369912060873,1.6961227664249732,2.1269343084550325,-0.43081154203005934,False
resolved_station_bem,1.13,pitch,B35,B55,-3.7880064859521902,1.9942297805879645,0.9435410860610827,0.3165608437535694,0.6269802423075133,False
total,1.13,heave,B33,B53,2.1968442160598753,0.7656095433053944,1.8185042488258656,2.1269343084550325,-0.3084300596291669,False
total,1.13,pitch,B35,B55,-3.965771233747033,3.210278904751366,0.660503255096196,0.3165608437535694,0.3439424113426266,False
transom,1.13,heave,B33,B53,0.0,0.0,nan,2.1269343084550325,nan,False
transom,1.13,pitch,B35,B55,0.0,0.0,nan,0.3165608437535694,nan,False
transom_extrapolation,1.13,heave,B33,B53,0.06444225933605043,-0.08721413327316206,0.11663135383938128,2.1269343084550325,-2.0103029546156512,False
transom_extrapolation,1.13,pitch,B35,B55,-0.4700683533288052,0.6397605617882921,0.10900524836908132,0.3165608437535694,-0.2075555953844881,False
bem,1.4,heave,B33,B53,1.9743131429063943,0.3352088157610473,1.6397850297788046,2.1257971032373386,-0.48601207345853403,False
bem,1.4,pitch,B35,B55,-4.270667743233284,2.6136096104767885,0.8580091433902914,0.31308510660297717,0.5449240367873143,False
front,1.4,heave,B33,B53,0.21673560506927275,0.4236874819292131,3.4248586942777335,2.1257971032373386,1.2990615910403949,False
