component,sigma,motion_column,force_damping_coefficient,moment_damping_coefficient,computed_force_damping_nondimensional,computed_moment_damping_nondimensional,computed_center_from_transom_over_beam,reference_center_from_transom_over_beam,center_error_over_beam,used_for_acceptance
front,1.4,pitch,B35,B55,0.2913089370810493,0.5751116951537079,3.444232925760522,0.31308510660297717,3.131147819157545,False
longitudinal_bin_aft_post_chine,1.4,heave,B33,B53,0.3402301649192957,-0.36860924755965624,0.38658857571581806,2.1257971032373386,-1.7392085275215206,False
longitudinal_bin_aft_post_chine,1.4,pitch,B35,B55,-1.9333845174202442,2.161124496064961,0.3522065778469172,0.31308510660297717,0.039121471243940054,False
longitudinal_bin_forward_post_chine,1.4,heave,B33,B53,0.5878847535517032,0.21367126489268004,1.8334577416777456,2.1257971032373386,-0.29233936155959306,False
longitudinal_bin_forward_post_chine,1.4,pitch,B35,B55,-0.8961996364185064,-0.26962553995702915,1.7708543286566563,0.31308510660297717,1.457769222053679,False
longitudinal_bin_middle_post_chine,1.4,heave,B33,B53,0.4826644287333658,-0.1687611978181695,1.120355013189926,2.1257971032373386,-1.0054420900474126,False
longitudinal_bin_middle_post_chine,1.4,pitch,B35,B55,-1.4928743881974902,0.5781673032383225,1.0827153712266395,0.31308510660297717,0.7696302646236624,False
longitudinal_bin_pre_chine,1.4,heave,B33,B53,0.5635337957020289,0.6589079962461929,2.639243089361394,2.1257971032373386,0.5134459861240552,False
longitudinal_bin_pre_chine,1.4,pitch,B35,B55,0.05179079880295728,0.14394335113053555,4.249322861541118,0.31308510660297717,3.9362377549381407,False
post_chine_bem,1.4,heave,B33,B53,1.4107793472043653,-0.3236991804851456,1.2405529350662838,2.1257971032373386,-0.8852441681710548,False
post_chine_bem,1.4,pitch,B35,B55,-4.32245854203624,2.469666259346253,0.898643158672649,0.31308510660297717,0.5855580520696718,False
pre_chine_bem,1.4,heave,B33,B53,0.5635337957020289,0.6589079962461929,2.639243089361394,2.1257971032373386,0.5134459861240552,False
pre_chine_bem,1.4,pitch,B35,B55,0.05179079880295728,0.14394335113053555,4.249322861541118,0.31308510660297717,3.9362377549381407,False
raw_bem,1.4,heave,B33,B53,1.9743131429063943,0.3352088157610473,1.6397850297788046,2.1257971032373386,-0.48601207345853403,False
raw_bem,1.4,pitch,B35,B55,-4.270667743233284,2.6136096104767885,0.8580091433902914,0.31308510660297717,0.5449240367873143,False
resolved_station_bem,1.4,heave,B33,B53,1.9119204973867971,0.41993642076901094,1.6896411520996704,2.1257971032373386,-0.43615595113766825,False
resolved_station_bem,1.4,pitch,B35,B55,-3.7920633560282475,1.9628521249326216,0.9523788685354443,0.31308510660297717,0.6392937619324671,False
total,1.4,heave,B33,B53,2.1910487479756666,0.7588962976902606,1.8163621237963843,2.1257971032373386,-0.3094349794409543,False
total,1.4,pitch,B35,B55,-3.979358806152233,3.1887213056304944,0.668684647209843,0.31308510660297717,0.3555995406068658,False
transom,1.4,heave,B33,B53,0.0,0.0,nan,2.1257971032373386,nan,False
transom,1.4,pitch,B35,B55,0.0,0.0,nan,0.31308510660297717,nan,False
transom_extrapolation,1.4,heave,B33,B53,0.062392645519595884,-0.08472760500796359,0.11202576597985603,2.1257971032373386,-2.0137713372574826,False
transom_extrapolation,1.4,pitch,B35,B55,-0.4786043872050341,0.6507574855441669,0.1103018799211668,0.31308510660297717,-0.20278322668181037,False
bem,1.7,heave,B33,B53,1.9774468366021676,0.32038192812510424,1.6320179729714575,2.122173914564036,-0.4901559415925787,False
bem,1.7,pitch,B35,B55,-4.279322580965507,2.6253066510868646,0.8565134956723597,0.3157446812607163,0.5407688144116434,False
front,1.7,heave,B33,B53,0.21631110361261835,0.422904937086324,3.425077340105874,2.122173914564036,1.302903425541838,False
front,1.7,pitch,B35,B55,0.2847388829631471,0.5625558618852396,3.4456903448906537,0.3157446812607163,3.1299456636299374,False
longitudinal_bin_aft_post_chine,1.7,heave,B33,B53,0.34653628558330263,-0.3759834443812996,0.38502431340362975,2.122173914564036,-1.7371496011604064,False
longitudinal_bin_aft_post_chine,1.7,pitch,B35,B55,-1.9358778598598725,2.1631937719975287,0.3525773480594947,0.3157446812607163,0.03683266679877839,False
longitudinal_bin_forward_post_chine,1.7,heave,B33,B53,0.5892284659947414,0.21447723749124364,1.833996734491028,2.122173914564036,-0.2881771800730082,False
longitudinal_bin_forward_post_chine,1.7,pitch,B35,B55,-0.9038693405643483,-0.27248663891775393,1.7714668455814881,0.3157446812607163,1.4557221643207718,False
longitudinal_bin_middle_post_chine,1.7,heave,B33,B53,0.48363895375099314,-0.1691418076472517,1.120272571439032,2.122173914564036,-1.0019013431250041,False
longitudinal_bin_middle_post_chine,1.7,pitch,B35,B55,-1.4981418960373745,0.5807610394690085,1.0823457724497678,0.3157446812607163,0.7666010911890515,False
longitudinal_bin_pre_chine,1.7,heave,B33,B53,0.5580431312731304,0.6510299426624118,2.636630151288019,2.122173914564036,0.5144562367239827,False
longitudinal_bin_pre_chine,1.7,pitch,B35,B55,0.05856651549608776,0.15383847853808338,4.096730944038489,0.3157446812607163,3.780986262777773,False
post_chine_bem,1.7,heave,B33,B53,1.4194037053290378,-0.33064801453730763,1.2370514644312143,2.122173914564036,-0.8851224501328219,False
post_chine_bem,1.7,pitch,B35,B55,-4.337889096461595,2.4714681725487817,0.9002601754930175,0.3157446812607163,0.5845154942323012,False
pre_chine_bem,1.7,heave,B33,B53,0.5580431312731304,0.6510299426624118,2.636630151288019,2.122173914564036,0.5144562367239827,False
pre_chine_bem,1.7,pitch,B35,B55,0.05856651549608776,0.15383847853808338,4.096730944038489,0.3157446812607163,3.780986262777773,False
raw_bem,1.7,heave,B33,B53,1.9774468366021676,0.32038192812510424,1.6320179729714575,2.122173914564036,-0.4901559415925787,False
raw_bem,1.7,pitch,B35,B55,-4.279322580965507,2.6253066510868646,0.8565134956723597,0.3157446812607163,0.5407688144116434,False
resolved_station_bem,1.7,heave,B33,B53,1.9049006673835553,0.4183718398433599,1.6896292158467283,2.122173914564036,-0.43254469871730783,False
resolved_station_bem,1.7,pitch,B35,B55,-3.83531280715315,2.0194058839633775,0.9434703567862751,0.3157446812607163,0.6277256755255588,False
total,1.7,heave,B33,B53,2.193757940214786,0.7432868652114285,1.8088189971126234,2.122173914564036,-0.31335491745141275,False
total,1.7,pitch,B35,B55,-3.9945836980023612,3.187862512972107,0.6719537568917845,0.3157446812607163,0.3562090756310682,False
transom,1.7,heave,B33,B53,0.0,0.0,nan,2.122173914564036,nan,False
transom,1.7,pitch,B35,B55,0.0,0.0,nan,0.3157446812607163,nan,False
transom_extrapolation,1.7,heave,B33,B53,0.07254616921861294,-0.09798991171825552,0.119275175054804,2.122173914564036,-2.002898739509232,False
transom_extrapolation,1.7,pitch,B35,B55,-0.4440097738123561,0.6059007671234882,0.10538867191795398,0.3157446812607163,-0.21035600934276233,False
bem,1.95,heave,B33,B53,1.9772157287981473,0.3169530756756696,1.6303027282553177,2.1318705058175045,-0.5015677775621867,False
bem,1.95,pitch,B35,B55,-4.289157843597348,2.629796694936375,0.8568734164535327,0.31224598946583026,0.5446274269877024,False
front,1.95,heave,B33,B53,0.21318923280087598,0.4176629775343212,3.4291185354301112,2.1318705058175045,1.2972480296126068,False
front,1.95,pitch,B35,B55,0.27852559528968895,0.5525035381876061,3.4536724076038974,0.31224598946583026,3.1414264181380673,False
longitudinal_bin_aft_post_chine,1.95,heave,B33,B53,0.3495720608754919,-0.37986029609776206,0.38335624721719963,2.1318705058175045,-1.7485142586003048,False
longitudinal_bin_aft_post_chine,1.95,pitch,B35,B55,-1.936126809838245,2.1631419037779325,0.35274781755712903,0.31224598946583026,0.040501828091298764,False
longitudinal_bin_forward_post_chine,1.95,heave,B33,B53,0.5883233104939473,0.21396910044913264,1.8336930521578134,2.1318705058175045,-0.29817745365969106,False
longitudinal_bin_forward_post_chine,1.95,pitch,B35,B55,-0.9064004392117452,-0.27262534435629093,1.7707780364640828,0.31224598946583026,1.4585320469982526,False
longitudinal_bin_middle_post_chine,1.95,heave,B33,B53,0.4818609190777307,-0.1684388366293649,1.1204409675892528,2.1318705058175045,-1.0114295382282517,False
longitudinal_bin_middle_post_chine,1.95,pitch,B35,B55,-1.5050502869644413,0.5829343417353683,1.082681153058947,0.31224598946583026,0.7704351635931168,False
longitudinal_bin_pre_chine,1.95,heave,B33,B53,0.557459438350979,0.6512831079536641,2.638305823075173,2.1318705058175045,0.5064353172576683,False
longitudinal_bin_pre_chine,1.95,pitch,B35,B55,0.05841969241708321,0.15634579377936536,4.146251573923837,0.31224598946583026,3.8340055844580068,False
post_chine_bem,1.95,heave,B33,B53,1.4197562904471692,-0.33433003227799446,1.2345158999980952,2.1318705058175045,-0.8973546058194093,False
post_chine_bem,1.95,pitch,B35,B55,-4.347577536014431,2.473450901157011,0.9010737690892328,0.31224598946583026,0.5888277796234025,False
pre_chine_bem,1.95,heave,B33,B53,0.557459438350979,0.6512831079536641,2.638305823075173,2.1318705058175045,0.5064353172576683,False
pre_chine_bem,1.95,pitch,B35,B55,0.05841969241708321,0.15634579377936536,4.146251573923837,0.31224598946583026,3.8340055844580068,False
raw_bem,1.95,heave,B33,B53,1.9772157287981473,0.3169530756756696,1.6303027282553177,2.1318705058175045,-0.5015677775621867,False
raw_bem,1.95,pitch,B35,B55,-4.289157843597348,2.629796694936375,0.8568734164535327,0.31224598946583026,0.5446274269877024,False
resolved_station_bem,1.95,heave,B33,B53,1.9030472657983375,0.4175551418473018,1.6894139627278966,2.1318705058175045,-0.4424565430896079,False
resolved_station_bem,1.95,pitch,B35,B55,-3.8484819441185447,2.030294747905413,0.9424426988651413,0.31224598946583026,0.630196709399311,False
total,1.95,heave,B33,B53,2.190404961599024,0.7346160532099911,1.805379103904929,2.1318705058175045,-0.32649140191257553,False
total,1.95,pitch,B35,B55,-4.010632248307661,3.182300233123982,0.6765340235403543,0.31224598946583026,0.36428803407452404,False
transom,1.95,heave,B33,B53,0.0,0.0,nan,2.1318705058175045,nan,False
transom,1.95,pitch,B35,B55,0.0,0.0,nan,0.31224598946583026,nan,False
transom_extrapolation,1.95,heave,B33,B53,0.0741684629998108,-0.10060206617163213,0.11360049942131378,2.1318705058175045,-2.0182700063961905,False
transom_extrapolation,1.95,pitch,B35,B55,-0.44067589947880387,0.5995019470309627,0.10958535572286676,0.31224598946583026,-0.2026606337429635,False
