node,y_over_Vt,material_dphi_dt_over_V2,similarity_material_dphi_dt_over_V2,auxiliary_psi_over_V2,difference_over_V2,cp_from_auxiliary,cp_from_finite_difference,cp_from_similarity_derivative
71,0.27820582602706967,-2.2617244187980723,-3.4170227456538975,-2.9302350815535703,-0.668510662755498,6.828802837725562,5.491781512214566,7.802378165926217
72,0.5564116520541393,-2.2919069321729046,-3.466457435964941,-2.9719785677423234,-0.6800716355694187,6.85686564020548,5.496722369066642,7.845823376650716
73,0.834617478081209,-2.3338810210163374,-3.535971082610235,-3.0315000757031387,-0.6976190546868013,6.910913424061618,5.515675314688015,7.91985543787581
74,1.1128233041082787,-2.389476126105683,-3.62732459395415,-3.1094379235455447,-0.7199617974398618,6.990021131649567,5.550097536769844,8.025794472466778
75,1.3910291301353483,-2.459973811847982,-3.742938959190979,-3.2079441802923667,-0.7479703684443848,7.096483165935452,5.6005424290466825,8.166472723732678
76,1.669234956162418,-2.5477291811309977,-3.887017936290692,-3.3306808894022866,-0.7829517082712889,7.234292431116858,5.668389014574279,8.346966524893668
77,1.9474407821894877,-2.656431821174865,-4.066049059524831,-3.483256895144887,-0.826825073970022,7.409534461584699,5.755884313644654,8.575118790344586
78,2.2256466082165574,-2.7916817790979986,-4.289859721287357,-3.6741432572572035,-0.8824614781592048,7.631231600537471,5.866308644219061,8.862664528597776
79,2.503852434243627,-2.962098932276974,-4.573621493757586,-3.916397573575914,-0.9542986412989398,7.912863336637951,6.0042660540400705,9.227311177001296
80,2.7820582602706967,-3.181498278318234,-4.941761793979897,-4.231010935678292,-1.0495126573600575,8.275118115866077,6.176092801145961,9.696619832469286
81,3.0602640862977664,-3.4735081689953318,-5.436214063707393,-4.6539108293032765,-1.1804026603079447,8.751078146830151,6.390272826214261,10.315684615638384
82,3.338469912324836,-3.882714761270639,-6.135994502947998,-5.252316794749028,-1.369602033478389,9.396414793896444,6.657210726939666,11.163770210294384
83,3.6166757383519057,-4.507525700463116,-7.21260031777007,-6.169375506973901,-1.6618498065107845,10.308829989938125,6.985130376916556,12.395279611530462
84,3.8948815643789754,-5.638473350291828,-9.14069810104372,-7.777695656206689,-2.1392223059148607,11.635254369708107,7.356809757878386,14.36125925938217
