scope,metric,eligible_point_count,median_relative_error,nrmse,median_limit,nrmse_limit,status
faltinsen_ch9,heave_motion,7,0.6015369988116124,1.6654457012266088,0.15,0.2,FAIL
faltinsen_ch9,pitch_motion,7,0.7371458967599753,1.7221845259598114,0.15,0.2,FAIL
matched_delta_added_only,heave_motion,7,0.5524227061545217,1.6183425708692643,0.15,0.2,FAIL
matched_delta_added_only,pitch_motion,7,0.7371458967599753,1.6603744150736692,0.15,0.2,FAIL
matched_delta_damping_only,heave_motion,7,0.6072391330645204,1.6499497266013512,0.15,0.2,FAIL
matched_delta_damping_only,pitch_motion,7,0.7371458967599753,1.7014062698876926,0.15,0.2,FAIL
matched_delta_added_and_damping,heave_motion,7,0.5513837635533679,1.599184909816516,0.15,0.2,FAIL
matched_delta_added_and_damping,pitch_motion,7,0.7370733292437369,1.6356951487662132,0.15,0.2,FAIL
matched_raw_added_only,heave_motion,7,0.7691981282861192,0.6323560229265595,0.15,0.2,FAIL
matched_raw_added_only,pitch_motion,7,0.883909705267683,0.7222001277549505,0.15,0.2,FAIL
matched_raw_damping_only,heave_motion,7,0.5657206482928056,0.5412844177953535,0.15,0.2,FAIL
matched_raw_damping_only,pitch_motion,7,0.5294324340704925,0.482259121934565,0.15,0.2,FAIL
matched_raw_added_and_damping,heave_motion,7,0.7283515037532595,0.6239068777831055,0.15,0.2,FAIL
matched_raw_added_and_damping,pitch_motion,7,0.6004058012794072,0.4841407297954201,0.15,0.2,FAIL
