outer_panel_index,xi_mid,eta_mid,panel_length,arc_mid,normalized_arc_mid,s_nu,k_contribution,k_fraction,cumulative_k_fraction,s_nu_left,s_nu_right,k_contribution_linear_exact,k_contribution_endpoint_average,k_contribution_within_panel_slope,s_nu_weak_projected_left,s_nu_weak_projected_right,k_contribution_weak_projected,k_contribution_weak_projection_error,s_nu_endpoint_jump_to_next
0,4.550211811456354,-0.036742240192994,0.0030282506583659,0.00151412532918295,9.580376505162381e-05,-0.0290993183408923,2.564232802961787e-06,0.0011052959914299484,0.0011052959914299484,-0.1065947961845252,0.0483961595027409,8.626335461019533e-06,2.5642328029617607e-06,6.062102658057772e-06,-0.12422606350621676,0.08365869414612401,1.2151665024933916e-05,9.41366806610687e-07,0.08738883180677831
1,4.547292248131074,-0.0377509088641605,0.003149856952702,0.0046031791347169,0.0002912585132902622,0.0333897745740594,3.5117032150864385e-06,0.0015136969943772088,0.0026189929858071574,0.1357849913095192,-0.0690054421614005,1.4520222706067378e-05,3.5117032150864284e-06,1.1008519490980949e-05,0.08365869414612401,-0.015604582700478015,6.233379068805105e-06,2.92434145123668e-06,0.07241503182008191
2,4.544236834453455,-0.0387434504884175,0.0032755362037074,0.0078158757129216,0.0004945365525834607,-0.0090219890637548,2.666164838235033e-07,0.0001149233137018166,0.002733916299508974,0.0034095896586814,-0.0214535677861917,4.353548027780858e-07,2.6661648382352407e-07,1.6873831895456174e-07,-0.015604582700478015,-0.036002800190312,2.2945276276748783e-06,9.279163077455766e-07,-0.0624744961017743
3,4.541059010298618,-0.0397727889907152,0.0034053889140989,0.01115633827182475,0.0007058987720700054,-0.0113404540445876,4.379530991237677e-07,0.00018877685533727923,0.002922693154846253,-0.083928063887966,0.0612471557987901,6.418907008525965e-06,4.3795309912379476e-07,5.980953909402172e-06,-0.036002800190312,0.011674656808751087,1.1489542647148164e-06,2.699892756422818e-06,-0.0674357955276305
4,4.5377722043413735,-0.0408926491790931,0.003539516234099,0.0146287908459237,0.0009256124405160641,-0.0098152046273585,3.4099077108791337e-07,0.0001469818699623329,0.0030696750248085857,-0.0061886397288404,-0.0134417695258761,3.5650797835907683e-07,3.4099077108789606e-07,1.5517207271180757e-08,0.011674656808751087,0.00011043816501745433,1.6234479173140188e-07,8.787991149314012e-07,0.0216322199761231
5,4.534362301131346,-0.0420740401079203,0.0036780201492553,0.01823755903760085,0.001153951253227014,0.0085610888892642,2.695703464273445e-07,0.00011619655710291864,0.0031858715819115045,0.008190450450247,0.0089317273282816,2.697387664671414e-07,2.6957034642735076e-07,1.684200397905826e-10,0.00011043816501745433,-0.01818260220754501,4.0287949710025873e-07,1.2499844414218632e-06,-0.0665912692308203
6,4.530826287506622,-0.0433208705826488,0.0038210029379519,0.02198707058120445,0.0013911953677387175,-0.0242253516983967,2.2424230718139477e-06,0.0009665819848740636,0.004152453566785568,-0.0576595419025387,0.0092088385057447,3.6661861765631223e-06,2.2424230718140027e-06,1.423763104749119e-06,-0.01818260220754501,-0.009767974013213138,7.688208490936518e-07,1.4894291074526558e-06,-0.0299255802828233
7,4.52716800116469,-0.0446573254187163,0.0039685694294343,0.02588185676489755,0.0016376314937826526,-0.0062519863560239,1.5512079639311083e-07,6.686381760762525e-05,0.004219317384393193,-0.0207167417770786,0.0082127690650304,4.319009317329105e-07,1.5512079639312078e-07,2.7678013533978974e-07,-0.009767974013213138,-0.01515143849241223,6.25682357343404e-07,5.423082241646443e-07,-0.0568958847253355
8,4.523383514565518,-0.0460843798656288,0.0041208228665608,0.0299265529128951,0.0018935529237986643,-0.0128530429949658,6.80762880772971e-07,0.00029343844379635365,0.004512755828189547,-0.0486831156603051,0.0229770296703732,2.444192251746361e-06,6.80762880772987e-07,1.7634293709733742e-06,-0.01515143849241223,-0.009628640054546476,6.430743877812738e-07,1.5029743738131154e-06,-0.0630997204762987
9,4.51947591660526,-0.047621970373889,0.0042778688455327,0.03412589876894185,0.002159259557198892,-0.006852555781992,2.0087811505982565e-07,8.658721434542775e-05,0.004599343042534974,-0.0401226908059255,0.0264175792419414,1.7792718106631716e-06,2.0087811505982858e-07,1.5783936956033432e-06,-0.009628640054546476,-0.00405386047192243,2.112948613148274e-07,1.3249959253259867e-06,-0.06788694141867391
