outer_iteration,coefficient_index,unscaled_step,trust_scaled_step,trust_region_step_scale
1,0,-0.00025549016700580327,-0.00025549016700580327,1.0
1,1,-0.00030873288314172916,-0.00030873288314172916,1.0
1,2,-0.00021028302383803402,-0.00021028302383803402,1.0
1,3,-0.0001271863748360579,-0.0001271863748360579,1.0
1,4,-7.40034412501709e-05,-7.40034412501709e-05,1.0
1,5,-4.5161453461740674e-05,-4.5161453461740674e-05,1.0
1,6,-2.5995848636198895e-05,-2.5995848636198895e-05,1.0
1,7,-1.3056611419918921e-05,-1.3056611419918921e-05,1.0
1,8,-3.1425553000967797e-06,-3.1425553000967797e-06,1.0
1,9,3.541345082263148e-06,3.541345082263148e-06,1.0
1,10,8.29523571245159e-06,8.29523571245159e-06,1.0
1,11,1.108397586900762e-05,1.108397586900762e-05,1.0
1,12,1.2801619425503821e-05,1.2801619425503821e-05,1.0
1,13,1.3432765147032557e-05,1.3432765147032557e-05,1.0
1,14,1.355208797458467e-05,1.355208797458467e-05,1.0
1,15,1.309746351864439e-05,1.309746351864439e-05,1.0
1,16,1.240550449282304e-05,1.240550449282304e-05,1.0
1,17,1.1412274062965493e-05,1.1412274062965493e-05,1.0
1,18,1.0422110081759317e-05,1.0422110081759317e-05,1.0
1,19,9.33424254246888e-06,9.33424254246888e-06,1.0
1,20,8.32161882233613e-06,8.32161882233613e-06,1.0
1,21,7.293296232820161e-06,7.293296232820161e-06,1.0
1,22,6.36876695641664e-06,6.36876695641664e-06,1.0
1,23,5.4714044011162206e-06,5.4714044011162206e-06,1.0
1,24,4.7148513832429476e-06,4.7148513832429476e-06,1.0
1,25,4.011818220737318e-06,4.011818220737318e-06,1.0
1,26,3.396927540007087e-06,3.396927540007087e-06,1.0
1,27,2.813591234210822e-06,2.813591234210822e-06,1.0
1,28,2.3885205529188157e-06,2.3885205529188157e-06,1.0
1,29,2.0045264704952065e-06,2.0045264704952065e-06,1.0
1,30,1.685246966399996e-06,1.685246966399996e-06,1.0
1,31,1.392000160108068e-06,1.392000160108068e-06,1.0
1,32,1.1802458487537276e-06,1.1802458487537276e-06,1.0
1,33,9.893452475148863e-07,9.893452475148863e-07,1.0
1,34,8.570583955196841e-07,8.570583955196841e-07,1.0
1,35,7.133164897249693e-07,7.133164897249693e-07,1.0
1,36,6.204913947119227e-07,6.204913947119227e-07,1.0
1,37,5.546496498675334e-07,5.546496498675334e-07,1.0
1,38,5.176112668799566e-07,5.176112668799566e-07,1.0
1,39,4.5478109193609464e-07,4.5478109193609464e-07,1.0
1,40,4.269830550856557e-07,4.269830550856557e-07,1.0
1,41,3.9219385732421487e-07,3.9219385732421487e-07,1.0
1,42,3.835648744236438e-07,3.835648744236438e-07,1.0
1,43,3.591416586800944e-07,3.591416586800944e-07,1.0
1,44,3.5709761880981853e-07,3.5709761880981853e-07,1.0
1,45,3.3802914189336874e-07,3.3802914189336874e-07,1.0
1,46,3.3946121178652673e-07,3.3946121178652673e-07,1.0
1,47,3.228762113678538e-07,3.228762113678538e-07,1.0
1,48,3.256446275526256e-07,3.256446275526256e-07,1.0
1,49,3.094637961907837e-07,3.094637961907837e-07,1.0
1,50,3.1226877787903564e-07,3.1226877787903564e-07,1.0
1,51,2.9491833470659927e-07,2.9491833470659927e-07,1.0
1,52,2.967994585887038e-07,2.967994585887038e-07,1.0
1,53,2.774679815455757e-07,2.774679815455757e-07,1.0
1,54,2.7943002746067073e-07,2.7943002746067073e-07,1.0
1,55,2.6329736121705107e-07,2.6329736121705107e-07,1.0
1,56,2.767339841319049e-07,2.767339841319049e-07,1.0
1,57,2.6456932016353206e-07,2.6456932016353206e-07,1.0
1,58,2.2301450647670942e-07,2.2301450647670942e-07,1.0
1,59,-4.653138106568795e-09,-4.653138106568795e-09,1.0
1,60,-2.750421790172165e-07,-2.750421790172165e-07,1.0
1,61,2.3046335925609143e-07,2.3046335925609143e-07,1.0
1,62,1.8087275764329332e-06,1.8087275764329332e-06,1.0
1,63,1.5328084011821344e-06,1.5328084011821344e-06,1.0
