omega_e_rad_s,F3_real,F3_imag,M5_real,M5_imag
6.579000000000001,-1453.5350731492415,-4391.132042012304,608.6446024638996,-1415.7718624122044
7.590045702857821,-1716.076192729921,-4283.678434514715,718.3953479655297,-1387.0635092415823
8.756466601530699,-2008.6021849358717,-4134.510116203364,840.5579244836955,-1347.2794738802388
10.102140401454038,-2325.177095590601,-3929.784471981812,972.5735299784928,-1292.8092075418376
11.6546142793316,-2652.8861048996573,-3652.7546359515864,1108.9490316858453,-1219.343228728478
13.44566879910415,-2968.2311020774087,-3284.630443111239,1239.7803807423277,-1122.1491936381708
15.511968489236953,-3232.8079364895584,-2807.1144568883337,1349.033121107418,-996.7949360796987
17.89581239923983,-3389.363742690949,-2207.8657118473843,1413.0970191869544,-840.5971195864553
20.645999999999997,-3361.1174215176447,-1490.4358962612264,1400.899643808206,-655.050486470453
37.1628,-112.24089403889323,1059.4462850205966,130.31279741678617,58.05538495780941
