outer_iteration,node_index,normal_displacement
1,0,-0.0005664804957396968
1,1,-0.0005701392298281078
1,2,-0.0005768456555569465
1,3,-0.0005855213304681154
1,4,-0.000594864955403586
1,5,-0.0006036261845030922
1,6,-0.0006108312267084318
1,7,-0.0006159014710645168
1,8,-0.0006186429811398941
1,9,-0.0006191267654899254
1,10,-0.0006175132414922786
1,11,-0.000613888467356865
1,12,-0.0006081705032328897
1,13,-0.0006001156599441625
1,14,-0.0005894168535224239
1,15,-0.0005758530065279803
1,16,-0.0005594307873316036
1,17,-0.0005404636199843598
1,18,-0.0005195559748845108
1,19,-0.0004974949074259688
1,20,-0.00047508351142729787
1,21,-0.0004529709787063252
1,22,-0.00043153456677676443
1,23,-0.0004108501612461228
1,24,-0.0003907571782077946
1,25,-0.0003709913419765254
1,26,-0.00035133665241714315
1,27,-0.00033174313546475
1,28,-0.00031237096354090274
1,29,-0.0002935488646244336
1,30,-0.00027566547758151456
1,31,-0.00025903555968889274
1,32,-0.00024379070623011326
1,33,-0.00022983415097134455
1,34,-0.0002168752911949176
1,35,-0.00020453064045747652
1,36,-0.00019245435918460155
1,37,-0.00018045161399749606
1,38,-0.00016853501097638352
1,39,-0.00015690539843009706
1,40,-0.00014586565472317348
1,41,-0.00013569979722527947
1,42,-0.00012656147192023517
1,43,-0.00011841164894242951
1,44,-0.00011102696477914354
1,45,-0.00010407444423785479
1,46,-9.722462556654757e-05
1,47,-9.026184315714391e-05
1,48,-8.315215760312301e-05
1,49,-7.604528184578798e-05
1,50,-6.921091624793825e-05
1,51,-6.293341887576173e-05
1,52,-5.7403286108365494e-05
1,53,-5.264443647490047e-05
1,54,-4.850281824960363e-05
1,55,-4.4699451155135094e-05
1,56,-4.0927839770602215e-05
1,57,-3.696008158216156e-05
1,58,-3.272341850842716e-05
1,59,-2.8320170218823215e-05
1,60,-2.3984717625890965e-05
1,61,-1.9993895257351955e-05
1,62,-1.6563632490242307e-05
1,63,-1.376913570542977e-05
1,64,-1.1516907567567398e-05
1,65,-9.57788219650504e-06
1,66,-7.668886939023716e-06
1,67,-5.552485680852319e-06
1,68,-3.119098871691069e-06
1,69,-4.2218110021484695e-07
1,70,2.345493060592146e-06
1,71,4.925078397165265e-06
1,72,7.087449034589175e-06
1,73,8.716839444313929e-06
1,74,9.852510455002008e-06
1,75,1.067410752485262e-05
1,76,1.1436786725724143e-05
1,77,1.2380112714540897e-05
1,78,1.364378695565831e-05
1,79,1.5220327354048198e-05
1,80,1.6961124939042875e-05
1,81,1.86329236893712e-05
1,82,2.0003743349672433e-05
1,83,2.09270370702415e-05
1,84,2.1393994107204815e-05
1,85,2.1535784714438146e-05
1,86,2.1575766521671002e-05
1,87,2.1749591816811447e-05
1,88,2.222234927151184e-05
1,89,2.3032434612249542e-05
1,90,2.40817457409908e-05
1,91,2.5174840456096963e-05
1,92,2.6092082342630117e-05
1,93,2.6669869676707126e-05
