grid_label,omega_e_sqrt_l_over_g,n3_body_condition_to_force_row_residual,n5_body_condition_to_moment_row_residual,m5_body_condition_to_stokes_row_residual,n5_equals_lever_times_n3_measure_residual,discrete_pitch_product_rule_residual,lever_gradient_plus_stokes_m5_residual,eq33_force_matrix_reconstruction_residual,end_station,end_station_is_degenerate,end_term_geometry_source,end_term_matrix_norm,exact_residual_limit,product_rule_discretization_limit,provider_route,force_assembly_route,status
base,2.0,9.166257267876938e-17,8.00987877268365e-17,4.488032903804536e-17,0.0,0.0046328963731764525,5.998447715296274e-16,0.0,aft,True,actual_degenerate_hull_endpoint,0.0,1e-08,0.02,matched_bie_station_sweep,eq32_stokes_body_plus_end,PASS
base,2.23,1.0869478770995831e-16,1.0997573489188039e-16,4.488032903804536e-17,0.0,0.0046328963731764525,5.998447715296274e-16,0.0,aft,True,actual_degenerate_hull_endpoint,0.0,1e-08,0.02,matched_bie_station_sweep,eq32_stokes_body_plus_end,PASS
refined,2.0,7.843211654416458e-17,8.348500587298815e-17,2.7301679179218218e-17,0.0,0.004636129428674199,5.924484565789077e-16,6.91081719104667e-17,aft,True,actual_degenerate_hull_endpoint,0.0,1e-08,0.02,matched_bie_station_sweep,eq32_stokes_body_plus_end,PASS
refined,2.23,1.0677118979549003e-16,1.0484333885482639e-16,2.7301679179218218e-17,0.0,0.004636129428674199,5.924484565789077e-16,0.0,aft,True,actual_degenerate_hull_endpoint,0.0,1e-08,0.02,matched_bie_station_sweep,eq32_stokes_body_plus_end,PASS
