case,frequency_index,omega,wavenumber,variant,old_dynamic_condition,new_dynamic_condition,q3_real,q3_imag,q5_real,q5_imag,heave_rao_m_per_m,pitch_rao_rad_per_wave_slope,linear_gate_eligible,reference_heave_rao_m_per_m,reference_pitch_rao_rad_per_wave_slope,case_code
fn167,0,16.734,3.2590219527589674,excitation_only,15.58440884929382,18.042050309443205,-0.0307068097086615,0.1872570263098651,-0.4356960876460667,-0.0801695779362116,0.1897580092246371,0.1359335522953715,False,0.09615384615,0.1192307692,C1
fn167,1,13.7884,2.576885664439888,excitation_only,16.109835067067802,18.926948776476376,-0.033761713568056,0.3665448769701619,-0.7318510734013123,0.0491295589085911,0.3680964549355543,0.2846452509650432,True,0.25,0.2769230769,C2
fn167,2,11.1048,1.9725359002056604,excitation_only,18.45605102877616,22.94509092045934,0.1315299379552093,0.7389831917087135,-1.3653802785494011,0.5961559305545961,0.7505972836391686,0.7552988445917217,True,0.6,0.625,C3
fn167,3,9.86,1.6993368978428782,excitation_only,20.708010054545586,31.3856196018916,0.5725087638856742,1.0647892940576942,-1.8941972335790271,1.5799685775220689,1.2089427304325815,1.4515274280388535,True,0.8076923077,0.8115384615,C4
fn167,4,8.6966,1.4490864561878758,excitation_only,21.955076606575787,81.5452399153735,1.8763563915936303,0.8215709141159689,-1.2258101707277145,4.070177521750977,2.048338857512501,2.9334063542319364,True,0.9576923077,0.9884615385,C5
fn167,5,7.5978,1.2181075901891778,excitation_only,12.2539035778728,36.953147501476096,1.7790859710954827,-1.1577164824339952,2.4068583161184565,3.6358607029440217,2.1226055559731534,3.579590882048987,True,1.057692308,1.092307692,C6
fn167,6,6.5604,1.0058109838842562,excitation_only,4.339894683872986,17.989878814300038,0.6448234002697368,-1.3865187248990556,2.578790353007409,1.5682279087307784,1.5291276572056136,3.000757217523764,True,0.9653846154,1.057692308,C7
fn167,7,5.601,0.8155674217941496,excitation_only,2.642851550071961,15.514013949357572,0.2231712124747109,-1.1931243250961567,2.080144465341654,0.8772730643592661,1.2138167263691797,2.7680937206775478,True,1.030769231,1.146153846,C8
fn226,0,20.646,3.259236620385745,excitation_only,18.436847863427232,20.087379993232567,0.0219657592604061,0.1321717603352562,-0.2673659533617666,0.0926779981735933,0.1339845842252254,0.08682188916948529,False,0.1298076923,0.1254807692,C1
fn226,1,16.8796,2.5766950424428487,excitation_only,18.94906790327263,20.89113309841763,0.0750524750084819,0.2340922572121176,-0.3930336831566057,0.2440217888030702,0.24582932878638183,0.17954209906261878,True,0.2639423077,0.2769230769,C2
fn226,2,13.4712,1.9724233726607707,excitation_only,18.915940460673657,23.561967457263528,0.2640311637784038,0.3855817775030692,-0.545924924996944,0.6543465174400496,0.46731762494967455,0.43204501185992894,True,0.4716346154,0.4759615385,C3
fn226,3,11.9,1.699474065203633,excitation_only,17.80673085254939,27.15267489948181,0.4981397824497074,0.4272577836052506,-0.5113104618133567,1.084887354154077,0.6562716331751,0.7057130654629324,True,0.6879807692,0.7528846154,C4
fn226,4,10.4354,1.4490688740302793,excitation_only,14.64677484951052,32.57632648213873,0.8278523435970015,0.2817919850433458,-0.1215939605280845,1.6027152081253788,0.8744976990442668,1.1092095981461636,True,0.9151442308,0.9951923077,C5
fn226,5,9.0582,1.217886762397776,excitation_only,9.13568989042519,25.028183661589985,0.9881082797886546,-0.1249886134358271,0.6472142376910859,1.7205929224099572,0.9959819908389431,1.5094132307091457,True,1.120673077,1.233173077,C6
fn226,6,7.7676,1.0058477978268834,excitation_only,4.212523297221723,13.342497978976654,0.8454398621588655,-0.4614217054953586,1.174328696593999,1.3320204131330502,0.9631607087238593,1.7654368400004465,True,1.125,1.189903846,C7
fn226,7,6.579,0.815459919282888,excitation_only,1.8908689498504183,9.38165397437754,0.6632717618703317,-0.590160169537424,1.3260434878042322,0.9343564332344146,0.8878166791646882,1.9892616531620733,True,1.116346154,1.185576923,C8
fn282,0,24.395,3.259369285811095,excitation_only,19.48017701436564,20.67432833269964,0.0392590801267643,0.0955970287287021,-0.1489918791448072,0.1135911208814358,0.10334441094783982,0.05748167437195448,False,0.1682692308,0.1442307692,C1
fn282,1,19.842,2.5765761955073043,excitation_only,19.183825896182547,21.18286040413096,0.0892120753416904,0.1580886429983076,-0.2028257317203715,0.2205872883040999,0.18152358918834158,0.11630221723246444,True,0.2884615385,0.25,C2
fn282,2,15.739,1.972352449722844,excitation_only,17.576348254244134,22.45410454421433,0.2203890602618688,0.2376886405304875,-0.2323643492420934,0.4644127977907466,0.3241407529459092,0.26328963141086,True,0.4471153846,0.4615384615,C3
fn282,3,13.855,1.699561077017637,excitation_only,15.515180780748835,23.20206168245631,0.3476697720603037,0.251924931618444,-0.1685064934966569,0.6694791100421579,0.4293488576617169,0.40619890361950467,True,0.6201923077,0.6394230769,C4
fn282,4,12.10175,1.4490576404202546,excitation_only,12.101995046045852,22.024812502211645,0.5033614343632545,0.1949097895672198,0.0300729851580245,0.8775731981966794,0.5397801030728818,0.6059719767535525,True,0.8509615385,0.9134615385,C5
fn282,5,10.45775,1.2177445115034398,excitation_only,7.744189480070258,16.094757356168824,0.615163765195274,0.0527432555452692,0.3477889000054221,0.9592218491110822,0.6174206904653745,0.8378812380344716,True,1.110576923,1.1875,C6
fn282,6,8.9245,1.005871738114929,excitation_only,3.98824608537446,9.821999602823018,0.6362678901084351,-0.0975112728118133,0.633673692871117,0.8749882944245131,0.643696571614623,1.0740392380991943,True,1.307692308,1.504807692,C7
fn282,7,7.516249999999999,0.8153892471582603,excitation_only,1.8775432018721283,6.762224245492166,0.6170074319840222,-0.1911899296430415,0.8108131521608708,0.7371269651676716,0.6459502769721744,1.3438960624925687,True,1.25,1.4375,C8
