outer_iteration,krylov_iteration,preconditioned_relative_residual,gmres_info
1,1,0.9991218009426238,1
1,2,0.997774193452067,1
1,3,0.996883844637325,1
1,4,0.9954459904508463,1
1,5,0.994267021580978,1
1,6,0.9929290493223735,1
1,7,0.99205559663106,1
1,8,0.9908418161993466,1
1,9,0.9895203005327481,1
1,10,0.9882233190139861,1
1,11,0.9868233774309373,1
1,12,0.985326838521271,1
1,13,0.9837701634486218,1
1,14,0.981505244370631,1
1,15,0.9792879155890932,1
1,16,0.9767837149095144,1
1,17,0.9751574223671182,1
1,18,0.9735914948450901,1
1,19,0.9718835470240493,1
1,20,0.9700141253913445,1
1,21,0.9678067221116211,1
1,22,0.9667306204549858,1
1,23,0.9630265740651264,1
1,24,0.9624206640802339,1
1,25,0.9587790353926671,1
1,26,0.9582552151309729,1
1,27,0.9537811544465786,1
1,28,0.9532846659799288,1
1,29,0.950779897678308,1
1,30,0.9487990534739992,1
1,31,0.94816465838329,1
1,32,0.9445010455561617,1
