iteration,pseudo_time,kinematic_rms,dipole_coefficient,root_thickness,root_s_lambda,root_body_eta,root_resolution_ratio,bem_condition_number,accepted_time_step,maximum_displacement_ratio
0,0.0,1.9159170713842608,5.660583989325194,0.0029925011009551447,1.6906102810240506,0.18507482530693764,0.17350234682742838,30314.29108921309,,
1,0.0003671324635696152,1.4894042225795832,5.702032210823879,0.01897170982493917,2.0849041763237777,0.1951837320222678,1.102853771758573,27421.81010657921,0.0003671324635696152,0.16768668040557003
2,0.0008928604664821301,1.508120988310485,5.708763325342831,0.01680251254727903,2.4082372018928773,0.19550984089331003,0.9773812369318444,32656.072138325875,0.000525728002912515,0.19624117912116337
3,0.0014273100345657788,1.5113194459405945,5.714652920797157,0.014598486165089878,2.6825261639386047,0.19569186892971957,0.8514795214922863,42037.48513591417,0.0005344495680836488,0.1993709741815087
4,0.0019646804808558832,1.5294226781812923,5.7198587477521885,0.012339276970304536,2.9187706317914035,0.19572828101533446,0.7216015831374262,61336.61785546778,0.0005373704462901043,0.1996177839955201
5,0.00250088420921157,1.5610684160573811,5.724632157034924,0.010011424354052287,3.123410514120005,0.19562665619360442,0.5862068283879808,117522.33988576489,0.0005362037283556868,0.20202212167981987
6,0.003024358204689047,1.2881248380052075,5.760976566536406,0.01889320167169892,3.2636014379912925,0.20452990448034636,1.1128549925472109,32880.75902433188,0.000523473995477477,0.19238872380605088
7,0.0035550831585968454,1.4521791252829646,5.767236302742222,0.016760125551331814,3.353182983408873,0.2048730701847421,0.975371174466252,36546.26548354656,0.0005307249539077983,0.19645926438638933
8,0.0040938615379673025,1.4540969695439758,5.772967488829548,0.014496118845004865,3.43667378356372,0.20512622978513173,0.8447425599520545,42456.3938299723,0.0005387783793704573,0.19896184440184575
9,0.004630593224323737,1.483005323966185,5.778286505377991,0.01212564064303192,3.514044457566192,0.20528680599121185,0.7081554706638182,51180.67233019125,0.000536731686356435,0.20051653061645042
10,0.005157763631176395,1.525034097086988,5.7833849138567635,0.009638753830846166,3.5830719125129984,0.20535874999877102,0.5639667053214982,64231.813880633024,0.0005271704068526583,0.20265791995599905
11,0.005666542533424125,1.1090395142230158,5.811870057390275,0.018681864192331348,3.6166300774986073,0.2128928228539375,1.1020194818945759,31031.97408012966,0.0005087789022477301,0.1903170982247756
12,0.006193185060196688,1.1134783462998918,5.818437981607228,0.016627356823990545,3.6240529021153454,0.2133788053710719,0.9692024431651599,32216.543467950145,0.0005266425267725632,0.19655136708196524
13,0.006726356369879004,1.1691212275200675,5.8246178446340044,0.014437716184059583,3.636220010755687,0.21381004383234448,0.8412989954285652,34237.05353381543,0.0005331713096823161,0.19840235758626215
14,0.007255196188061213,1.2931994758815615,5.830440345076385,0.01212930164497307,3.6505130081187644,0.21418055302586492,0.707692420463174,36701.69391341735,0.0005288398181822084,0.20009839352961023
15,0.0077740805083576685,1.4750447475990913,5.836032914891747,0.00967668921246012,3.663026106682066,0.21449254494791004,0.5656320440178798,39551.19888213583,0.0005188843202964561,0.20226085422503653
16,0.008274642499121763,1.0010625395575954,5.857677909711457,0.018295955237139606,3.6588303889706157,0.2204482428343446,1.0711885506249872,27975.142070851718,0.0005005619907640947,0.18885852477832346
17,0.00881057399587518,0.9815853390903468,5.864532251518637,0.016410030709139874,3.6439762181170017,0.22107426405617137,0.9584812947699056,28663.759456028416,0.0005359314967534168,0.19648080741164697
18,0.009343735180430919,0.9934796521118126,5.8710063787980165,0.01441431301374837,3.635284351871258,0.22165689084155793,0.8406995380657378,29468.354161712872,0.0005331611845557391,0.19778896573950683
19,0.009871868983158122,1.0244599397146572,5.877141555294018,0.012293121207878488,3.629787111024769,0.222196754645277,0.7171964727566442,30463.957157298453,0.0005281338027272017,0.19940088890000396
20,0.01039023028397215,1.0798073719805483,5.883009950426105,0.010022779703623154,3.623944257363473,0.22269544397473218,0.585509322479792,31561.802117749874,0.0005183613008140278,0.20142138407954685
21,0.010891850209458718,0.9251628789063312,5.899439674499772,0.017942948829106478,3.6125049106265514,0.2270045192585386,1.0546913047280702,27463.12467813245,0.0005016199254865679,0.1887593259690725
22,0.011434133620405079,0.9220516983260972,5.905937290754647,0.0161068617974953,3.6011544483920375,0.2276528225343739,0.9400892781027753,27761.125600042047,0.0005422834109463612,0.19699074595136007
23,0.011975908859020428,0.9341005256383711,5.912143154244146,0.01415047015341156,3.5945640256176334,0.22826945765984896,0.8258355912207285,28440.436915663955,0.0005417752386153491,0.19832554710455103
24,0.012510797051706019,0.9603997061285785,5.918053237705706,0.012070480180532714,3.5898353623585346,0.22885147204830214,0.7051482723745913,29241.41044702266,0.0005348881926855903,0.19985115015505284
25,0.013034284832155255,1.0022847810731799,5.923735042088273,0.00984011417425855,3.5836200789035435,0.2294007294462186,0.5757435201628259,29979.243727008776,0.0005234877804492356,0.2018056242974082
26,0.013539595971924378,0.8684931271607069,5.9382706351374255,0.017874553663887797,3.5719521884323933,0.2332704109231034,1.0548257794988052,26401.793164295214,0.0005053111397691227,0.1884077201331897
27,0.0140842468285724,0.8640167548112473,5.944746358402318,0.01619900204997008,3.5605364811740357,0.233987370088381,0.9464688578761039,26464.22500066599,0.0005446508566480218,0.19652807812061587
28,0.01462957364292231,0.8698042656262236,5.950999375300646,0.0144019530099563,3.5529192457161414,0.23468247230910677,0.8410561832047868,26851.215968465174,0.0005453268143499117,0.19787111980621291
29,0.015168090252234867,0.8840496640095338,5.956963553976558,0.012487769405626936,3.5467106958358716,0.23535080613171933,0.7296657612516086,27373.88418626768,0.0005385166093125566,0.19927497519665857
30,0.015696146454153796,0.9056807262694752,5.9626829108171275,0.01043455989831708,3.5391161104632576,0.2359940050004412,0.6104514740082444,27838.926647971814,0.0005280562019189286,0.2010158601016465
31,0.016208311967771123,0.9322955744177976,5.968106021260699,0.008644288116391029,3.5304783246182363,0.2366472068547225,0.5067955939221979,28264.346676919315,0.0005121655136173276,0.18895767539551953
32,0.016702461366761713,0.8178302602838763,5.981246120327469,0.017848494333029225,3.517591136170996,0.24029978672287444,1.0530432140120325,25241.67338354236,0.0004941493989905887,0.1850403941030702
33,0.017249373268213658,0.8099152395872247,5.987763643379246,0.01641897853337073,3.5073807616075827,0.2410997302793323,0.9613526090283376,25184.512495358005,0.0005469119014519443,0.1945206670847944
34,0.01779863909484124,0.8084119902153448,5.994119179632968,0.014873520633198084,3.499920698129606,0.2418894819916202,0.8696725216360022,25413.740389806524,0.0005492658266275829,0.1970311589811535
35,0.018341844466508665,0.8113537940568692,6.000218487254711,0.013223063877440017,3.493405234617276,0.2426605700136324,0.7729040258889792,25669.459553767363,0.0005432053716674256,0.19826954633049004
36,0.018876428580449033,0.8189922987189578,6.006064693062059,0.011453339367061017,3.4857994196031954,0.24341429621699584,0.669812141217086,25927.914961017115,0.0005345841139403685,0.19972350516556545
37,0.01939870434599368,0.8325775765394801,6.011668821460937,0.009541619754426913,3.475242474885545,0.24415250492555196,0.5586009667961102,26149.521280616413,0.000522275765544647,0.20148215743731834
38,0.019903495424147728,0.7780874974954599,6.022559423339598,0.01772302940746778,3.467214166251335,0.24675458024053665,1.0398119097668637,25012.125877365495,0.0005047910781540479,0.18647020146173138
39,0.020457517338344715,0.7756460557672236,6.028679995058367,0.016277774915287528,3.4649519099910866,0.247551191759656,0.9518836328618031,25053.05908967827,0.0005540219141969871,0.19525558046985197
40,0.021016083608019723,0.7767571840143026,6.03469282403294,0.014719619659915136,3.4637039463409245,0.24834774078385746,0.8607228934078262,25269.705562499843,0.0005585662696750092,0.19786035309874972
41,0.02156735912098283,0.78184346325504,6.040463881558558,0.013064991751031131,3.4618270346110314,0.24913061614851584,0.7644299773614301,25498.508037917167,0.0005512755129631075,0.19899900135583537
42,0.022108869947923476,0.7912085145577197,6.045993565617539,0.011297633280202066,3.457497442459041,0.2499014501936221,0.661743756723837,25714.474658206087,0.000541510826940648,0.20035977693818308
43,0.02263697452862157,0.8053611078123027,6.051290139588541,0.009392899794632979,3.4491296829181177,0.2506621922506147,0.550876375786267,25881.3166801592,0.0005281045806980948,0.2020238846327279
44,0.023146546471834176,0.7399088563653419,6.061578609570741,0.017665291983813853,3.4413855607852946,0.25312352007121874,1.0411478161940768,24630.37880258145,0.0005095719432126071,0.18634470219356716
45,0.023690251776725096,0.7364877365927084,6.067546987403707,0.016450023775859874,3.4379977326927986,0.25395627668146026,0.9627113887229863,24389.885816494407,0.0005437053048909186,0.19436958288114034
46,0.024253608612820093,0.7357230218011622,6.073587443930436,0.015105895962055757,3.4352031684932864,0.2548182361676674,0.8838031898545428,24507.25704251516,0.0005633568360949966,0.19738165658982207
47,0.02481026715927847,0.7376568372492405,6.0794067740467375,0.013682191714715212,3.4318810240649613,0.25567177199433067,0.8006359404600056,24635.323924446893,0.0005566585464583759,0.1983459862066346
48,0.025358697160736292,0.742505684494753,6.0849966664703095,0.012167408471362877,3.4266976269396303,0.2565184394216422,0.7124704567833043,24760.52037039413,0.000548430001457822,0.19946850932619664
49,0.0258964788453899,0.7505644137487746,6.090349386787583,0.010545046128503505,3.4183923460377224,0.25735980651310086,0.6180967313532225,24865.255007135765,0.0005377816846536079,0.20077122612159726
50,0.026420273033454622,0.7622915306001345,6.095454446632883,0.008790480624712226,3.4062245429577795,0.2581975278475608,0.5158187571270832,24922.64385782638,0.0005237941880647226,0.20231728781662758
51,0.02692552058401983,0.7021419747580546,6.104865602512673,0.01761478660015237,3.398001851606447,0.2602760303412619,1.0345070491901407,24033.583595057964,0.0005052475505652091,0.1843501192949739
52,0.027467657143226045,0.6986622683692454,6.110720493968228,0.016648378104575392,3.3963681707136573,0.26115226001378167,0.9755129614857765,23829.29789117977,0.0005421365592062163,0.19344922883984997
53,0.02803827241466297,0.6968737639586802,6.116771870286088,0.015568286133184879,3.394659676367247,0.262078874963819,0.9117259501141284,23875.092250830014,0.0005706152714369245,0.19685196145518563
54,0.028603259803646173,0.6967632616613891,6.122634837487022,0.014428374168134328,3.3921593575232496,0.2630017867132166,0.8447531146375291,23930.89704372075,0.0005649873889832038,0.19764456809312
55,0.029161813771460928,0.6981239269343571,6.128297973296213,0.013222049430539727,3.388095360439168,0.2639223338642609,0.7742591225967379,23988.942687375726,0.000558553967814754,0.19853231560438006
56,0.02971257607697883,0.7004533625637809,6.1337456706175955,0.011940322237806014,3.3816944686706316,0.26484179352260595,0.699596463420546,24043.050867144637,0.0005507623055179008,0.19950319538700972
57,0.030253743277536542,0.7049985301965108,6.138961887761888,0.010569921177327801,3.3722842845497456,0.2657615727362952,0.6198301186145582,24084.13231287896,0.0005411672005577129,0.20057628254145385
